facility_type,facility_number,facility_name,licensee,facility_administrator,facility_telephone_number,facility_address,facility_city,facility_state,facility_zip,county_name,regional_office,facility_capacity,facility_status,license_first_date,closed_date,file_date,address_normalized,full_address,fraud_score,fraud_flags,licensee_normalized,license_year,closed_year,google_maps_url
child_care_centers,394500416,ACHIEVERS,NANAK STOCKTON INC.,IVY STINSON,(209) 956-5437,4453 PRECISSI LANE,STOCKTON,CA,95207,SAN JOAQUIN,53,60,LICENSED,2021-06-15,,5252025,4453 PRECISSI LANE,"4453 PRECISSI LANE, STOCKTON",3,DUPLICATE_ADDRESS; COVID_ERA_LICENSE; ,NANAK STOCKTON INC.,2021.0,,https://www.google.com/maps/search/4453%20PRECISSI%20LANE%2C%20STOCKTON%2C%20CA
child_care_centers,197494827,ACHIEVERS ACADEMY PRESCHOOL,"ACHIEVERS ACADEMY, INC.",PRISCILLA RIVERA,(818) 830-8123,9025 LANGDON AVENUE,NORTH HILLS,CA,91343,LOS ANGELES,58,132,CLOSED,2021-09-29,2024-04-10,5252025,9025 LANGDON AVENUE,"9025 LANGDON AVENUE, NORTH HILLS",3,DUPLICATE_ADDRESS; COVID_ERA_LICENSE; ,"ACHIEVERS ACADEMY, INC.",2021.0,2024.0,https://www.google.com/maps/search/9025%20LANGDON%20AVENUE%2C%20NORTH%20HILLS%2C%20CA
child_care_centers,343623854,ACORN TO OAK,ACORN TO OAK,"WHITBREAD-COLE, ISOBEL",(916) 407-0187,2661 NORTHROP AVENUE,SACRAMENTO,CA,95864,SACRAMENTO,3,36,LICENSED,2021-03-23,,5252025,2661 NORTHROP AVENUE,"2661 NORTHROP AVENUE, SACRAMENTO",3,DUPLICATE_ADDRESS; COVID_ERA_LICENSE; ,ACORN TO OAK,2021.0,,https://www.google.com/maps/search/2661%20NORTHROP%20AVENUE%2C%20SACRAMENTO%2C%20CA
child_care_centers,343601205,ACTION DAY LEARNING CENTER,"MILLER, SHARON","HARLAND, MARIA (BUFFY)",(916) 988-9633,9371 ELM AVENUE,ORANGEVALE,CA,95662,SACRAMENTO,3,32,LICENSED,1995-09-28,,5252025,9371 ELM AVENUE,"9371 ELM AVENUE, ORANGEVALE",3,DUPLICATE_ADDRESS; HIGH_VOLUME_LICENSEE; ,"MILLER, SHARON",1995.0,,https://www.google.com/maps/search/9371%20ELM%20AVENUE%2C%20ORANGEVALE%2C%20CA
child_care_centers,343601111,ACTION DAY LEARNING CENTER,"MILLER, SHARON","SHORT, RHONDA",(916) 985-0976,400 STAFFORD STREET,FOLSOM,CA,95630,SACRAMENTO,3,48,LICENSED,1995-07-24,,5252025,400 STAFFORD STREET,"400 STAFFORD STREET, FOLSOM",3,DUPLICATE_ADDRESS; HIGH_VOLUME_LICENSEE; ,"MILLER, SHARON",1995.0,,https://www.google.com/maps/search/400%20STAFFORD%20STREET%2C%20FOLSOM%2C%20CA
child_care_centers,343601174,ACTION DAY LEARNING CENTER,"MILLER, SHARON","LISH, LAURI",(916) 988-9689,6822 KENNETH AVENUE,ORANGEVALE,CA,95662,SACRAMENTO,3,51,LICENSED,1995-07-24,,5252025,6822 KENNETH AVENUE,"6822 KENNETH AVENUE, ORANGEVALE",3,DUPLICATE_ADDRESS; HIGH_VOLUME_LICENSEE; ,"MILLER, SHARON",1995.0,,https://www.google.com/maps/search/6822%20KENNETH%20AVENUE%2C%20ORANGEVALE%2C%20CA
child_care_centers,434408755,ACTION DAY PRIMARY PLUS,"ACTION DAY NURSERIES & PRIMARY PLUS, INC.",FARRAH DERLA,(408) 629-6020,5845 ALLEN AVENUE,SAN JOSE,CA,95123,SANTA CLARA,7,254,LICENSED,2005-11-07,,5252025,5845 ALLEN AVENUE,"5845 ALLEN AVENUE, SAN JOSE",3,DUPLICATE_ADDRESS; HIGH_VOLUME_LICENSEE; ,"ACTION DAY NURSERIES & PRIMARY PLUS, INC.",2005.0,,https://www.google.com/maps/search/5845%20ALLEN%20AVENUE%2C%20SAN%20JOSE%2C%20CA
child_care_centers,376700096,ADAMS STATE PRESCHOOL,SAN DIEGO UNIFIED SCHOOL DISTRICT,DECYDERED PINA,(619) 362-4200,4672 35TH STREET,SAN DIEGO,CA,92116,SAN DIEGO,20,24,LICENSED,2004-09-22,,5252025,4672 35TH STREET,"4672 35TH STREET, SAN DIEGO",3,DUPLICATE_ADDRESS; HIGH_VOLUME_LICENSEE; ,SAN DIEGO UNIFIED SCHOOL DISTRICT,2004.0,,https://www.google.com/maps/search/4672%2035TH%20STREET%2C%20SAN%20DIEGO%2C%20CA
child_care_centers,393601458,ADELITA MIGRANT CHILD DEVELOPMENT CENTER,"COMM.ACTION PARTNERSHIP SAN LUIS OBISPO CO.,INC.",ELIZABETH RICO,(209) 368-2087,14320 EAST HARNEY LANE,LODI,CA,95240,SAN JOAQUIN,53,50,LICENSED,1995-12-15,,5252025,14320 EAST HARNEY LANE,"14320 EAST HARNEY LANE, LODI",3,DUPLICATE_ADDRESS; HIGH_VOLUME_LICENSEE; ,"COMM.ACTION PARTNERSHIP SAN LUIS OBISPO CO.,INC.",1995.0,,https://www.google.com/maps/search/14320%20EAST%20HARNEY%20LANE%2C%20LODI%2C%20CA
child_care_centers,343623928,ADVANCED EARLY CHILDHOOD EDUCATION CENTER,ADVANCED EARLY CHILDHOOD EDUCATION CENTER,OKSANA RYAN,(916) 470-6898,7233 SUNRISE BLVD,CITRUS HEIGHTS,CA,95610,SACRAMENTO,3,47,LICENSED,2021-05-27,,5252025,7233 SUNRISE BLVD,"7233 SUNRISE BLVD, CITRUS HEIGHTS",3,DUPLICATE_ADDRESS; COVID_ERA_LICENSE; ,ADVANCED EARLY CHILDHOOD EDUCATION CENTER,2021.0,,https://www.google.com/maps/search/7233%20SUNRISE%20BLVD%2C%20CITRUS%20HEIGHTS%2C%20CA
child_care_centers,566216029,ADVENTIST EDUCATION SIMI VALLEY PRESCHOOL,SOUTHERN CALIFORNIA CONFERENCE OF SDA,TAMMY GRODT,(805) 210-8353,1636 SINALOA RD.,SIMI VALLEY,CA,93065,VENTURA,17,30,LICENSED,2020-10-22,,5252025,1636 SINALOA RD,"1636 SINALOA RD, SIMI VALLEY",3,DUPLICATE_ADDRESS; COVID_ERA_LICENSE; ,SOUTHERN CALIFORNIA CONFERENCE OF SDA,2020.0,,https://www.google.com/maps/search/1636%20SINALOA%20RD.%2C%20SIMI%20VALLEY%2C%20CA
child_care_centers,15700540,ADVENTURE MONTESSORI ACADEMY,"ADVENTURE MONTESSORI ACADEMY, LLC","JESUS, HEATHER",(408) 464-3131,4101 PLEIADES PLACE,UNION CITY,CA,94587,ALAMEDA,52,60,LICENSED,2021-07-12,,5252025,4101 PLEIADES PLACE,"4101 PLEIADES PLACE, UNION CITY",3,DUPLICATE_ADDRESS; COVID_ERA_LICENSE; ,"ADVENTURE MONTESSORI ACADEMY, LLC",2021.0,,https://www.google.com/maps/search/4101%20PLEIADES%20PLACE%2C%20UNION%20CITY%2C%20CA
child_care_centers,343624324,ADVENTURE MONTESSORI S.T.E.A.M ACADEMY LLC,ADVENTURE MONTESSORI S.T.E.A.M ACADEMY LLC,SITHUMINI MILLAWABANDARA,(916) 370-6113,3541 N FREEWAY BLVD SUITE 100,SACRAMENTO,CA,95834,SACRAMENTO,3,35,ON PROBATION,2022-08-04,,5252025,3541 N FREEWAY BLVD SUITE 100,"3541 N FREEWAY BLVD SUITE 100, SACRAMENTO",3,DUPLICATE_ADDRESS; COVID_ERA_LICENSE; ,ADVENTURE MONTESSORI S.T.E.A.M ACADEMY LLC,2022.0,,https://www.google.com/maps/search/3541%20N%20FREEWAY%20BLVD%20SUITE%20100%2C%20SACRAMENTO%2C%20CA
child_care_centers,376701431,ADVENTURE POINT EARLY LEARNING CENTER,FIRST CHRISTIAN CHURCH,CYNTHIA QUINTANA,(303) 968-4321,1805 EAST 17TH STREET,NATIONAL CITY,CA,91950,SAN DIEGO,20,60,LICENSED,2019-08-07,,5252025,1805 EAST 17TH STREET,"1805 EAST 17TH STREET, NATIONAL CITY",3,DUPLICATE_ADDRESS; HIGH_VOLUME_LICENSEE; ,FIRST CHRISTIAN CHURCH,2019.0,,https://www.google.com/maps/search/1805%20EAST%2017TH%20STREET%2C%20NATIONAL%20CITY%2C%20CA
child_care_centers,10206772,ADVENTURE TIME - DEL REY,TULLER CORPORATION,"ADAMIC, KATHLEEN",(510) 276-5414,1510 VIA SONYA,SAN LORENZO,CA,94580,ALAMEDA,52,80,CLOSED,1984-09-19,2022-12-05,5252025,1510 VIA SONYA,"1510 VIA SONYA, SAN LORENZO",3,DUPLICATE_ADDRESS; HIGH_VOLUME_LICENSEE; ,TULLER CORPORATION,1984.0,2022.0,https://www.google.com/maps/search/1510%20VIA%20SONYA%2C%20SAN%20LORENZO%2C%20CA
child_care_centers,574500292,ADVENTURE TIME PRESCHOOL,ADVENTURE TIME PRESCHOOL LLC,PRITI PRIYA LAL,(916) 571-4628,1500 PARK BLVD,WEST SACRAMENTO,CA,95691,YOLO,53,20,CLOSED,2020-11-05,2021-04-14,5252025,1500 PARK BLVD,"1500 PARK BLVD, WEST SACRAMENTO",5,DUPLICATE_ADDRESS; COVID_ERA_LICENSE; SHORT_LIVED; ,ADVENTURE TIME PRESCHOOL LLC,2020.0,2021.0,https://www.google.com/maps/search/1500%20PARK%20BLVD%2C%20WEST%20SACRAMENTO%2C%20CA
child_care_centers,13422482,AFS-ROSALIE STERLING HEAD START/EARLY HEAD START,ALAMEDA FAMILY SERVICES,JULIE GIESSLER,(510) 629-6350,1700 SANTA CLARA AVENUE,ALAMEDA,CA,94501,ALAMEDA,2,16,LICENSED,2018-07-31,2024-10-30,5252025,1700 SANTA CLARA AVENUE,"1700 SANTA CLARA AVENUE, ALAMEDA",3,DUPLICATE_ADDRESS; HIGH_VOLUME_LICENSEE; ,ALAMEDA FAMILY SERVICES,2018.0,2024.0,https://www.google.com/maps/search/1700%20SANTA%20CLARA%20AVENUE%2C%20ALAMEDA%2C%20CA
child_care_centers,434417020,AGAPE PLAYSKOOL,"AGAPE LEARNING CENTER, LLC",ADLIN SOFIA NETTO,(669) 295-8697,181 EAST TASMAN DRIVE #70,SAN JOSE,CA,95134,SANTA CLARA,7,45,CLOSED,2022-04-18,2023-05-13,5252025,181 EAST TASMAN DRIVE #70,"181 EAST TASMAN DRIVE #70, SAN JOSE",3,COVID_ERA_LICENSE; SHORT_LIVED; ,"AGAPE LEARNING CENTER, LLC",2022.0,2023.0,https://www.google.com/maps/search/181%20EAST%20TASMAN%20DRIVE%20%2370%2C%20SAN%20JOSE%2C%20CA
child_care_centers,198400188,AGAPE SARANG CHILD CENTER,AGAPE SARANG CHILD CENTER INC.,HYE JOUNG,(818) 279-1685,1516 S. WESTERN AVE,LOS ANGELES,CA,90006,LOS ANGELES,33,22,LICENSED,2021-05-06,,5252025,1516 S WESTERN AVE,"1516 S WESTERN AVE, LOS ANGELES",3,DUPLICATE_ADDRESS; COVID_ERA_LICENSE; ,AGAPE SARANG CHILD CENTER INC.,2021.0,,https://www.google.com/maps/search/1516%20S.%20WESTERN%20AVE%2C%20LOS%20ANGELES%2C%20CA
child_care_centers,434417019,AGNEW DISTRICT PRESCHOOL,SANTA CLARA UNIFIED SCHOOL DISTRICT,IVANIA RODAS,(669) 369-4185,3534 ZANKER ROAD,SAN JOSE,CA,95134,SANTA CLARA,7,48,LICENSED,2022-01-14,,5252025,3534 ZANKER ROAD,"3534 ZANKER ROAD, SAN JOSE",4,DUPLICATE_ADDRESS; HIGH_VOLUME_LICENSEE; COVID_ERA_LICENSE; ,SANTA CLARA UNIFIED SCHOOL DISTRICT,2022.0,,https://www.google.com/maps/search/3534%20ZANKER%20ROAD%2C%20SAN%20JOSE%2C%20CA
child_care_centers,376700466,AKA - VISTA LA MESA HEAD START,"ALL KIDS ACADEMY HEAD START, INC",TINA CRUZ,(619) 825-5600,3900 VIOLET STREET,LA MESA,CA,91941,SAN DIEGO,20,20,CLOSED,2008-08-01,2023-07-13,5252025,3900 VIOLET STREET,"3900 VIOLET STREET, LA MESA",3,DUPLICATE_ADDRESS; HIGH_VOLUME_LICENSEE; ,"ALL KIDS ACADEMY HEAD START, INC",2008.0,2023.0,https://www.google.com/maps/search/3900%20VIOLET%20STREET%2C%20LA%20MESA%2C%20CA
child_care_centers,376600133,AKA HEAD START - SAN MIGUEL,"ALL KIDS ACADEMY HEAD START, INC",DANIELLE ANGELETTE,(619) 460-6611,7059 SAN MIGUEL AVENUE,LEMON GROVE,CA,91945,SAN DIEGO,20,86,CLOSED,1995-05-01,2024-09-20,5252025,7059 SAN MIGUEL AVENUE,"7059 SAN MIGUEL AVENUE, LEMON GROVE",3,DUPLICATE_ADDRESS; HIGH_VOLUME_LICENSEE; ,"ALL KIDS ACADEMY HEAD START, INC",1995.0,2024.0,https://www.google.com/maps/search/7059%20SAN%20MIGUEL%20AVENUE%2C%20LEMON%20GROVE%2C%20CA
child_care_centers,13420593,ALAMEDA HEAD START- COLLEGE OF ALAMEDA HEAD START,ALAMEDA FAMILY SERVICES,"MA, CONNIE",(510) 629-6301,555 RALPH APPEZZATO MEM PKWY,ALAMEDA,CA,94501,ALAMEDA,2,54,LICENSED,2011-03-01,,5252025,555 RALPH APPEZZATO MEM PKWY,"555 RALPH APPEZZATO MEM PKWY, ALAMEDA",3,DUPLICATE_ADDRESS; HIGH_VOLUME_LICENSEE; ,ALAMEDA FAMILY SERVICES,2011.0,,https://www.google.com/maps/search/555%20RALPH%20APPEZZATO%20MEM%20PKWY%2C%20ALAMEDA%2C%20CA
child_care_centers,10214883,ALAMEDA HEAD START - ANGELA AGUILAR CENTER,ALAMEDA FAMILY SERVICES,"ZHANG, BING",(510) 865-1090,1901 THIRD STREET,ALAMEDA,CA,94501,ALAMEDA,2,50,LICENSED,1992-10-06,2025-04-28,5252025,1901 THIRD STREET,"1901 THIRD STREET, ALAMEDA",3,DUPLICATE_ADDRESS; HIGH_VOLUME_LICENSEE; ,ALAMEDA FAMILY SERVICES,1992.0,2025.0,https://www.google.com/maps/search/1901%20THIRD%20STREET%2C%20ALAMEDA%2C%20CA
child_care_centers,13417425,ALAMEDA HEAD START - SUE MATHESON CENTER,ALAMEDA FAMILY SERVICES,"ADAMS, DONNA",(510) 521-3443,670 WEST MIDWAY,ALAMEDA,CA,94501,ALAMEDA,2,60,LICENSED,2003-12-31,2025-04-28,5252025,670 WEST MIDWAY,"670 WEST MIDWAY, ALAMEDA",3,DUPLICATE_ADDRESS; HIGH_VOLUME_LICENSEE; ,ALAMEDA FAMILY SERVICES,2003.0,2025.0,https://www.google.com/maps/search/670%20WEST%20MIDWAY%2C%20ALAMEDA%2C%20CA
child_care_centers,73408881,ALAMO MONTESSORI SCHOOL,"ALAMO MONTESSORI SCHOOL, LLC","CHAPA, MARNIE",(925) 314-1706,1350 DANVILLE BLVD,ALAMO,CA,94507,CONTRA COSTA,2,36,CLOSED,2020-08-11,2023-06-13,5252025,1350 DANVILLE BLVD,"1350 DANVILLE BLVD, ALAMO",3,DUPLICATE_ADDRESS; COVID_ERA_LICENSE; ,"ALAMO MONTESSORI SCHOOL, LLC",2020.0,2023.0,https://www.google.com/maps/search/1350%20DANVILLE%20BLVD%2C%20ALAMO%2C%20CA
child_care_centers,198017991,ALDAMA,"PLAZA DE LA RAZA CHILD DEVELOPMENT SERVICES, INC.",AMANDA VELASQUEZ,(323) 543-8100,6310 ALDAMA STREET,LOS ANGELES,CA,90042,LOS ANGELES,33,40,CLOSED,2014-09-26,2022-07-01,5252025,6310 ALDAMA STREET,"6310 ALDAMA STREET, LOS ANGELES",3,DUPLICATE_ADDRESS; HIGH_VOLUME_LICENSEE; ,"PLAZA DE LA RAZA CHILD DEVELOPMENT SERVICES, INC.",2014.0,2022.0,https://www.google.com/maps/search/6310%20ALDAMA%20STREET%2C%20LOS%20ANGELES%2C%20CA
child_care_centers,274413425,ALISAL CAMPUS EARLY EDUCATION CENTER,"EARLY DEVELOPMENT SERVICES, INC.",TIFFANY TURNER,(831) 755-6774,1752 EAST ALISAL STREET,SALINAS,CA,93905,MONTEREY,7,32,CLOSED,2013-06-11,2021-07-02,5252025,1752 EAST ALISAL STREET,"1752 EAST ALISAL STREET, SALINAS",3,DUPLICATE_ADDRESS; HIGH_VOLUME_LICENSEE; ,"EARLY DEVELOPMENT SERVICES, INC.",2013.0,2021.0,https://www.google.com/maps/search/1752%20EAST%20ALISAL%20STREET%2C%20SALINAS%2C%20CA
child_care_centers,414004885,ALL ARE FRIENDS MONTESSORI,AAF MONTESSORI LLC,"BANERJEE, DEBANJALI",(650) 286-0400,1130 BALCLUTHA DRIVE,FOSTER CITY,CA,94404,SAN MATEO,5,45,CLOSED,2022-05-31,2023-10-04,5252025,1130 BALCLUTHA DRIVE,"1130 BALCLUTHA DRIVE, FOSTER CITY",5,DUPLICATE_ADDRESS; COVID_ERA_LICENSE; SHORT_LIVED; ,AAF MONTESSORI LLC,2022.0,2023.0,https://www.google.com/maps/search/1130%20BALCLUTHA%20DRIVE%2C%20FOSTER%20CITY%2C%20CA
child_care_centers,343624258,ALL KIDS EARLY LEARNING CENTER,"KINDER WORLD, INC.","BREEDING, KATHLEEN",(916) 333-7531,2052 WEST LA LOMA DRIVE,RANCHO CORDOVA,CA,95670,SACRAMENTO,3,80,LICENSED,2022-05-10,,5252025,2052 WEST LA LOMA DRIVE,"2052 WEST LA LOMA DRIVE, RANCHO CORDOVA",3,DUPLICATE_ADDRESS; COVID_ERA_LICENSE; ,"KINDER WORLD, INC.",2022.0,,https://www.google.com/maps/search/2052%20WEST%20LA%20LOMA%20DRIVE%2C%20RANCHO%20CORDOVA%2C%20CA
child_care_centers,434415457,ALLEN @ STEINBECK PRESCHOOL,SAN JOSE UNIFIED SCHOOL DISTRICT,CLAUDIA PATERSON,(408) 535-6205,820 STEINBECK DRIVE,SAN JOSE,CA,95123,SANTA CLARA,7,24,CLOSED,2018-08-15,2022-06-10,5252025,820 STEINBECK DRIVE,"820 STEINBECK DRIVE, SAN JOSE",3,DUPLICATE_ADDRESS; HIGH_VOLUME_LICENSEE; ,SAN JOSE UNIFIED SCHOOL DISTRICT,2018.0,2022.0,https://www.google.com/maps/search/820%20STEINBECK%20DRIVE%2C%20SAN%20JOSE%2C%20CA
child_care_centers,103810179,ALPHA BITS LEARNING CENTER,BW CHILDCARE LLC,OLGA CORTEZ,(555) 500-3305,1955 BROADWAY ST,FRESNO,CA,93721,FRESNO,4,25,CLOSED,,2021-12-15,5252025,1955 BROADWAY ST,"1955 BROADWAY ST, FRESNO",3,DUPLICATE_ADDRESS; HIGH_VOLUME_LICENSEE; ,BW CHILDCARE LLC,,2021.0,https://www.google.com/maps/search/1955%20BROADWAY%20ST%2C%20FRESNO%2C%20CA
child_care_centers,414004671,ALPHA KIDS ACADEMY LLC,ALPHA KIDS ACADEMY LLC,JUNE KEO,(415) 664-8080,201 RAVENSWOOD AVENUE,MENLO PARK,CA,94025,SAN MATEO,5,38,LICENSED,2021-05-24,,5252025,201 RAVENSWOOD AVENUE,"201 RAVENSWOOD AVENUE, MENLO PARK",4,DUPLICATE_ADDRESS; HIGH_VOLUME_LICENSEE; COVID_ERA_LICENSE; ,ALPHA KIDS ACADEMY LLC,2021.0,,https://www.google.com/maps/search/201%20RAVENSWOOD%20AVENUE%2C%20MENLO%20PARK%2C%20CA
child_care_centers,435700749,AMIGOS DE PALO ALTO,NC & MT INC.,"RODRIGUEZ, NOHORA",(650) 493-4300,1611 STANFORD AVENUE,PALO ALTO,CA,94306,SANTA CLARA,52,30,LICENSED,2021-11-30,,5252025,1611 STANFORD AVENUE,"1611 STANFORD AVENUE, PALO ALTO",3,DUPLICATE_ADDRESS; COVID_ERA_LICENSE; ,NC & MT INC.,2021.0,,https://www.google.com/maps/search/1611%20STANFORD%20AVENUE%2C%20PALO%20ALTO%2C%20CA
child_care_centers,376701409,AN- NUR ACADEMY CHILD CARE PRESCHOOL,AN-NUR LEARNING ACADEMY LLC,LAYLA DIRIYE,(619) 439-2955,"7520 EL CAJON BOULEVARD #108,",LA MESA,CA,91942,SAN DIEGO,20,30,LICENSED,2020-01-29,,5252025,7520 EL CAJON BOULEVARD #108,"7520 EL CAJON BOULEVARD #108, LA MESA",3,DUPLICATE_ADDRESS; COVID_ERA_LICENSE; ,AN-NUR LEARNING ACADEMY LLC,2020.0,,https://www.google.com/maps/search/7520%20EL%20CAJON%20BOULEVARD%20%23108%2C%2C%20LA%20MESA%2C%20CA
child_care_centers,304371549,ANAHEIM KIDS ACADEMY,ANTONY HOLDINGS INC.,"WAIDAYAPHILAKE, CHAMILA",(714) 403-8837,3330 WEST LINCOLN AVENUE,ANAHEIM,CA,92801,ORANGE,6,20,CLOSED,2022-12-01,2025-03-04,5252025,3330 WEST LINCOLN AVENUE,"3330 WEST LINCOLN AVENUE, ANAHEIM",3,DUPLICATE_ADDRESS; COVID_ERA_LICENSE; ,ANTONY HOLDINGS INC.,2022.0,2025.0,https://www.google.com/maps/search/3330%20WEST%20LINCOLN%20AVENUE%2C%20ANAHEIM%2C%20CA
child_care_centers,197416144,ANDASOL ELEMENTATY STATE PRE-SCHOOL,LAUSD/EARLY CHILDHOOD EDUCATION,"CURRY, CHARLEEN",(818) 349-8631,10126 ENCINO AVENUE,NORTHRIDGE,CA,91325,LOS ANGELES,58,23,LICENSED,2009-04-23,,5252025,10126 ENCINO AVENUE,"10126 ENCINO AVENUE, NORTHRIDGE",3,DUPLICATE_ADDRESS; HIGH_VOLUME_LICENSEE; ,LAUSD/EARLY CHILDHOOD EDUCATION,2009.0,,https://www.google.com/maps/search/10126%20ENCINO%20AVENUE%2C%20NORTHRIDGE%2C%20CA
