facility_type,facility_number,facility_name,licensee,facility_administrator,facility_telephone_number,facility_address,facility_city,facility_state,facility_zip,county_name,regional_office,facility_capacity,facility_status,license_first_date,closed_date,file_date,address_normalized,full_address,fraud_score,fraud_flags,licensee_normalized,license_year,closed_year,months_operated
child_care_centers,313624807,BAMBINI & STERLING MONTESSORI,KAP ACHIEVERS LLC,JUAN PAOLO SARMIENTO,(650) 430-2037,1170 EAST JOINER PARKWAY,LINCOLN,CA,95648,PLACER,3,27,CLOSED,2023-08-04,2024-07-22,5252025,1170 EAST JOINER PARKWAY,"1170 EAST JOINER PARKWAY, LINCOLN",3,DUPLICATE_ADDRESS; HIGH_VOLUME_LICENSEE; ,KAP ACHIEVERS LLC,2023.0,2024.0,11.8
child_care_centers,13423727,"BELLA'S BABIES, INC.","BELLA'S BABIES, INC.","DAVIS, KRISTEN",(510) 809-7170,5909 CAMDEN STREET,OAKLAND,CA,94605,ALAMEDA,2,42,CLOSED,2022-06-30,2023-07-14,5252025,5909 CAMDEN STREET,"5909 CAMDEN STREET, OAKLAND",3,DUPLICATE_ADDRESS; COVID_ERA_LICENSE; ,"BELLA'S BABIES, INC.",2022.0,2023.0,12.6
child_care_centers,198400525,"BESA SCHOOL, THE","BESA SCHOOL, THE",BRIDGETTE ROBINSON,(562) 459-5204,15014 STUDEBAKER RD,NORWALK,CA,90650,LOS ANGELES,54,45,CLOSED,2022-08-16,2024-01-25,5252025,15014 STUDEBAKER RD,"15014 STUDEBAKER RD, NORWALK",3,DUPLICATE_ADDRESS; COVID_ERA_LICENSE; ,"BESA SCHOOL, THE",2022.0,2024.0,17.6
child_care_centers,198021221,BRELLA PASADENA,BRELLA PASADENA LLC,"SABAS, MYRA",(213) 300-5962,475 S LAKE AVENUE,PASADENA,CA,91101,LOS ANGELES,33,30,CLOSED,2023-07-13,2024-07-19,5252025,475 S LAKE AVENUE,"475 S LAKE AVENUE, PASADENA",2,DUPLICATE_ADDRESS; ,BRELLA PASADENA LLC,2023.0,2024.0,12.4
child_care_centers,13423134,BRIGHT START MONTESSORI PRESCHOOL,"DE ALWIS, SAMUDRA & DE ALWIS NAUTIKA","DE ALWIS, SAMUDRA",(510) 932-6435,1600 SOLANO AVENUE,ALBANY,CA,94707,ALAMEDA,2,30,CLOSED,2022-06-16,2023-01-31,5252025,1600 SOLANO AVENUE,"1600 SOLANO AVENUE, ALBANY",3,DUPLICATE_ADDRESS; COVID_ERA_LICENSE; ,"DE ALWIS, SAMUDRA & DE ALWIS NAUTIKA",2022.0,2023.0,7.6
child_care_centers,434417304,BUILDING KIDZ SANTA CLARA,AB KIDS LLC,AJANTA DAS,(408) 758-8804,"1500 LOS PADRES BLVD #110,#111",SANTA CLARA,CA,95050,SANTA CLARA,7,66,CLOSED,2023-05-23,2025-01-12,5252025,1500 LOS PADRES BLVD #110#111,"1500 LOS PADRES BLVD #110#111, SANTA CLARA",0,,AB KIDS LLC,2023.0,2025.0,20.0
child_care_centers,435700724,BUILDING KIDZ SCHOOL,TOSHA LLC,"ALVAREZ, CINDY",(650) 505-3740,569 SAN ANTONIO ROAD,PALO ALTO,CA,94306,SANTA CLARA,52,50,CLOSED,2020-09-14,2021-04-05,5252025,569 SAN ANTONIO ROAD,"569 SAN ANTONIO ROAD, PALO ALTO",3,DUPLICATE_ADDRESS; COVID_ERA_LICENSE; ,TOSHA LLC,2020.0,2021.0,6.8
child_care_centers,165601008,B.B.T.L.C. CORCORAN ACADEMY,BUILDING BLOCKS TO LEARNING CENTERS INC,"PUGA, VERONICA",(559) 589-3125,1001 DAIRY AVE,CORCORAN,CA,93212,KINGS,57,55,CLOSED,2022-11-07,2024-09-20,5252025,1001 DAIRY AVE,"1001 DAIRY AVE, CORCORAN",1,COVID_ERA_LICENSE; ,BUILDING BLOCKS TO LEARNING CENTERS INC,2022.0,2024.0,22.8
child_care_centers,15700603,CAPE CROCE CENTER,C.A.P.E. INC.,"CERVANTES, CELIA",(925) 606-4706,5650 SCENIC AVENUE,LIVERMORE,CA,94550,ALAMEDA,52,20,CLOSED,2023-09-12,2024-07-25,5252025,5650 SCENIC AVENUE,"5650 SCENIC AVENUE, LIVERMORE",2,DUPLICATE_ADDRESS; ,C.A.P.E. INC.,2023.0,2024.0,10.6
child_care_centers,414004728,CAREY SCHOOL (THE),"NEELY, NORRIS","NORRIS, NEELY",(650) 345-8205,1700 ALAMEDA DE LAS PULGAS,SAN MATEO,CA,94403,SAN MATEO,5,24,CLOSED,2020-09-03,2021-08-24,5252025,1700 ALAMEDA DE LAS PULGAS,"1700 ALAMEDA DE LAS PULGAS, SAN MATEO",3,DUPLICATE_ADDRESS; COVID_ERA_LICENSE; ,"NEELY, NORRIS",2020.0,2021.0,11.8
child_care_centers,426216653,CARPINTERIA CHILDREN'S PROJECT,CARPINTERIA CHILDREN'S PROJECT,TERESA ALVAREZ,(805) 566-1600,4545 CARPINTERIA AVENUE,CARPINTERIA,CA,93013,SANTA BARBARA,17,60,CLOSED,2023-06-22,2024-12-19,5252025,4545 CARPINTERIA AVENUE,"4545 CARPINTERIA AVENUE, CARPINTERIA",3,DUPLICATE_ADDRESS; HIGH_VOLUME_LICENSEE; ,CARPINTERIA CHILDREN'S PROJECT,2023.0,2024.0,18.2
child_care_centers,394500629,CATALYST KIDS - MCKINLEY VILLAGE,CATALYST FAMILY INC.,"LUTFI, FRIBA",(408) 553-8333,2105 N. TRACY BLVD,TRACY,CA,95376,SAN JOAQUIN,53,72,CLOSED,2022-07-27,2024-02-29,5252025,2105 N TRACY BLVD,"2105 N TRACY BLVD, TRACY",2,HIGH_VOLUME_LICENSEE; COVID_ERA_LICENSE; ,CATALYST FAMILY INC.,2022.0,2024.0,19.4
child_care_centers,566216172,CATALYST KIDS JUSTIN,"ESCAMILLLA, JENNIFER",JENNIFER ESCAMILLA,(805) 509-3072,2245 N. JUSTIN AVE.,SIMI VALLEY,CA,93065,VENTURA,17,48,CLOSED,2021-10-20,2023-07-17,5252025,2245 N JUSTIN AVE,"2245 N JUSTIN AVE, SIMI VALLEY",3,DUPLICATE_ADDRESS; COVID_ERA_LICENSE; ,"ESCAMILLLA, JENNIFER",2021.0,2023.0,21.2
child_care_centers,45408344,CEDARWOOD CHILDREN'S CENTER,BUTTE COUNTY OFFICE OF EDUCATION,"DUGAN, COLLEEN",(530) 532-5643,"13878 COMPTON DRIVE, ROOM #30",MAGALIA,CA,95954,BUTTE,13,24,CLOSED,2023-08-14,2024-08-08,5252025,13878 COMPTON DRIVE ROOM #30,"13878 COMPTON DRIVE ROOM #30, MAGALIA",1,HIGH_VOLUME_LICENSEE; ,BUTTE COUNTY OFFICE OF EDUCATION,2023.0,2024.0,12.0
child_care_centers,414005055,CHALLENGE SCHOOL (PS) FC CAMPUS,CHALLENGE SCHOOL,"ZHANG, CATHERINE",(650) 574-6878,1130 BALCLUTHA DRIVE,FOSTER CITY,CA,94404,SAN MATEO,5,24,CLOSED,2023-11-17,2024-04-18,5252025,1130 BALCLUTHA DRIVE,"1130 BALCLUTHA DRIVE, FOSTER CITY",2,DUPLICATE_ADDRESS; ,CHALLENGE SCHOOL,2023.0,2024.0,5.1
child_care_centers,376105140,CHILDREN'S CHOICE,"CHILDREN'S CHOICE LEARNING CONNECTION, INC",VAIARII BRUMM,(619) 442-5772,1164 N SECOND STREET,EL CAJON,CA,92021,SAN DIEGO,51,22,CLOSED,2023-08-30,2024-03-08,5252025,1164 N SECOND STREET,"1164 N SECOND STREET, EL CAJON",2,DUPLICATE_ADDRESS; ,"CHILDREN'S CHOICE LEARNING CONNECTION, INC",2023.0,2024.0,6.4
child_care_centers,15700750,COMPASS ACADEMY OF EDUCATION,SASH LLC,"RAGAVAN, VAISHNAVEE",(510) 626-0079,"46132 WARMSPRINGS BL.,101, 109",FREMONT,CA,94539,ALAMEDA,52,27,CLOSED,2022-08-18,2023-08-01,5252025,46132 WARMSPRINGS BL101 109,"46132 WARMSPRINGS BL101 109, FREMONT",1,COVID_ERA_LICENSE; ,SASH LLC,2022.0,2023.0,11.6
child_care_centers,414004763,"CRAYON COLLEGE, INC.",CRAYON COLLEGE INC.,MICHELLE MANGINI,(650) 588-4197,401 SANTA LUCIA AVENUE,MILLBRAE,CA,94030,SAN MATEO,5,48,CLOSED,2021-07-21,2022-12-09,5252025,401 SANTA LUCIA AVENUE,"401 SANTA LUCIA AVENUE, MILLBRAE",3,DUPLICATE_ADDRESS; COVID_ERA_LICENSE; ,CRAYON COLLEGE INC.,2021.0,2022.0,16.9
child_care_centers,336300723,DESERT PRESCHOOL ACADEMY - PERRIS,DESERT PRESCHOOL ACADEMY - PERRIS,KRISTIN GILLESPIE,(760) 772-1478,1675 NORTH PERRIS BOULEVARD,PERRIS,CA,92571,RIVERSIDE,10,64,CLOSED,2023-11-29,2024-09-11,5252025,1675 NORTH PERRIS BOULEVARD,"1675 NORTH PERRIS BOULEVARD, PERRIS",0,,DESERT PRESCHOOL ACADEMY - PERRIS,2023.0,2024.0,9.6
child_care_centers,444417082,DISCOVERY PRESCHOOL AND FAMILY CENTER,DISCOVERY PRESCHOOL AND FAMILY CENTER,SARA BALLA,(831) 588-4225,440 FREDRICK STREET,SANTA CRUZ,CA,95060,SANTA CRUZ,7,40,CLOSED,2023-01-20,2023-03-05,5252025,440 FREDRICK STREET,"440 FREDRICK STREET, SANTA CRUZ",0,,DISCOVERY PRESCHOOL AND FAMILY CENTER,2023.0,2023.0,1.5
child_care_centers,198020868,ECHO PARK CHRISTIAN PRESCHOOL,LANDMARK CHRISTIAN CHURCH,KATHERINE CLEMONS,(213) 413-1650,1310 LIBERTY ST,LOS ANGELES,CA,90026,LOS ANGELES,33,20,CLOSED,2022-01-04,2023-02-22,5252025,1310 LIBERTY ST,"1310 LIBERTY ST, LOS ANGELES",1,COVID_ERA_LICENSE; ,LANDMARK CHRISTIAN CHURCH,2022.0,2023.0,13.8
child_care_centers,376105145,EKOBE SCHOOL OF LEARNING,EKOBE SCHOOL OF LEARNING - LLC,SIMONE HENRIQUES,(619) 320-8763,4570-C MOUNT HERBERT AVENUE,SAN DIEGO,CA,92117,SAN DIEGO,51,80,CLOSED,2023-11-07,2024-06-28,5252025,4570-C MOUNT HERBERT AVENUE,"4570-C MOUNT HERBERT AVENUE, SAN DIEGO",0,,EKOBE SCHOOL OF LEARNING - LLC,2023.0,2024.0,7.8
child_care_centers,13423084,EMERYVILLE CHILD DEVELOPMENT CENTER,CITY OF EMERYVILLE,"OWENS, QUERA",(510) 596-4367,1070 - 41ST STREET,EMERYVILLE,CA,94608,ALAMEDA,2,90,CLOSED,2020-01-21,2020-06-12,5252025,1070 - 41ST STREET,"1070 - 41ST STREET, EMERYVILLE",3,DUPLICATE_ADDRESS; COVID_ERA_LICENSE; ,CITY OF EMERYVILLE,2020.0,2020.0,4.8
child_care_centers,376105048,ENCINITAS SHINING STARS,"ELLINS, PAUL",KIKUE N. & ALEXIS L.,(760) 436-5433,511 ENCINITAS BOULEVARD #114,ENCINITAS,CA,92024,SAN DIEGO,51,55,CLOSED,2021-05-04,2022-11-03,5252025,511 ENCINITAS BOULEVARD #114,"511 ENCINITAS BOULEVARD #114, ENCINITAS",3,DUPLICATE_ADDRESS; COVID_ERA_LICENSE; ,"ELLINS, PAUL",2021.0,2022.0,18.3
child_care_centers,198021182,EVERGREEN MONTESSORI ACADEMY,AKO CORP,"GONZALEZ, ROSANGELICA",(626) 460-0468,2038 EAST FOOTHILL BLVD,PASADENA,CA,91107,LOS ANGELES,33,52,CLOSED,2023-06-08,2024-07-29,5252025,2038 EAST FOOTHILL BLVD,"2038 EAST FOOTHILL BLVD, PASADENA",0,,AKO CORP,2023.0,2024.0,13.9
child_care_centers,13423094,EVERY CHILD BERKELEY,EVERY CHILD BERKELEY,"MONTALBANO, FILIPPO",(916) 947-6255,2138 CEDAR STREET,BERKELEY,CA,94709,ALAMEDA,2,24,CLOSED,2020-07-22,2022-05-25,5252025,2138 CEDAR STREET,"2138 CEDAR STREET, BERKELEY",1,COVID_ERA_LICENSE; ,EVERY CHILD BERKELEY,2020.0,2022.0,22.4
child_care_centers,343624320,FOLSOM PREP,FOLSOM PREP,"MURAWSKI, CANDIS",(916) 524-5372,650 WILLARD DRIVE,FOLSOM,CA,95630,SACRAMENTO,3,24,CLOSED,2022-07-26,2023-08-02,5252025,650 WILLARD DRIVE,"650 WILLARD DRIVE, FOLSOM",3,DUPLICATE_ADDRESS; COVID_ERA_LICENSE; ,FOLSOM PREP,2022.0,2023.0,12.4
child_care_centers,197494318,FUTURE STARS ACADEMY,FUTURE STARS ACADEMY,"OLSHANSKY, IRENE",(323) 937-7827,5005 W. 21ST STREET,LOS ANGELES,CA,90016,LOS ANGELES,58,33,CLOSED,2020-02-24,2020-12-28,5252025,5005 W 21ST STREET,"5005 W 21ST STREET, LOS ANGELES",1,COVID_ERA_LICENSE; ,FUTURE STARS ACADEMY,2020.0,2020.0,10.3
child_care_centers,197494289,FUTURE STARS ACADEMY,FUTURE STARS ACADEMY,E IRENE OLSHANSKY,(323) 449-2036,4950 W. 20TH STREET,LOS ANGELES,CA,90016,LOS ANGELES,58,41,CLOSED,2020-02-18,2020-12-28,5252025,4950 W 20TH STREET,"4950 W 20TH STREET, LOS ANGELES",1,COVID_ERA_LICENSE; ,FUTURE STARS ACADEMY,2020.0,2020.0,10.5
child_care_centers,343625087,GENIUS KIDS PRESCHOOL,LITTLE CHAMPS LLC,"SADISHKUMAR, KOTHAI",(925) 998-0385,2740 LA LOMA DRIVE,RANCHO CORDOVA,CA,95670,SACRAMENTO,3,22,CLOSED,2023-07-28,2024-07-01,5252025,2740 LA LOMA DRIVE,"2740 LA LOMA DRIVE, RANCHO CORDOVA",2,DUPLICATE_ADDRESS; ,LITTLE CHAMPS LLC,2023.0,2024.0,11.3
child_care_centers,343625085,GENIUS KIDS PRESCHOOL,LITTLE CHAMPS LLC,"SADISHKUMAR, KOTHAI",(925) 998-0385,2800 LA LOMA DRIVE,RANCHO CORDOVA,CA,95670,SACRAMENTO,3,58,CLOSED,2023-07-28,2024-04-11,5252025,2800 LA LOMA DRIVE,"2800 LA LOMA DRIVE, RANCHO CORDOVA",2,DUPLICATE_ADDRESS; ,LITTLE CHAMPS LLC,2023.0,2024.0,8.6
child_care_centers,15700552,"GENIUS KIDS, INC.","GENIUS KIDS, INC.","NIJJAR, SHANA",(510) 745-7311,4938 PASEO PADRE PARKWAY,FREMONT,CA,94555,ALAMEDA,52,27,CLOSED,2021-12-13,2022-04-25,5252025,4938 PASEO PADRE PARKWAY,"4938 PASEO PADRE PARKWAY, FREMONT",4,DUPLICATE_ADDRESS; HIGH_VOLUME_LICENSEE; COVID_ERA_LICENSE; ,"GENIUS KIDS, INC.",2021.0,2022.0,4.4
child_care_centers,198020959,GOOD HABIT PRESCHOOL,WEI ZHAO,WEI ZHAO,(626) 886-5678,2628 FULLERTON RD,ROWLAND HEIGHTS,CA,91748,LOS ANGELES,33,96,CLOSED,2022-08-18,2024-07-29,5252025,2628 FULLERTON RD,"2628 FULLERTON RD, ROWLAND HEIGHTS",3,DUPLICATE_ADDRESS; COVID_ERA_LICENSE; ,WEI ZHAO,2022.0,2024.0,23.7
child_care_centers,197494760,GOOD SPORTS PLUS LTD (DBA) ARC - GOOD SHEPHERD,GOOD SPORTS PLUS LTD,NAJAE WILLIAMS,(310) 641-4400,148 S LINDEN DRIVE,BEVERLY HILLS,CA,90212,LOS ANGELES,58,12,CLOSED,2022-01-31,2022-06-15,5252025,148 S LINDEN DRIVE,"148 S LINDEN DRIVE, BEVERLY HILLS",3,DUPLICATE_ADDRESS; COVID_ERA_LICENSE; ,GOOD SPORTS PLUS LTD,2022.0,2022.0,4.5
child_care_centers,75700612,GRACIE'S PLACE PRESCHOOL,"GRACIE'S PLACE, LLC","PLATTS, DENISE",(925) 302-9092,1998 RANCHO PARK LOOP,SAN RAMON,CA,94582,CONTRA COSTA,52,13,CLOSED,2023-01-30,2023-08-09,5252025,1998 RANCHO PARK LOOP,"1998 RANCHO PARK LOOP, SAN RAMON",0,,"GRACIE'S PLACE, LLC",2023.0,2023.0,6.4
child_care_centers,197750174,GRAND CENTRAL PRESCHOOL,DARRELL MASTON,DARRELL MASTON,(661) 625-0293,23780 NEWHALL AVENUE,SANTA CLARITA,CA,91321,LOS ANGELES,12,77,CLOSED,2023-08-31,2024-07-25,5252025,23780 NEWHALL AVENUE,"23780 NEWHALL AVENUE, SANTA CLARITA",2,DUPLICATE_ADDRESS; ,DARRELL MASTON,2023.0,2024.0,11.0
child_care_centers,455408073,GREAT ADVENTURES,"ROBERTS, PATRICIA","ROBERTS, PATRICIA",(530) 999-3153,2364 BALLS FERRY ROAD,ANDERSON,CA,96007,SHASTA,13,24,CLOSED,2022-03-11,2023-04-07,5252025,2364 BALLS FERRY ROAD,"2364 BALLS FERRY ROAD, ANDERSON",1,COVID_ERA_LICENSE; ,"ROBERTS, PATRICIA",2022.0,2023.0,13.1
child_care_centers,384004669,GUIDEPOST MONTESSORI AT FORT MASON,GUIDEPOST A LLC,"ZURN, HAYLEE",(415) 429-2008,3741 BUCHANAN STREET,SAN FRANCISCO,CA,94123,SAN FRANCISCO,5,18,CLOSED,2023-04-10,2024-10-29,5252025,3741 BUCHANAN STREET,"3741 BUCHANAN STREET, SAN FRANCISCO",1,HIGH_VOLUME_LICENSEE; ,GUIDEPOST A LLC,2023.0,2024.0,18.9
child_care_centers,214005604,GUIDEPOST MONTESSORI AT MILL VALLEY,GUIDEPOST A LLC,"MILLER, ILSA",(949) 354-2259,40 RIDGE AVENUE,MILL VALLEY,CA,94941,MARIN,5,25,CLOSED,2022-01-18,2022-07-15,5252025,40 RIDGE AVENUE,"40 RIDGE AVENUE, MILL VALLEY",4,DUPLICATE_ADDRESS; HIGH_VOLUME_LICENSEE; COVID_ERA_LICENSE; ,GUIDEPOST A LLC,2022.0,2022.0,5.9
child_care_centers,343624402,HAGGINWOOD ACADEMY,HAGGINWOOD ACADEMY,"DAVIS, TRACEY MICHELLE",(916) 696-7575,3240 MARYSVILLE BLVD.,SACRAMENTO,CA,95815,SACRAMENTO,3,12,CLOSED,2023-01-12,2024-10-08,5252025,3240 MARYSVILLE BLVD,"3240 MARYSVILLE BLVD, SACRAMENTO",2,DUPLICATE_ADDRESS; ,HAGGINWOOD ACADEMY,2023.0,2024.0,21.2
child_care_centers,343623718,HAGGINWOOD ACADEMY,HAGGINWOOD ACADEMY LLC,"PRENTICE, E/ESCARREGA, R",(916) 696-7575,3240 MARYSVILLE BLVD,SACRAMENTO,CA,95815,SACRAMENTO,3,23,CLOSED,2020-11-09,2021-10-29,5252025,3240 MARYSVILLE BLVD,"3240 MARYSVILLE BLVD, SACRAMENTO",3,DUPLICATE_ADDRESS; COVID_ERA_LICENSE; ,HAGGINWOOD ACADEMY LLC,2020.0,2021.0,11.8
child_care_centers,334846105,HAPPY WORLD PRESCHOOL,MANZAR FAROOQUI,"TAPIA, ARACELI",(562) 219-1014,2641 GREEN RIVER RD STE 101,CORONA,CA,92882,RIVERSIDE,9,34,CLOSED,2022-01-05,2023-03-27,5252025,2641 GREEN RIVER RD STE 101,"2641 GREEN RIVER RD STE 101, CORONA",3,DUPLICATE_ADDRESS; COVID_ERA_LICENSE; ,MANZAR FAROOQUI,2022.0,2023.0,14.9
child_care_centers,45408271,HAVENSCOURT HIGHER LEARNING CHILDCARE CENTER,OROVILLE SOUTHSIDE COMMUNITY IMPROVEMENT ASSOCIATI,"HILLS, KEESHA",(530) 693-4305,2959 LOWER WYANDOTTE RD,OROVILLE,CA,95966,BUTTE,13,65,CLOSED,2023-06-15,2024-12-17,5252025,2959 LOWER WYANDOTTE RD,"2959 LOWER WYANDOTTE RD, OROVILLE",2,DUPLICATE_ADDRESS; ,OROVILLE SOUTHSIDE COMMUNITY IMPROVEMENT ASSOCIATI,2023.0,2024.0,18.4
child_care_centers,483010224,HEAD START - KENSINGTON,"CHILD START,INC.",VERONICA CHAND,(707) 974-8787,1875 FAIRFIELD AVENUE,FAIRFIELD,CA,94533,SOLANO,1,20,CLOSED,2022-08-19,2023-03-31,5252025,1875 FAIRFIELD AVENUE,"1875 FAIRFIELD AVENUE, FAIRFIELD",1,COVID_ERA_LICENSE; ,"CHILD START,INC.",2022.0,2023.0,7.5
child_care_centers,426216025,HERE WE GROW EARLY LEARNING CENTER,"GROWING BABIES, LLC",HEATHER ROBBINS,(805) 967-8318,3721 MODOC RD.,SANTA BARBARA,CA,93105,SANTA BARBARA,17,34,CLOSED,2020-09-01,2021-10-01,5252025,3721 MODOC RD,"3721 MODOC RD, SANTA BARBARA",1,COVID_ERA_LICENSE; ,"GROWING BABIES, LLC",2020.0,2021.0,13.2
child_care_centers,334845673,HOPE UNLIMITED CHILDREN'S CENTER,CROSSROADS MINISTRIES INT'L,CYNTHIA GLASS,(909) 453-1866,1170 W. RAMSEY ST.,BANNING,CA,92220,RIVERSIDE,9,15,CLOSED,2020-10-07,2021-10-20,5252025,1170 W RAMSEY ST,"1170 W RAMSEY ST, BANNING",1,COVID_ERA_LICENSE; ,CROSSROADS MINISTRIES INT'L,2020.0,2021.0,12.6
child_care_centers,304371497,INFLUENCE ACADEMY PRESCHOOL,INFLUENCE CHURCH,"STARK, MICHELE",(714) 998-8638,8163 EAST KAISER BLVD.,ANAHEIM,CA,92808,ORANGE,6,36,CLOSED,2021-07-15,2022-05-24,5252025,8163 EAST KAISER BLVD,"8163 EAST KAISER BLVD, ANAHEIM",1,COVID_ERA_LICENSE; ,INFLUENCE CHURCH,2021.0,2022.0,10.4
child_care_centers,414005028,INTELLIGENT LEARNING PRESCHOOL,ICADEMY LEARNING CO.,"LIU, TINGTING",(415) 990-1354,200 N. QUEBEC STREET,SAN MATEO,CA,94401,SAN MATEO,5,32,CLOSED,2023-10-05,2025-04-01,5252025,200 N QUEBEC STREET,"200 N QUEBEC STREET, SAN MATEO",0,,ICADEMY LEARNING CO.,2023.0,2025.0,18.1
child_care_centers,313624341,KCE CHAMPIONS LLC,KCE CHAMPIONS LLC @ ALTA VISTA COMMUNITY CHARTER,"ULAHANNAN, ANJANA",(916) 479-4977,173 OAK ST,AUBURN,CA,95603,PLACER,3,75,CLOSED,2022-08-08,2023-05-31,5252025,173 OAK ST,"173 OAK ST, AUBURN",1,COVID_ERA_LICENSE; ,KCE CHAMPIONS LLC @ ALTA VISTA COMMUNITY CHARTER,2022.0,2023.0,9.9
