facility_name,licensee,facility_address,facility_city,facility_zip,county_name,facility_capacity,facility_status,license_first_date,closed_date,months_operated,facility_telephone_number,risk_score,google_maps_url
HAGGINWOOD ACADEMY,HAGGINWOOD ACADEMY LLC,3240 MARYSVILLE BLVD,SACRAMENTO,95815,SACRAMENTO,5,CLOSED,11/9/2020,10/29/2021,11.8,(916) 696-7575,10,https://www.google.com/maps/search/3240%20MARYSVILLE%20BLVD%2C%20SACRAMENTO%2C%20CA
FUTURE STARS ACADEMY,FUTURE STARS ACADEMY,5005 W. 21ST STREET,LOS ANGELES,90016,LOS ANGELES,33,CLOSED,2/24/2020,12/28/2020,10.3,(323) 937-7827,9,https://www.google.com/maps/search/5005%20W.%2021ST%20STREET%2C%20LOS%20ANGELES%2C%20CA
"WALDMAN, CINDY","WALDMAN, CINDY",Unavailable,IRVINE,92620,ORANGE,14,CLOSED,7/28/2021,3/10/2022,7.5,(949) 505-3559,9,https://www.google.com/maps/search/Unavailable%2C%20IRVINE%2C%20CA
WHERE THE WILD THINGS PLAY PRESCHOOL LLC,"DIXON, LORI",5112 BULLION ST,MARIPOSA,95338,MARIPOSA,28,CLOSED,8/6/2022,10/27/2023,14.9,(209) 742-9453,9,https://www.google.com/maps/search/5112%20BULLION%20ST%2C%20MARIPOSA%2C%20CA
"LIEN, SHUANG","LIEN, SHUANG",Unavailable,DUBLIN,94568,ALAMEDA,14,CLOSED,2/10/2022,8/18/2023,18.5,(510) 386-1921,9,https://www.google.com/maps/search/Unavailable%2C%20DUBLIN%2C%20CA
"WALDMAN, CINDY","WALDMAN, CINDY",Unavailable,LAGUNA NIGUEL,92677,ORANGE,14,CLOSED,3/10/2022,10/12/2023,19.4,(949) 505-3559,9,https://www.google.com/maps/search/Unavailable%2C%20LAGUNA%20NIGUEL%2C%20CA
THOMSEN LEARNING CENTER,"THOMSEN, PAMELA",217 EARLHAM STREET,RAMONA,92065,SAN DIEGO,59,CLOSED,7/16/2022,6/17/2024,23.4,(760) 440-0014,9,https://www.google.com/maps/search/217%20EARLHAM%20STREET%2C%20RAMONA%2C%20CA
PDH CHILD CARE CENTER PS,PLUMAS HOSPITAL DISTRICT,204 FAIRGROUNDS RD.,QUINCY,95971,PLUMAS,30,CLOSED,2/18/2021,7/30/2021,5.4,(530) 283-7186,9,https://www.google.com/maps/search/204%20FAIRGROUNDS%20RD.%2C%20QUINCY%2C%20CA
"NOORI, SHAFIQA FAMILY CHILD CARE","NOORI, SHAFIQA",Unavailable,EL CAJON,92020,SAN DIEGO,14,CLOSED,11/16/2021,9/1/2023,21.8,(619) 966-8818,9,https://www.google.com/maps/search/Unavailable%2C%20EL%20CAJON%2C%20CA
ST. MARY'S MONTESSORI SCHOOL,HIMNEL USA INC. DBA ST. MARY'S MONTESSORI SCHOOL,6880 N VICTORIA WINDROWS LOOP,RANCHO CUCAMONGA,91739,SAN BERNARDINO,36,CLOSED,10/30/2020,4/6/2022,17.4,(909) 200-2727,9,https://www.google.com/maps/search/6880%20N%20VICTORIA%20WINDROWS%20LOOP%2C%20RANCHO%20CUCAMONGA%2C%20CA
"MOVSISYAN, HASMIK","MOVSISYAN, HASMIK",Unavailable,SACRAMENTO,95827,SACRAMENTO,14,CLOSED,12/2/2021,12/12/2022,12.5,(916) 600-0080,9,https://www.google.com/maps/search/Unavailable%2C%20SACRAMENTO%2C%20CA
SHORES CHILD DEVELOPMENT CENTER,KINDERCARE EDUCATION AT WORK LLC,1050 TWIN DOLPHIN DRIVE,REDWOOD CITY,94065,SAN MATEO,40,CLOSED,12/17/2020,6/29/2021,6.5,(650) 594-1100,9,https://www.google.com/maps/search/1050%20TWIN%20DOLPHIN%20DRIVE%2C%20REDWOOD%20CITY%2C%20CA
VALLEY NURSERY SCHOOL,KEVIN CHONG YI,6948 WOODMAN AVE,VALLEY GLEN,91405,LOS ANGELES,29,CLOSED,11/19/2021,8/24/2023,21.4,(818) 782-8630,9,https://www.google.com/maps/search/6948%20WOODMAN%20AVE%2C%20VALLEY%20GLEN%2C%20CA
ENCINITAS SHINING STARS,"ELLINS, PAUL",511 ENCINITAS BOULEVARD #114,ENCINITAS,92024,SAN DIEGO,55,CLOSED,5/4/2021,11/3/2022,18.3,(760) 436-5433,9,https://www.google.com/maps/search/511%20ENCINITAS%20BOULEVARD%20%23114%2C%20ENCINITAS%2C%20CA
VISTA MONTESSORI COUNTRY PRESCHOOL,WAKE PROPERTIES INC,777 TAYLOR STREET,VISTA,92084,SAN DIEGO,57,CLOSED,3/9/2020,7/28/2021,16.9,(760) 945-9222,9,https://www.google.com/maps/search/777%20TAYLOR%20STREET%2C%20VISTA%2C%20CA
WHERE THE WILD THINGS PLAY PRESCHOOL LLC,"DIXON, LORI",5112 BULLION ST,MARIPOSA,95338,MARIPOSA,60,CLOSED,8/6/2022,11/26/2023,15.9,(209) 742-9453,9,https://www.google.com/maps/search/5112%20BULLION%20ST%2C%20MARIPOSA%2C%20CA
WOODCREST PRESCHOOL ON THE BOULEVARD,WOODCREST PRESCHOOL,19436 VENTURA BLVD,TARZANA,91356,LOS ANGELES,87,CLOSED,1/26/2021,6/6/2022,16.5,(818) 593-2244,9,https://www.google.com/maps/search/19436%20VENTURA%20BLVD%2C%20TARZANA%2C%20CA
"FESTO, CAROLINA & NIYUNGEKO FAMILY CHILD CARE","FESTO, CAROLINA & NIYUNGEKO",Unavailable,SAN DIEGO,92105,SAN DIEGO,14,CLOSED,10/4/2021,2/3/2022,4.1,(619) 348-4120,9,https://www.google.com/maps/search/Unavailable%2C%20SAN%20DIEGO%2C%20CA
YMCA OF THE EAST BAY-JOHN MUIR,YOUNG MEN'S CHRISTIAN ASSOCIATION OF THE EAST BAY,24823 SOTO ROAD,HAYWARD,94544,ALAMEDA,45,CLOSED,1/4/2022,11/21/2022,10.7,(510) 848-9092,9,https://www.google.com/maps/search/24823%20SOTO%20ROAD%2C%20HAYWARD%2C%20CA
YMCA OF THE EAST BAY - BURBANK EARLY LEARNING CEN,YOUNG MEN'S CHRISTIAN ASSOCIATION OF THE EAST BAY,3550 - 64TH AVENUE,OAKLAND,94605,ALAMEDA,60,CLOSED,12/1/2022,7/1/2024,19.3,(510) 809-2261,9,https://www.google.com/maps/search/3550%20-%2064TH%20AVENUE%2C%20OAKLAND%2C%20CA
YMCA OF THE EAST BAY - FAIRGROUNDS ELC,YOUNG MEN'S CHRISTIAN ASSOCIATION OF THE EAST BAY,1203 WEST 10TH STREET,ANTIOCH,94509,CONTRA COSTA,128,CLOSED,10/14/2022,8/22/2024,22.6,(925) 450-6952,9,https://www.google.com/maps/search/1203%20WEST%2010TH%20STREET%2C%20ANTIOCH%2C%20CA
RIGHT AT SCHOOL AT FAIRMEADOW ELEMENTARY,"RIGHT AT SCHOOL, LLC",500 E. MEADOW DRIVE,PALO ALTO,94306,SANTA CLARA,120,CLOSED,10/20/2020,4/1/2021,5.4,(650) 407-0531,9,https://www.google.com/maps/search/500%20E.%20MEADOW%20DRIVE%2C%20PALO%20ALTO%2C%20CA
RIGHT AT SCHOOL AT EL CARMELO ELEMENTARY,"RIGHT AT SCHOOL, LLC",3024 BRYANT STREET,PALO ALTO,94306,SANTA CLARA,120,CLOSED,10/20/2020,4/1/2021,5.4,(650) 407-0531,9,https://www.google.com/maps/search/3024%20BRYANT%20STREET%2C%20PALO%20ALTO%2C%20CA
YWCA STARS PRESCHOOL-MONTE RIO,YWCA OF SONOMA COUNTY,20700 FOOTHILL DRIVE,MONTE RIO,95462,SONOMA,15,CLOSED,7/1/2022,6/13/2024,23.8,(707) 869-8106,9,https://www.google.com/maps/search/20700%20FOOTHILL%20DRIVE%2C%20MONTE%20RIO%2C%20CA
"NASCIMENTO, LACEY","NASCIMENTO, LACEY",Unavailable,MANTECA,95337,SAN JOAQUIN,14,CLOSED,7/31/2020,2/4/2022,18.4,(209) 481-5710,9,https://www.google.com/maps/search/Unavailable%2C%20MANTECA%2C%20CA
SBCSS MULBERRY STATE PRESCHOOL,SAN BERNARDINO COUNTY SUPERINTENDENT OF SCHOOLS,8435 ARCHIBALD AVENUE,RANCHO CUCAMONGA,91730,SAN BERNARDINO,24,CLOSED,9/18/2020,7/2/2021,9.6,(909) 628-6958,9,https://www.google.com/maps/search/8435%20ARCHIBALD%20AVENUE%2C%20RANCHO%20CUCAMONGA%2C%20CA
"ABDI, MISKI FAMILY CHILD CARE","ABDI, MISKI",Unavailable,LAKESIDE,92040,SAN DIEGO,14,CLOSED,6/2/2022,5/15/2023,11.6,(619) 278-1416,9,https://www.google.com/maps/search/Unavailable%2C%20LAKESIDE%2C%20CA
DICKERSON FAMILY CHILD CARE,"DICKERSON, ANITA",Unavailable,CARSON,90746,LOS ANGELES,14,CLOSED,11/1/2022,12/12/2023,13.5,(424) 200-8647,9,https://www.google.com/maps/search/Unavailable%2C%20CARSON%2C%20CA
"MARCUS, ESTHER","MARCUS, ESTHER",Unavailable,SAN MATEO,94402,SAN MATEO,14,CLOSED,8/18/2020,8/18/2021,12.2,(650) 483-8350,9,https://www.google.com/maps/search/Unavailable%2C%20SAN%20MATEO%2C%20CA
"CARBIN, KRIS FAMILY CHILD CARE HOME","CARBIN, KRIS",Unavailable,REDDING,96002,SHASTA,14,CLOSED,7/10/2020,1/3/2022,18.1,(530) 710-7508,9,https://www.google.com/maps/search/Unavailable%2C%20REDDING%2C%20CA
CABAONG FAMILY CHILD CARE,"CABAONG, ATLANTIS",Unavailable,MURRIETA,92563,RIVERSIDE,14,CLOSED,9/27/2021,11/18/2022,13.9,(951) 973-1105,9,https://www.google.com/maps/search/Unavailable%2C%20MURRIETA%2C%20CA
MCDOWELL FAMILY CHILD CARE,PATIENCE MCDOWELL,Unavailable,YUCCA VALLEY,92284,SAN BERNARDINO,14,CLOSED,7/11/2022,12/16/2022,5.3,(760) 596-7315,9,https://www.google.com/maps/search/Unavailable%2C%20YUCCA%20VALLEY%2C%20CA
"LEARNING TREE PRESCHOOL, THE","WILSON, DOUGLAS",3045 ROCKVILLE ROAD,FAIRFIELD,94534,SOLANO,90,CLOSED,12/11/2020,10/4/2021,9.9,(707) 639-9621,9,https://www.google.com/maps/search/3045%20ROCKVILLE%20ROAD%2C%20FAIRFIELD%2C%20CA
KCE CHAMPIONS LLC,KCE CHAMPIONS LLC @ ALTA VISTA COMMUNITY CHARTER,173 OAK ST,AUBURN,95603,PLACER,75,CLOSED,8/8/2022,5/31/2023,9.9,(916) 479-4977,9,https://www.google.com/maps/search/173%20OAK%20ST%2C%20AUBURN%2C%20CA
LEMONWOOD STATE PRESCHOOL,OXNARD SCHOOL DISTRICT,2001 SAN MATEO PLACE,OXNARD,93033,VENTURA,24,CLOSED,2/18/2021,6/30/2022,16.6,(805) 385-1501,9,https://www.google.com/maps/search/2001%20SAN%20MATEO%20PLACE%2C%20OXNARD%2C%20CA
MCDOWELL FAMILY CHILD CARE,PATIENCE MCDOWELL,Unavailable,JOSHUA TREE,92252,SAN BERNARDINO,14,CLOSED,3/7/2022,7/9/2022,4.1,(760) 596-7315,9,https://www.google.com/maps/search/Unavailable%2C%20JOSHUA%20TREE%2C%20CA
"BROWN, ALESHA FAMILY CHILD CARE HOME","BROWN, ALESHA",Unavailable,REDDING,96003,SHASTA,14,CLOSED,6/29/2021,6/13/2022,11.6,(707) 499-3172,9,https://www.google.com/maps/search/Unavailable%2C%20REDDING%2C%20CA
BROWN FAMILY CHILD CARE,"BROWN, MELISSA",Unavailable,SANTA MARIA,93455,SANTA BARBARA,14,CLOSED,11/9/2022,3/27/2024,16.8,(805) 268-8500,9,https://www.google.com/maps/search/Unavailable%2C%20SANTA%20MARIA%2C%20CA
"COOKS, DEBORAH FAMILY CHILD CARE","COOKS, DEBORAH",Unavailable,BAKERSFIELD,93309,KERN,14,CLOSED,10/16/2020,9/2/2021,10.7,(661) 246-8927,9,https://www.google.com/maps/search/Unavailable%2C%20BAKERSFIELD%2C%20CA
HERE WE GROW EARLY LEARNING CENTER,"GROWING BABIES, LLC",3721 MODOC RD.,SANTA BARBARA,93105,SANTA BARBARA,34,CLOSED,9/1/2020,10/1/2021,13.2,(805) 967-8318,9,https://www.google.com/maps/search/3721%20MODOC%20RD.%2C%20SANTA%20BARBARA%2C%20CA
MADRIGAL FCC AKA TINY TOWN DAYCARE,"MADRIGAL, AMANDA",Unavailable,ATASCADERO,93422,SAN LUIS OBISPO,14,CLOSED,8/24/2020,5/28/2021,9.2,(805) 423-4969,9,https://www.google.com/maps/search/Unavailable%2C%20ATASCADERO%2C%20CA
"BENSON, ROBYN","BENSON, ROBYN",Unavailable,WINTERS,95694,YOLO,14,CLOSED,8/10/2020,4/19/2022,20.6,(530) 304-8490,9,https://www.google.com/maps/search/Unavailable%2C%20WINTERS%2C%20CA
LITTLE SUNSHINE LEARNING CENTER,"WHITESIDE, JULIETA",15 WOODLAND DRIVE,ST HELENA,94574,NAPA,12,CLOSED,12/28/2020,6/13/2022,17.7,(702) 786-2237,9,https://www.google.com/maps/search/15%20WOODLAND%20DRIVE%2C%20ST%20HELENA%2C%20CA
"MCMILLAN, DAWN FAMILY CHILD CARE","MCMILLAN, DAWN",Unavailable,SPRING VALLEY,91977,SAN DIEGO,14,CLOSED,12/29/2020,12/14/2021,11.7,(619) 733-1283,9,https://www.google.com/maps/search/Unavailable%2C%20SPRING%20VALLEY%2C%20CA
MELBROOKS SCHOOL,SHELDON EL,3535 INDUSTRIAL DRIVE B4,SANTA ROSA,95403,SONOMA,30,CLOSED,3/17/2021,4/29/2022,13.6,(707) 708-8676,9,https://www.google.com/maps/search/3535%20INDUSTRIAL%20DRIVE%20B4%2C%20SANTA%20ROSA%2C%20CA
"BAI, YAPING","BAI, YAPING",Unavailable,SUNNYVALE,94086,SANTA CLARA,14,CLOSED,6/17/2021,9/21/2022,15.4,(408) 476-7600,9,https://www.google.com/maps/search/Unavailable%2C%20SUNNYVALE%2C%20CA
MIDTOWN MONTESSORI,PRACTICAL LIFE INC.,"987 BOSTWICK LANE, CLASSROOM 1",SANTA CRUZ,95062,SANTA CRUZ,25,CLOSED,7/13/2021,10/2/2022,14.9,(831) 423-2273,9,https://www.google.com/maps/search/987%20BOSTWICK%20LANE%2C%20CLASSROOM%201%2C%20SANTA%20CRUZ%2C%20CA
"BAI, YAPING","BAI, YAPING",Unavailable,SUNNYVALE,94086,SANTA CLARA,14,CLOSED,9/21/2022,4/16/2024,19.1,(408) 476-7600,9,https://www.google.com/maps/search/Unavailable%2C%20SUNNYVALE%2C%20CA
GUIDEPOST MONTESSORI AT MILL VALLEY,GUIDEPOST A LLC,40 RIDGE AVENUE,MILL VALLEY,94941,MARIN,25,CLOSED,1/18/2022,7/15/2022,5.9,(949) 354-2259,9,https://www.google.com/maps/search/40%20RIDGE%20AVENUE%2C%20MILL%20VALLEY%2C%20CA
NORTH BAY CHILDREN'S CENTER - LYNWOOD,"NORTH BAY CHILDREN'S CENTER, INC.",1320 LYNWOOD DRIVE,NOVATO,94947,MARIN,20,CLOSED,6/20/2022,4/24/2023,10.3,(415) 883-6222,9,https://www.google.com/maps/search/1320%20LYNWOOD%20DRIVE%2C%20NOVATO%2C%20CA
"ANDRAL, EDNER FAMILY CHILD CARE","ANDRAL, EDNER",Unavailable,SAN DIEGO,92105,SAN DIEGO,14,CLOSED,6/1/2022,12/7/2023,18.5,(619) 717-4099,9,https://www.google.com/maps/search/Unavailable%2C%20SAN%20DIEGO%2C%20CA
SBCSS APPLE VALLEY INCLUSION PROGRAM,SAN BERNARDINO COUNTY SUPERINTENDENT OF SCHOOLS,18415 NAKASH RD BLDG 400 RM403,APPLE VALLEY,92307,SAN BERNARDINO,24,CLOSED,10/14/2020,5/31/2021,7.6,(909) 387-8517,9,https://www.google.com/maps/search/18415%20NAKASH%20RD%20BLDG%20400%20RM403%2C%20APPLE%20VALLEY%2C%20CA
"LOPEZ, ESPERANZA","LOPEZ, ESPERANZA",Unavailable,SAN JOSE,95117,SANTA CLARA,14,CLOSED,1/15/2021,12/29/2021,11.6,(831) 291-6203,9,https://www.google.com/maps/search/Unavailable%2C%20SAN%20JOSE%2C%20CA
"DEVILLERES, TACY & DO, LONG FAMILY CHILD CARE","DEVILLERES, TACY & DO, LONG",Unavailable,SAN DIEGO,92123,SAN DIEGO,14,CLOSED,4/26/2022,12/30/2022,8.3,(858) 531-9022,9,https://www.google.com/maps/search/Unavailable%2C%20SAN%20DIEGO%2C%20CA
REDROSE MONTESSORI SCHOOL,RRMS MOUNTAIN HOUSE LLC,805 S CENTRAL PARKWAY,MOUNTAIN HOUSE,95391,SAN JOAQUIN,30,CLOSED,7/15/2022,11/28/2023,16.7,(209) 299-5437,9,https://www.google.com/maps/search/805%20S%20CENTRAL%20PARKWAY%2C%20MOUNTAIN%20HOUSE%2C%20CA
SMITH FAMILY CHILD CARE,"SMITH, MELISSA",Unavailable,SANTA MARIA,93455,SANTA BARBARA,14,CLOSED,10/25/2021,11/9/2022,12.7,(805) 268-8500,9,https://www.google.com/maps/search/Unavailable%2C%20SANTA%20MARIA%2C%20CA
"PLAYGROUND LEARNING CENTER, THE","WHITE, SHENEA",237 AVOCADO AVENUE,EL CAJON,92020,SAN DIEGO,11,CLOSED,11/22/2021,4/29/2022,5.3,(619) 724-6350,9,https://www.google.com/maps/search/237%20AVOCADO%20AVENUE%2C%20EL%20CAJON%2C%20CA
"GARCIA, LYDIA FAMILY CHILD CARE","GARCIA, LYDIA",Unavailable,VISALIA,93291,TULARE,14,CLOSED,5/31/2022,11/7/2023,17.5,(559) 805-4704,9,https://www.google.com/maps/search/Unavailable%2C%20VISALIA%2C%20CA
"NATURE'S LAB SCHOOL, LLC","ANDERSON, SILVIA M.",6201 WINDING WAY,CARMICHAEL,95608,SACRAMENTO,6,CLOSED,11/20/2020,12/7/2021,12.7,(916) 642-9291,9,https://www.google.com/maps/search/6201%20WINDING%20WAY%2C%20CARMICHAEL%2C%20CA
KIRSCHENSTEIN FAMILY CHILD CARE,MARIA KIRSCHENSTEIN,Unavailable,SANTA MONICA,90403,LOS ANGELES,14,CLOSED,5/19/2022,8/1/2023,14.6,(310) 383-7988,9,https://www.google.com/maps/search/Unavailable%2C%20SANTA%20MONICA%2C%20CA
"WU, XIU LING","WU,XIU LING",Unavailable,SAN FRANCISCO,94116,SAN FRANCISCO,14,CLOSED,8/22/2022,7/3/2023,10.5,(415) 324-9002,9,https://www.google.com/maps/search/Unavailable%2C%20SAN%20FRANCISCO%2C%20CA
"WU, XIU LING","WU, XIU LING",Unavailable,SAN FRANCISCO,94132,SAN FRANCISCO,14,CLOSED,12/8/2020,8/22/2022,20.7,(415) 324-9002,9,https://www.google.com/maps/search/Unavailable%2C%20SAN%20FRANCISCO%2C%20CA
HAPPY WORLD PRESCHOOL,MANZAR FAROOQUI,2641 GREEN RIVER RD STE 101,CORONA,92882,RIVERSIDE,12,CLOSED,1/5/2022,3/27/2023,14.9,(562) 219-1045,9,https://www.google.com/maps/search/2641%20GREEN%20RIVER%20RD%20STE%20101%2C%20CORONA%2C%20CA
XU & CHEN FAMILY CHILD CARE,BING YAN XU & YING CHEN,Unavailable,ALAHAMBRA,91803,LOS ANGELES,14,CLOSED,6/24/2022,8/30/2023,14.4,(213) 267-2267,9,https://www.google.com/maps/search/Unavailable%2C%20ALAHAMBRA%2C%20CA
"SABOVIC, MAAN","SABOVIC, MAAN",Unavailable,ELK GROVE,95757,SACRAMENTO,14,CLOSED,10/18/2022,9/15/2023,11.1,(408) 768-0286,9,https://www.google.com/maps/search/Unavailable%2C%20ELK%20GROVE%2C%20CA
GOOD SPORTS PLUS LTD (DBA) ARC - ST. TIMOTHY'S,GOOD SPORTS PLUS LTD,10497 WEST PICO BLVD,LOS ANGELES,90064,LOS ANGELES,39,CLOSED,2/1/2022,6/18/2022,4.6,(310) 671-4400,9,https://www.google.com/maps/search/10497%20WEST%20PICO%20BLVD%2C%20LOS%20ANGELES%2C%20CA
"LEARNING TREE PRESCHOOL, THE","WILSON, DOUGLAS",3045 ROCKVILLE ROAD,FAIRFIELD,94534,SOLANO,30,CLOSED,12/11/2020,10/4/2021,9.9,(707) 639-9621,9,https://www.google.com/maps/search/3045%20ROCKVILLE%20ROAD%2C%20FAIRFIELD%2C%20CA
CHICO CHILD DEVELOPMENT CENTER- SCHOOL AGE,"CAPERELLO, SHELLY",850 PALMETTO AVE,CHICO,95926,BUTTE,6,CLOSED,6/10/2021,6/8/2022,12.1,(530) 894-1778,9,https://www.google.com/maps/search/850%20PALMETTO%20AVE%2C%20CHICO%2C%20CA
"HUANG, CUILING","HUANG, CUILING",Unavailable,ELK GROVE,95757,SACRAMENTO,14,CLOSED,9/23/2020,2/4/2021,4.5,(510) 417-6591,9,https://www.google.com/maps/search/Unavailable%2C%20ELK%20GROVE%2C%20CA
MOREY AVENUE EARLY LEARNING CENTER,TWIN RIVERS UNIFIED SCHOOL DISTRICT,155 MOREY AVENUE,SACRAMENTO,95838,SACRAMENTO,16,CLOSED,3/10/2022,1/25/2024,22.9,(916) 566-3485,9,https://www.google.com/maps/search/155%20MOREY%20AVENUE%2C%20SACRAMENTO%2C%20CA
"HUNG, HUI LIN","HUNG, HUI LIN",Unavailable,SAN MATEO,94403,SAN MATEO,14,CLOSED,6/24/2021,4/28/2023,22.4,(650) 208-1063,9,https://www.google.com/maps/search/Unavailable%2C%20SAN%20MATEO%2C%20CA
"BESA SCHOOL, THE","BESA SCHOOL, THE",15014 STUDEBAKER RD,NORWALK,90650,LOS ANGELES,45,CLOSED,9/1/2020,7/29/2022,23.2,(562) 474-1848,9,https://www.google.com/maps/search/15014%20STUDEBAKER%20RD%2C%20NORWALK%2C%20CA
JUST 4 KIDS PRESCHOOL-CORONA,"J4K PRESCHOOL-CORONA, INC",1585 E ONTARIO AVE,CORONA,92881,RIVERSIDE,27,CLOSED,6/24/2021,8/1/2022,13.4,(951) 479-3888,9,https://www.google.com/maps/search/1585%20E%20ONTARIO%20AVE%2C%20CORONA%2C%20CA
"YAROSHENKO, HALYNA FAMILY CHILD CARE","YAROSHENKO, HALYNA",Unavailable,SAN DIEGO,92129,SAN DIEGO,14,CLOSED,3/27/2020,8/9/2021,16.7,(858) 922-2631,9,https://www.google.com/maps/search/Unavailable%2C%20SAN%20DIEGO%2C%20CA
OAKDALE EARLY LEARNING CENTER,TWIN RIVERS UNIFIED SCHOOL DISTRICT,3708 MYRTLE AVENUE,NORTH HIGHLANDS,95660,SACRAMENTO,8,CLOSED,3/10/2022,11/8/2023,20.3,(916) 566-3485,9,https://www.google.com/maps/search/3708%20MYRTLE%20AVENUE%2C%20NORTH%20HIGHLANDS%2C%20CA
ALL ARE FRIENDS MONTESSORI,AAF MONTESSORI LLC,1130 BALCLUTHA DRIVE,FOSTER CITY,94404,SAN MATEO,45,CLOSED,5/31/2022,10/4/2023,16.4,(650) 286-0400,9,https://www.google.com/maps/search/1130%20BALCLUTHA%20DRIVE%2C%20FOSTER%20CITY%2C%20CA
ORANGE PRESBYTERIAN PRESCHOOL,FIRST PRESBYTERIAN CHURCH OF ORANGE,191 NORTH ORANGE STREET,ORANGE,92866,ORANGE,20,CLOSED,10/8/2021,1/31/2023,16.0,(714) 538-2341,9,https://www.google.com/maps/search/191%20NORTH%20ORANGE%20STREET%2C%20ORANGE%2C%20CA
YMCA OF THE EAST BAY - FAIRGROUNDS ELC,YOUNG MEN'S CHRISTIAN ASSOCIATION OF THE EAST BAY,1203 WEST 10TH STREET,ANTIOCH,94509,CONTRA COSTA,21,CLOSED,10/14/2022,8/9/2024,22.2,(925) 450-6952,9,https://www.google.com/maps/search/1203%20WEST%2010TH%20STREET%2C%20ANTIOCH%2C%20CA
YMCA OF THE EAST BAY-JOHN MUIR,YOUNG MEN'S CHRISTIAN ASSOCIATION OF THE EAST BAY,24823 SOTO ROAD,HAYWARD,94544,ALAMEDA,32,CLOSED,1/4/2022,11/21/2022,10.7,(510) 848-9092,9,https://www.google.com/maps/search/24823%20SOTO%20ROAD%2C%20HAYWARD%2C%20CA
VISTA MONTESSORI COUNTRY PRESCHOOL,WAKE PROPERTIES INC,777 TAYLOR STREET,VISTA,92084,SAN DIEGO,8,CLOSED,3/9/2020,7/28/2021,16.9,(760) 945-9222,9,https://www.google.com/maps/search/777%20TAYLOR%20STREET%2C%20VISTA%2C%20CA
