facility_type,facility_number,facility_name,licensee,facility_administrator,facility_telephone_number,facility_address,facility_city,facility_state,facility_zip,county_name,regional_office,facility_capacity,facility_status,license_first_date,closed_date,file_date,address_normalized,full_address,fraud_score,fraud_flags,licensee_normalized
child_care_centers,376700703,A PLACE OF OUR OWN CHILD DEVELOPMENT CENTER,"A PLACE OF OUR OWN CDC, INC","CRUZ, ROSARIO",(760) 737-8660,2355 E VALLEY PARKWAY,ESCONDIDO,CA,92027,SAN DIEGO,10,72,CLOSED,8/1/2010,7/23/2023,5252025,2355 E VALLEY PARKWAY,"2355 E VALLEY PARKWAY, ESCONDIDO",2,DUPLICATE_ADDRESS; ,"A PLACE OF OUR OWN CDC, INC"
child_care_centers,197750176,A PLACE OF OUR OWN LEARNING ACADEMY,ALLEA ADAMS,ALLEA ADAMS,(661) 236-3456,2046 W AVENUE J,LANCASTER,CA,93536,LOS ANGELES,12,62,LICENSED,11/15/2023,,5252025,2046 W AVENUE J,"2046 W AVENUE J, LANCASTER",1,HIGH_VOLUME_LICENSEE; ,ALLEA ADAMS
child_care_centers,197417542,"A PLACE TWO GROW, INC.","CARSON, RACHELLE","CARSON, RACHELLE",(323) 295-3114,3770 SANTA ROSALIA DRIVE,LOS ANGELES,CA,90008,LOS ANGELES,58,39,CLOSED,5/24/2011,5/15/2023,5252025,3770 SANTA ROSALIA DRIVE,"3770 SANTA ROSALIA DRIVE, LOS ANGELES",2,DUPLICATE_ADDRESS; ,"CARSON, RACHELLE"
child_care_centers,490110022,A SPECIAL PLACE,YWCA OF SONOMA COUNTY,AMY DEJUNG,(707) 523-2337,1128 EDWARDS AVENUE,SANTA ROSA,CA,95401,SONOMA,1,30,LICENSED,10/1/1990,,5252025,1128 EDWARDS AVENUE,"1128 EDWARDS AVENUE, SANTA ROSA",1,HIGH_VOLUME_LICENSEE; ,YWCA OF SONOMA COUNTY
child_care_centers,198012426,ABBOTT PRESCHOOL,LYNWOOD UNIFIED SCHOOL DISTRICT,JESSICA ALDAZ,(310) 603-2075,5260 E. CLARK STREET,LYNWOOD,CA,90262,LOS ANGELES,54,30,INACTIVE,3/27/2006,,5252025,5260 E CLARK STREET,"5260 E CLARK STREET, LYNWOOD",1,HIGH_VOLUME_LICENSEE; ,LYNWOOD UNIFIED SCHOOL DISTRICT
child_care_centers,336300087,ABC CHILD CARE CENTER,ANTON SCHOOLS INC DBA ABC CHILD CARE CENTER INC,TONYA WRIGHT,(951) 491-0940,29705 SOLANA WAY,TEMECULA,CA,92591,RIVERSIDE,10,190,LICENSED,12/22/2019,,5252025,29705 SOLANA WAY,"29705 SOLANA WAY, TEMECULA",2,DUPLICATE_ADDRESS; ,ANTON SCHOOLS INC DBA ABC CHILD CARE CENTER INC
child_care_centers,334814893,ABC CHILD CARE VILLAGE,"ABC VILLAGE, INC",ANGELINE ANTON (ANGEL),(951) 491-0940,40045 VILLAGE ROAD,TEMECULA,CA,92591,RIVERSIDE,10,216,LICENSED,7/14/2004,,5252025,40045 VILLAGE ROAD,"40045 VILLAGE ROAD, TEMECULA",2,DUPLICATE_ADDRESS; ,"ABC VILLAGE, INC"
child_care_centers,300614038,ABC DEVELOPMENT PRESCHOOL #3,ABC 4 B & J INC.,"HEIN, CINDY",(714) 821-4222,9972 GRAHAM ST.,CYPRESS,CA,90630,ORANGE,6,60,LICENSED,9/14/1992,,5252025,9972 GRAHAM ST,"9972 GRAHAM ST, CYPRESS",2,DUPLICATE_ADDRESS; ,ABC 4 B & J INC.
child_care_centers,566215203,ABC KIDS PRESCHOOL & CHILDCARE,ABC KIDS PRESCHOOL & CHILD CARE,ALMA D. FERREL,(805) 524-1222,808 RIVER STREET,FILLMORE,CA,93015,VENTURA,17,48,LICENSED,4/27/2016,,5252025,808 RIVER STREET,"808 RIVER STREET, FILLMORE",2,DUPLICATE_ADDRESS; ,ABC KIDS PRESCHOOL & CHILD CARE
child_care_centers,343607946,ABRAHAM LINCOLN PRESCHOOL,SCUSD CHILD DEVELOPMENT,"DO, KIN",(916) 395-4503,3324 GLENMOORE DRIVE,SACRAMENTO,CA,95827,SACRAMENTO,3,25,LICENSED,4/12/2002,,5252025,3324 GLENMOORE DRIVE,"3324 GLENMOORE DRIVE, SACRAMENTO",1,HIGH_VOLUME_LICENSEE; ,SCUSD CHILD DEVELOPMENT
child_care_centers,198400896,ACADEMIA MONTESSORI,KNOLLER MONTESSORI LLC,"BALGEMINO, JANICE",(562) 474-1848,15110 STUDEBAKER ROAD,NORWALK,CA,90650,LOS ANGELES,54,26,LICENSED,1/26/2024,,5252025,15110 STUDEBAKER ROAD,"15110 STUDEBAKER ROAD, NORWALK",0,,KNOLLER MONTESSORI LLC
child_care_centers,198400930,ACADEMIA MONTESSORI PRESCHOOL,KNOLLER MONTESSORI LLC,JANICE BALGEMINO,(562) 474-1848,15014 STUDEBAKER RD,NORWALK,CA,90650,LOS ANGELES,54,45,LICENSED,1/26/2024,,5252025,15014 STUDEBAKER RD,"15014 STUDEBAKER RD, NORWALK",2,DUPLICATE_ADDRESS; ,KNOLLER MONTESSORI LLC
child_care_centers,573622545,ACADEMY 4 KIDS,"BARRAGAN, PATRICIA & BARRAGAN, ERICA","BARRAGAN, PATRICIA & BARRA",(916) 389-0843,"2455 WEST CAPITOL AVE, #110",WEST SACRAMENTO,CA,95691,YOLO,53,28,LICENSED,7/27/2018,,5252025,2455 WEST CAPITOL AVE #110,"2455 WEST CAPITOL AVE #110, WEST SACRAMENTO",2,DUPLICATE_ADDRESS; ,"BARRAGAN, PATRICIA & BARRAGAN, ERICA"
child_care_centers,376700755,"ACADEMY AT BRIGHT HORIZONS, THE",BRIGHT HORIZONS CHILDREN'S CENTER LLC,NICOLE FIORELLA,(760) 436-9666,2232 ENCINITAS BOULEVARD,ENCINITAS,CA,92024,SAN DIEGO,51,154,LICENSED,11/8/2010,,5252025,2232 ENCINITAS BOULEVARD,"2232 ENCINITAS BOULEVARD, ENCINITAS",1,HIGH_VOLUME_LICENSEE; ,BRIGHT HORIZONS CHILDREN'S CENTER LLC
child_care_centers,197493688,"ACADEMY AT MANHATTAN BEACH, THE",BRIGHT HORIZONS CHILDREN'S CENTERS LLC.,SYLVIA RUIZ,(310) 546-1700,1114 22ND STREET,MANHATTAN BEACH,CA,90266,LOS ANGELES,30,125,LICENSED,3/2/2018,,5252025,1114 22ND STREET,"1114 22ND STREET, MANHATTAN BEACH",2,DUPLICATE_ADDRESS; ,BRIGHT HORIZONS CHILDREN'S CENTERS LLC.
child_care_centers,198019784,"ACADEMY AT PASADENA, THE",BRIGHT HORIZONS CHILDREN'S CENTERS LLC,KARA LEWIS,(626) 578-7300,700 E GREEN ST,PASADENA,CA,91101,LOS ANGELES,33,74,LICENSED,2/26/2018,,5252025,700 E GREEN ST,"700 E GREEN ST, PASADENA",1,HIGH_VOLUME_LICENSEE; ,BRIGHT HORIZONS CHILDREN'S CENTERS LLC
child_care_centers,197493689,"ACADEMY AT VENICE, THE",BRIGHT HORIZONS CHILDREN'S CENTERS LLC.,"LY, SIRENA",(310) 827-7300,2201 LINCOLN BLVD.,VENICE,CA,90291,LOS ANGELES,30,105,LICENSED,3/2/2018,,5252025,2201 LINCOLN BLVD,"2201 LINCOLN BLVD, VENICE",0,,BRIGHT HORIZONS CHILDREN'S CENTERS LLC.
child_care_centers,197493687,"ACADEMY AT WESTWOOD, THE",BRIGHT HORIZONS CHILDREN'S CENTERS LLC,NICOLE BROZKA,(310) 446-5400,2028 WESTWOOD BOULEVARD,LOS ANGELES,CA,90025,LOS ANGELES,30,71,LICENSED,2/16/2018,,5252025,2028 WESTWOOD BOULEVARD,"2028 WESTWOOD BOULEVARD, LOS ANGELES",1,HIGH_VOLUME_LICENSEE; ,BRIGHT HORIZONS CHILDREN'S CENTERS LLC
child_care_centers,394500315,ACADEMY OF CHILD DEVELOPMENT & AMORE,ACADEMY OF CHILD DEVELOPMENT & AMORE LLC,AIDA LOMELI,(209) 898-2958,170 EAST FRENCH CAMP ROAD,FRENCH CAMP,CA,95231,SAN JOAQUIN,53,40,LICENSED,5/12/2021,,5252025,170 EAST FRENCH CAMP ROAD,"170 EAST FRENCH CAMP ROAD, FRENCH CAMP",2,DUPLICATE_ADDRESS; ,ACADEMY OF CHILD DEVELOPMENT & AMORE LLC
child_care_centers,197750110,ACADEMY OF EXCELLENCE,CHAUNCY SMITH,LORIENA FRANCISCO,(661) 206-9344,725 E AVENUE J,LANCASTER,CA,93535,LOS ANGELES,12,27,LICENSED,4/16/2021,,5252025,725 E AVENUE J,"725 E AVENUE J, LANCASTER",1,HIGH_VOLUME_LICENSEE; ,CHAUNCY SMITH
child_care_centers,197750161,ACADEMY OF EXCELLENCE,CHAUNCY SMITH,CHAUNCY SMITH,(661) 206-9344,1324 WEST AVENUE J SUITE 5,LANCASTER,CA,93534,LOS ANGELES,12,53,LICENSED,6/16/2023,,5252025,1324 WEST AVENUE J SUITE 5,"1324 WEST AVENUE J SUITE 5, LANCASTER",3,DUPLICATE_ADDRESS; HIGH_VOLUME_LICENSEE; ,CHAUNCY SMITH
child_care_centers,376701491,ACADEMY OF PLAY LLC,ACADEMY OF PLAY LLC,CINTHYA BAEZ,(619) 439-2390,7255 UNIVERSITY AVENUE,LA MESA,CA,91942,SAN DIEGO,20,26,LICENSED,3/28/2022,,5252025,7255 UNIVERSITY AVENUE,"7255 UNIVERSITY AVENUE, LA MESA",0,,ACADEMY OF PLAY LLC
child_care_centers,430700006,ACHIEVER CHRISTIAN SCHOOLS,FIRST BAPTIST CHURCH,LINDA BREMER,(408) 264-2345,540 SANDS DRIVE,SAN JOSE,CA,95125,SANTA CLARA,7,120,CLOSED,10/30/1993,9/9/2020,5252025,540 SANDS DRIVE,"540 SANDS DRIVE, SAN JOSE",1,HIGH_VOLUME_LICENSEE; ,FIRST BAPTIST CHURCH
child_care_centers,394500416,ACHIEVERS,NANAK STOCKTON INC.,IVY STINSON,(209) 956-5437,4453 PRECISSI LANE,STOCKTON,CA,95207,SAN JOAQUIN,53,60,LICENSED,6/15/2021,,5252025,4453 PRECISSI LANE,"4453 PRECISSI LANE, STOCKTON",2,DUPLICATE_ADDRESS; ,NANAK STOCKTON INC.
child_care_centers,343601205,ACTION DAY LEARNING CENTER,"MILLER, SHARON","HARLAND, MARIA (BUFFY)",(916) 988-9633,9371 ELM AVENUE,ORANGEVALE,CA,95662,SACRAMENTO,3,32,LICENSED,9/28/1995,,5252025,9371 ELM AVENUE,"9371 ELM AVENUE, ORANGEVALE",3,DUPLICATE_ADDRESS; HIGH_VOLUME_LICENSEE; ,"MILLER, SHARON"
child_care_centers,343601111,ACTION DAY LEARNING CENTER,"MILLER, SHARON","SHORT, RHONDA",(916) 985-0976,400 STAFFORD STREET,FOLSOM,CA,95630,SACRAMENTO,3,48,LICENSED,7/24/1995,,5252025,400 STAFFORD STREET,"400 STAFFORD STREET, FOLSOM",3,DUPLICATE_ADDRESS; HIGH_VOLUME_LICENSEE; ,"MILLER, SHARON"
child_care_centers,343601174,ACTION DAY LEARNING CENTER,"MILLER, SHARON","LISH, LAURI",(916) 988-9689,6822 KENNETH AVENUE,ORANGEVALE,CA,95662,SACRAMENTO,3,51,LICENSED,7/24/1995,,5252025,6822 KENNETH AVENUE,"6822 KENNETH AVENUE, ORANGEVALE",3,DUPLICATE_ADDRESS; HIGH_VOLUME_LICENSEE; ,"MILLER, SHARON"
child_care_centers,434408755,ACTION DAY PRIMARY PLUS,"ACTION DAY NURSERIES & PRIMARY PLUS, INC.",FARRAH DERLA,(408) 629-6020,5845 ALLEN AVENUE,SAN JOSE,CA,95123,SANTA CLARA,7,254,LICENSED,11/7/2005,,5252025,5845 ALLEN AVENUE,"5845 ALLEN AVENUE, SAN JOSE",3,DUPLICATE_ADDRESS; HIGH_VOLUME_LICENSEE; ,"ACTION DAY NURSERIES & PRIMARY PLUS, INC."
child_care_centers,240407459,ADA GIVENS PRESCHOOL,MERCED CITY SCHOOL DISTRICT,"MEJIA, MARIA",(209) 385-6378,2900 GREEN STREET,MERCED,CA,95340,MERCED,4,22,LICENSED,12/16/1992,,5252025,2900 GREEN STREET,"2900 GREEN STREET, MERCED",1,HIGH_VOLUME_LICENSEE; ,MERCED CITY SCHOOL DISTRICT
child_care_centers,393607283,ADAMS ELEMENTARY SCHOOL,STOCKTON UNIFIED SCHOOL DISTRICT,TIM SWARTZ,(209) 933-7153,6402 INGLEWOOD AVE.,STOCKTON,CA,95207,SAN JOAQUIN,53,48,LICENSED,11/30/2001,,5252025,6402 INGLEWOOD AVE,"6402 INGLEWOOD AVE, STOCKTON",1,HIGH_VOLUME_LICENSEE; ,STOCKTON UNIFIED SCHOOL DISTRICT
child_care_centers,376700096,ADAMS STATE PRESCHOOL,SAN DIEGO UNIFIED SCHOOL DISTRICT,DECYDERED PINA,(619) 362-4200,4672 35TH STREET,SAN DIEGO,CA,92116,SAN DIEGO,20,24,LICENSED,9/22/2004,,5252025,4672 35TH STREET,"4672 35TH STREET, SAN DIEGO",3,DUPLICATE_ADDRESS; HIGH_VOLUME_LICENSEE; ,SAN DIEGO UNIFIED SCHOOL DISTRICT
child_care_centers,191200265,ADAT ARI EL NURSERY SCHOOL,ADAT ARI EL,ORI ZADOK,(818) 766-6379,12020 BURBANK BLVD.,NORTH HOLLYWOOD,CA,91607,LOS ANGELES,58,146,LICENSED,5/7/1994,,5252025,12020 BURBANK BLVD,"12020 BURBANK BLVD, NORTH HOLLYWOOD",0,,ADAT ARI EL
child_care_centers,393601458,ADELITA MIGRANT CHILD DEVELOPMENT CENTER,"COMM.ACTION PARTNERSHIP SAN LUIS OBISPO CO.,INC.",ELIZABETH RICO,(209) 368-2087,14320 EAST HARNEY LANE,LODI,CA,95240,SAN JOAQUIN,53,50,LICENSED,12/15/1995,,5252025,14320 EAST HARNEY LANE,"14320 EAST HARNEY LANE, LODI",3,DUPLICATE_ADDRESS; HIGH_VOLUME_LICENSEE; ,"COMM.ACTION PARTNERSHIP SAN LUIS OBISPO CO.,INC."
child_care_centers,376700300,ADOBE BLUFFS PRESCHOOL,POWAY UNIFIED SCHOOL DISTRICT,DAISY CAI,(858) 748-0010,8707 ADOBE BLUFFS DRIVE,SAN DIEGO,CA,92129,SAN DIEGO,51,22,LICENSED,9/1/2006,,5252025,8707 ADOBE BLUFFS DRIVE,"8707 ADOBE BLUFFS DRIVE, SAN DIEGO",1,HIGH_VOLUME_LICENSEE; ,POWAY UNIFIED SCHOOL DISTRICT
child_care_centers,376701268,ADVENTURE DAYS PRESCHOOL,LEGACY CHURCH,JILL GILES,(858) 560-5686,10881 TIERRASANTA BOULEVARD,SAN DIEGO,CA,92124,SAN DIEGO,51,146,LICENSED,3/6/2017,,5252025,10881 TIERRASANTA BOULEVARD,"10881 TIERRASANTA BOULEVARD, SAN DIEGO",2,DUPLICATE_ADDRESS; ,LEGACY CHURCH
child_care_centers,406215269,ADVENTURE KIDS,"CHOTO, EVELYN",EVELYN CHOTO,(323) 509-6716,1317 SANTA YNEZ AVE,LOS OSOS,CA,93402,SAN LUIS OBISPO,17,43,LICENSED,8/26/2016,,5252025,1317 SANTA YNEZ AVE,"1317 SANTA YNEZ AVE, LOS OSOS",0,,"CHOTO, EVELYN"
