phone,facility_count,unique_licensees,licensees,suspicion_level,facilities
7147307592,9,3,TUSTIN UNIFIED SCHOOL DISTRICT; TUSTIN UNIFIED DCHOOL DISTRICT; TUSTN UNIFIED SCHOOL DISTRICT,HIGH - Different licensees!,TUSD KINDERGARDEN READINESS-MYFORD; TUSD KINDERGARTEN READINESS-NELSON; TUSD KINDERGARTEN READINESS ACADEMY-ESTOCK; TUSD KINDERGARTEN READINESS ACADEMY-GUIN FOSS; TUSD KINDERGARTEN READINESS ACADEMY-HERITAGE
8187828630,9,3,"KEVIN CHONG YI; PARK, DAE H. & AH YOUNG; PARK, AH YOUNG",HIGH - Different licensees!,VALLEY NURSERY SCHOOL; VALLEY NURSERY SCHOOL; VALLEY NURSERY SCHOOL; VALLEY NURSERY SCHOOL; VALLEY NURSERY SCHOOL
9098821100,9,3,"DOGERO, APRIL; LITTLE MOUNTAIN LLC; LITTLE MOUNTAIN INC.",HIGH - Different licensees!,LITTLE MOUNTAIN PRESCHOOL; LITTLE MOUNTAIN PRESCHOOL; LITTLE MOUNTAIN PRESCHOOL; LITTLE MOUNTAIN PRESCHOOL; LITTLE MOUNTAIN PRESCHOOL
7609565000,9,3,"GARCIA, CLAUDIA; KIDS & CARE INC.; KIDS & CARE, INC.",HIGH - Different licensees!,KIDS AND CARE PRESCHOOL AND DAY CARE CENTER; KIDS & CARE INC.; KIDS & CARE INC.; KIDS AND CARE PRESCHOOL & DAY CARE CENTER; KIDS & CARE INC.
5108489092,8,3,YMCA OF THE EAST BAY; YOUNG MEN'S CHRISTIAN ASSOCIATION OF THE EAST BAY; YMCA OF THE EAST BAY - EM DOWNER CENTER,HIGH - Different licensees!,BERKELEY YMCA HEAD START - SOUTH YMCA; BERKELEY YMCA HEAD START - WEST; YMCA OF THE EAST BAY-JOHN MUIR; YMCA OF THE EAST BAY - EM DOWNER CENTER; BERKELEY YMCA HEAD START - WEST YMCA
9254133608,8,3,"BABY YALE ACADEMY, INC; REEVES, LITA; BABY YALE ACADEMY, INC.",HIGH - Different licensees!,BABY YALE ACADEMY LT2; BABY YALE ACADEMY OAKLAND; BABY YALE ACADEMY PITT; BABY YALE ACADEMY AT BP; BABY YALE ACADEMY LT2
2098513479,8,3,SAN JOAQUIN COUNTY CHILD ABUSE PREVENTION COUNCIL; CHILD ABUSE PREVENTION COUNCIL; SAN JOAQUIN COUNY CHILD ABUSE PREVENTION COUNCIL,HIGH - Different licensees!,CAPC - EMERALD POINT; CAPC - GEORGE MCPARLAND; CAPC - GREAT VALLEY; CAPC - MAIN; CAPC - NEIL HAFLEY
9514910940,8,3,"ANTON SCHOOLS INC DBA ABC CHILD CARE CENTER INC; ABC VILLAGE, INC; ANTON SCHOOLS INC DBA ABD CHILD CARE CENTER INC",HIGH - Different licensees!,ABC CHILD CARE CENTER; ABC CHILD CARE VILLAGE; ABC CHILD CARE CENTER; ABC CHILD CARE VILLAGE; ABC CHILD CARE CENTER
8582705995,8,3,"BALDWIN ACADEMY CHILD DEVELOPMENT CENTER, INC.; BALDWIN ACADEMY, INC.; BALDWIN ACADEMY CHILD DEV CENTER, INC.",HIGH - Different licensees!,BALDWIN ACADEMY; BALDWIN ACADEMY; BALDWIN ACADEMY; BALDWIN ACADEMY - INFANT; BALDWIN ACADEMY - INFANT
2095770138,8,3,"CCCSC INC., MARSHA'S HOUSE; CHILDREN'S CRISIS CENTER OF STANISLAUS COUNTY, INC; CHILDREN'S CRISIS CENTER OF STANISLAUS COUNTY",HIGH - Different licensees!,"CCCSC INC., MARSHA'S HOUSE; CCCSC, INC. - AUDREY'S HOUSE; CHILDREN'S CRISIS CENTER-GUARDIAN HOUSE; CHILDREN'S CRISIS CENTER OF STANISLAUS COUNTY; CCCSC INC., MARSHA'S HOUSE"
4153792700,8,3,SFUSD-EARLY EDUCATION DEPARTMENT; SAN FRANCISCO UNIFIED SCHOOL DIST. EED; SAN FRANCISCO UNIFIED DISTRICT EARLY EDUCATION,HIGH - Different licensees!,SFUSD-BRET HARTE (EES) PRESCHOOL; SFUSD-DOLORES HUERTA ELEMENTARY SCHOOL (EES); SFUSD-DR. CHARLES DREW (EES) PRESCHOOL; SFUSD-JOSE ORTEGA ES (EED) PS; SFUSD-MALCOLM X EES (PS)
4153107543,8,3,"BRIGHT STARS CHILDREN'S CENTER INC.; BRIGHT STARS CHILDREN'S CENTER, LLC; TALEBLOO, NAHID",HIGH - Different licensees!,BRIGHT STARS CHILDREN'S CENTER; BRIGHT STARS CHILDREN'S CENTER; BRIGHT STARS CHILDREN'S CENTER INC.; BRIGHT STARS TODDLER & PRESCHOOL; BRIGHT STARS CHILDREN'S CENTER
7142418920,18,2,"ORANGE COUNTY HEAD START; ORANGE COUNTY HEAD START, INC.",HIGH - Different licensees!,ANDREWS HEAD START; BREA HEAD START; CALIFORNIA; CARVER HEAD START; CENTER
9518453816,15,2,"RENU HOPE FOUNDATION; DIEHL-HOPE, SAOVAROS",HIGH - Different licensees!,RENU HOPE FOUNDATION; RENU HOPE FOUNDATION; RENU HOPE FOUNDATION; RENU HOPE FOUNDATION; RENU HOPE FOUNDATION
6504070531,14,2,"RIGHT AT SCHOOL, LLC.; RIGHT AT SCHOOL, LLC",HIGH - Different licensees!,RIGHT AT SCHOOL AT CRITTENDEN MIDDLE; RIGHT AT SCHOOL AT EDITH LANDELS; RIGHT AT SCHOOL AT EL CARMELO ELEMENTARY; RIGHT AT SCHOOL AT ESCONDIDO ELEMENTARY; RIGHT AT SCHOOL AT FAIRMEADOW ELEMENTARY
6613365236,12,2,COMMUNITY ACTION PARTNERSHIP OF KERN; LATHROP EHS CHILD DEVELOPMENT CENTER,HIGH - Different licensees!,BROADWAY CHILD DEVELOPMENT CENTER; LAMONT CHILD DEVELOPMENT CENTER; OASIS CHILD DEVELOPMENT CENTER; ROSAMOND CHILD DEVELOPMENT CENTER; WESLEY CHILD DEVELOPMENT CENTER
2095561545,10,2,CERES UNIFIED SCHOOL DISTRICT; CERES U.S.D.,HIGH - Different licensees!,CARROLL FOWLER PRESCHOOL PROGRAM; CASWELL PRESCHOOL PROGRAM; DON PEDRO STATE PRESCHOOL; LA ROSA PRESCHOOL PROGRAM; LUCAS PRESCHOOL PROGRAM
7145272154,8,2,MAGNOLIA SCHOOL DISTRICT; MAGONILA SCHOOL DISTRICT,HIGH - Different licensees!,BADEN POWELL SCHOOL READINESS; DR. ALBERT SCHWEITZER SCHOOL READINESS ROOM; DR. JONAS SALK SCHOOL READINESS ROOM; DR. PETER MARSHALL SCHOOL READINESS ROOM; JULIETTE LOW SCHOOL READINESS
9097303674,8,2,SAN BERNARDINO CITY UNIFIED SCHOOL DISTRICT; SAN BERNARDINO CITY UNIFIED SCHOL DSITRICT,HIGH - Different licensees!,SBCUSD-CALIFORNIA PRESCHOOL; SBCUSD-HILLSIDE PRESCHOOL; SBCUSD-KENDALL PRESCHOOL; SBCUSD-MUSCOY ELEMENTARY SCHOOL; SBCUSD-NEWMARK PRESCHOOL
9166177248,8,2,"REID, MARLETT; KIDDY CLUB DAYCARE",HIGH - Different licensees!,KIDDY CLUB; KIDDY CLUB; KIDDY CLUB DAYCARE; KIDDY CLUB DAYCARE; KIDDY CLUB
6616314936,20,1,BAKERSFIELD CITY SCHOOL DISTRICT,Medium - Same licensee,"BCSD/CASA LOMA ELEMENTARY PRE-KINDERGARTEN; BCSD/EVERGREEN ELEMENTARY PRE-KINDERGARTEN; BCSD/FRANKLIN ELEMENTARY PRE-K; BCSD/HORT ELEMENTARY PRE-KINDERGARTEN; BCSD/MARTIN LUTHER KING, JR. ELEMENTARY PRE-K"
4159217019,13,1,CROSS CULTURAL FAMILY CENTER,Medium - Same licensee,CCFC-50 RAYMOND CENTER (PS); CCFC-GOLDEN GATE CENTER; CCFC-VV HERITAGE CENTER (P); CCFC-VV JOHN KING CENTER (P); CCFC-VV LELAND CENTER (P)
6269623311,13,1,BALDWIN PARK UNIFIED SCHOOL DISTRICT,Medium - Same licensee,BALDWIN PARK USD-CENTRAL ELEMENTARY SCHOOL; BALDWIN PARK USD-ELWIN ELEMENTARY SCHOOL; BALDWIN PARK USD TRICITIES HEAD START ELIZABETH; BALDWIN PARK USD TRICITIES HEAD START SLAUSON; BALDWIN PARK U.S.D. - FOSTER SCHOOL
6266524250,10,1,MOUNTAIN VIEW SCHOOL DISTRICT,Medium - Same licensee,COGSWELL HEAD START/STATE PRESCHOOL; MAXSON HEAD START/STATE PRESCHOOL; MIRAMONTE HEAD START/STATE PRESCHOOL AGENCY; MONTE VISTA HEAD START/STATE PRESCHOOL; MOUNTAIN VIEW CHILDREN CENTER
9512227850,10,1,JURUPA UNIFIED SCHOOL DISTRICT,Medium - Same licensee,JURUPA USD SCHOOL READINESS CENTER; JUSD SKY COUNTRY ELEMENTARY PRESCHOOL; JUSD/INA ARBUCKLE ELEMENTARY; JUSD/MISSION BELL ELEMENTARY STATE PRESCHOOL; JUSD/PACIFIC AVENUE ELEMENTARY
2094568600,9,1,CITY OF MANTECA REC. & COMM. SERVICES KIDS ZONE,Medium - Same licensee,MANTECA REC&COMM. KIDS ZONE GEORGE MCPARLAND ANNEX; MANTECA REC. & COMM. SVCS. KIDS ZONE BROCK ELLIOTT; MANTECA REC. & COMM. SVCS. KIDS ZONE JOSHUA COWELL; MANTECA REC. & COMM. SVCS. KIDS ZONE NEIL HAFLEY; MANTECA REC. & COMM. SVCS. KIDS ZONE NEW HAVEN
6268580527,9,1,OPTIONS FOR LEARNING,Medium - Same licensee,OPTIONS-EARLY LEARNING CENTER-PASADENA; OPTIONS-HEADSTART/CDC-EKSTRAND; OPTIONS - CDC VALLEYDALE; OPTIONS - WILLOWOOD; OPTIONS CDC - ROOSEVELT
4155267500,8,1,COMMUNITY ACTION MARIN,Medium - Same licensee,C.A.M. (CFS) -CANAL CHILD CARE CENTER (PS); C.A.M. (CFS) DE COLORES (PS); C.A.M. (CFS) MANZANITA; C.A.M. (CFS) MARIN HEAD START LYNWOOD (PS); HAMILTON CHILD DEVELOPMENT CENTER
