facility_name,licensee,facility_address,facility_city,facility_zip,county_name,facility_capacity,facility_status,license_first_date,closed_date,months_operated,facility_telephone_number,risk_score,google_maps_url,phone_clean
BRELLA PASADENA INFANTS,BRELLA PASADENA LLC,475 S LAKE AVENUE,PASADENA,91101,LOS ANGELES,64,CLOSED,7/14/2023,7/19/2024,12.4,(213) 300-5962,7,https://www.google.com/maps/search/475%20S%20LAKE%20AVENUE%2C%20PASADENA%2C%20CA,2133005962
BRIGHT HORIZONS LOS ANGELES HOPE STREET,BRIGHT HORIZONS CHIDREN'S CENTERS LLC,550 SOUTH HOPE STREET,LOS ANGELES,90071,LOS ANGELES,8,CLOSED,6/2/2006,11/12/2024,224.6,(213) 623-0072,5,https://www.google.com/maps/search/550%20SOUTH%20HOPE%20STREET%2C%20LOS%20ANGELES%2C%20CA,2136230072
BRIGHT HORIZONS LOS ANGELES HOPE STREET,BRIGHT HORIZONS CHILDREN'S CENTERS LLC,550 SOUTH HOPE STREET,LOS ANGELES,90071,LOS ANGELES,15,CLOSED,6/2/2006,11/12/2024,224.6,(213) 623-0072,5,https://www.google.com/maps/search/550%20SOUTH%20HOPE%20STREET%2C%20LOS%20ANGELES%2C%20CA,2136230072
BRIGHT HORIZONS LOS ANGELES HOPE STREET,BRIGHT HORIZONS CHILDREN'S CENTER LLC,550 SOUTH HOPE STREET,LOS ANGELES,90071,LOS ANGELES,12,CLOSED,6/2/2006,11/12/2024,224.6,(213) 623-0072,5,https://www.google.com/maps/search/550%20SOUTH%20HOPE%20STREET%2C%20LOS%20ANGELES%2C%20CA,2136230072
BRIGHT HORIZONS AT UNIVERSITY PARK USC,BRIGHT HORIZONS CHILDREN'S CENTER LLC,2715 UNIVERSITY AVE.,LOS ANGELES,90007,LOS ANGELES,96,CLOSED,,9/30/2021,,(213) 821-9571,5,https://www.google.com/maps/search/2715%20UNIVERSITY%20AVE.%2C%20LOS%20ANGELES%2C%20CA,2138219571
BRIGHT HORIZONS AT UNIVERSITY PARK USC,BRIGHT HORIZONS CHILDREN'S CENTERS LLC,2715 UNIVERSITY AVE.,LOS ANGELES,90007,LOS ANGELES,129,CLOSED,,9/30/2021,,(213) 821-9571,5,https://www.google.com/maps/search/2715%20UNIVERSITY%20AVE.%2C%20LOS%20ANGELES%2C%20CA,2138219571
CDCLA - TINY DOTS EARLY EDUCATION CENTER,CHILD DEVELOPMENT CONSORTIUM OF LOS ANGELES,100 S. MAIN STREET,LOS ANGELES,90012,LOS ANGELES,13,CLOSED,7/1/2005,8/31/2023,221.2,(213) 897-0049,5,https://www.google.com/maps/search/100%20S.%20MAIN%20STREET%2C%20LOS%20ANGELES%2C%20CA,2138970049
CDCLA - TINY DOTS EARLY EDUCATION CENTER,CHILD DEVELOPMENT CONSORTIUM OF LOS ANGELES,100 S. MAIN STREET,LOS ANGELES,90012,LOS ANGELES,60,CLOSED,7/1/2005,8/31/2023,221.2,(213) 897-0049,5,https://www.google.com/maps/search/100%20S.%20MAIN%20STREET%2C%20LOS%20ANGELES%2C%20CA,2138970049
FAIRVIEW CHRISTIAN ACADEMY & ENRICHMENT CENTER,HOOPER'S FAMILY DAYCARE AND LEARNING CENTER,1215 N MARBOROUGH AVE,INGLEWOOD,90302,LOS ANGELES,24,CLOSED,7/30/2020,8/30/2023,37.5,(213) 910-8858,7,https://www.google.com/maps/search/1215%20N%20MARBOROUGH%20AVE%2C%20INGLEWOOD%2C%20CA,2139108858
FAIRVIEW CHRISTIAN ACADEMY & ENRICHMENT CENTER,HOOPER'S FAMILY DAYCARE AND LEARNING CENTER,1215 N MARLBOROUGH AVE,INGLEWOOD,90302,LOS ANGELES,9,CLOSED,7/30/2020,8/30/2023,37.5,(213) 910-8858,7,https://www.google.com/maps/search/1215%20N%20MARLBOROUGH%20AVE%2C%20INGLEWOOD%2C%20CA,2139108858
FAIRVIEW CHRISTIAN ACADEMY & ENRICHMENT CENTER,HOOPER'S FAMILY DAYCARE AND LEARNING CENTET,1215 N MARLBOROUGH AVE,INGLEWOOD,90302,LOS ANGELES,14,CLOSED,7/30/2020,8/30/2023,37.5,(213) 910-8858,6,https://www.google.com/maps/search/1215%20N%20MARLBOROUGH%20AVE%2C%20INGLEWOOD%2C%20CA,2139108858
MICHELLE'S BACKYARD HAWTHORNE,MICHELLE'S BACKYARD LLC,13560 HAWTHORNE BLVD,HAWTHORNE,90250,LOS ANGELES,16,CLOSED,10/26/2023,11/1/2024,12.4,(310) 386-2373,7,https://www.google.com/maps/search/13560%20HAWTHORNE%20BLVD%2C%20HAWTHORNE%2C%20CA,3103862373
MICHELLE'S BACKYARD HAWTHORNE,MICHELLE'S BACKYARD LLC,13560 HAWTHORNE BLVD,HAWTHORNE,90250,LOS ANGELES,11,CLOSED,10/26/2023,11/1/2024,12.4,(310) 386-2373,7,https://www.google.com/maps/search/13560%20HAWTHORNE%20BLVD%2C%20HAWTHORNE%2C%20CA,3103862373
LE PORT LOMITA INFANT CENTER,STRATFORD SCHOOL (BARBARA GRAVES),2342 PACIFIC COAST HWY,LOMITA,90717,LOS ANGELES,17,CLOSED,5/20/2019,2/18/2021,21.3,(310) 530-5533,5,https://www.google.com/maps/search/2342%20PACIFIC%20COAST%20HWY%2C%20LOMITA%2C%20CA,3105305533
LE PORT LOMITA PRESCHOOL,STRATFORD SCHOOL (BARBARA GRAVES),2342 PACIFIC COAST HWY,LOMITA,90717,LOS ANGELES,90,CLOSED,5/20/2019,2/18/2021,21.3,(310) 530-5533,5,https://www.google.com/maps/search/2342%20PACIFIC%20COAST%20HWY%2C%20LOMITA%2C%20CA,3105305533
"LEARNING EXPERIENCE, THE",TLE AT TORRANCE LLC,21321 HAWTHRONE BLVD,TORRANCE,90503,LOS ANGELES,128,CLOSED,9/17/2020,8/5/2024,47.3,(310) 540-1730,6,https://www.google.com/maps/search/21321%20HAWTHRONE%20BLVD%2C%20TORRANCE%2C%20CA,3105401730
"LEARNING EXPERIENCE, THE",TLE AT TORRANCE LLC,21321 HAWTHORNE BLVD,TORRANCE,90503,LOS ANGELES,29,CLOSED,9/17/2020,8/5/2024,47.3,(310) 540-1730,6,https://www.google.com/maps/search/21321%20HAWTHORNE%20BLVD%2C%20TORRANCE%2C%20CA,3105401730
GOOD SPORTS PLUS LTD (DBA) ARC - GOOD SHEPHERD,GOOD SPORTS PLUS LTD,148 S LINDEN DRIVE,BEVERLY HILLS,90212,LOS ANGELES,18,CLOSED,1/31/2022,6/18/2022,4.6,(310) 641-4400,7,https://www.google.com/maps/search/148%20S%20LINDEN%20DRIVE%2C%20BEVERLY%20HILLS%2C%20CA,3106414400
GOOD SPORTS PLUS LTD (DBA) ARC - GOOD SHEPHERD,GOOD SPORTS PLUS LTD,148 S LINDEN DRIVE,BEVERLY HILLS,90212,LOS ANGELES,12,CLOSED,1/31/2022,6/15/2022,4.5,(310) 641-4400,7,https://www.google.com/maps/search/148%20S%20LINDEN%20DRIVE%2C%20BEVERLY%20HILLS%2C%20CA,3106414400
ROYAL LEARNING CENTER,ROYAL LEARNING CENTER INC,10206 S. DENKER AVENUE,LOS ANGELES,90047,LOS ANGELES,15,LICENSED,8/9/2021,,,(323) 242-8010,5,https://www.google.com/maps/search/10206%20S.%20DENKER%20AVENUE%2C%20LOS%20ANGELES%2C%20CA,3232428010
ROYAL LEARNING CENTER,ROYAL LEARNING CENTER INC,10206 S. DENKER AVENUE,LOS ANGELES,90047,LOS ANGELES,22,LICENSED,4/30/2021,,,(323) 242-8010,5,https://www.google.com/maps/search/10206%20S.%20DENKER%20AVENUE%2C%20LOS%20ANGELES%2C%20CA,3232428010
SJB - ANTONIO DEL BUONO CDC,SJB CHILD DEVELOPMENT CENTERS,245 FARRELL AVENUE,GILROY,95020,SANTA CLARA,44,CLOSED,1/2/2018,7/10/2023,67.2,(408) 414-2700,5,https://www.google.com/maps/search/245%20FARRELL%20AVENUE%2C%20GILROY%2C%20CA,4084142700
SJB - TOYON CHILD DEVELOPMENT CENTER,SJB CHILD DEVELOPMENT CENTERS,"995 BARD STREET, ROOM #27",SAN JOSE,95127,SANTA CLARA,24,CLOSED,3/9/2020,6/5/2023,39.4,(408) 414-2700,7,https://www.google.com/maps/search/995%20BARD%20STREET%2C%20ROOM%20%2327%2C%20SAN%20JOSE%2C%20CA,4084142700
SJB- GATEWAY CHILD DEVELOPMENT CENTER,SJB CHILD DEVELOPMENT CENTERS,7151 HANNA STREET,GILROY,95020,SANTA CLARA,36,CLOSED,7/6/2023,3/18/2024,8.5,(408) 414-2700,8,https://www.google.com/maps/search/7151%20HANNA%20STREET%2C%20GILROY%2C%20CA,4084142700
"BAI, YAPING","BAI, YAPING",Unavailable,SUNNYVALE,94086,SANTA CLARA,14,CLOSED,6/17/2021,9/21/2022,15.4,(408) 476-7600,9,https://www.google.com/maps/search/Unavailable%2C%20SUNNYVALE%2C%20CA,4084767600
"BAI, YAPING","BAI, YAPING",Unavailable,SUNNYVALE,94086,SANTA CLARA,14,CLOSED,9/21/2022,4/16/2024,19.1,(408) 476-7600,9,https://www.google.com/maps/search/Unavailable%2C%20SUNNYVALE%2C%20CA,4084767600
SUNNY CHILD CARE,"SUNNY CHILD CARE, INC",2586 SEABOARD AVENUE,SAN JOSE,95131,SANTA CLARA,96,LICENSED,8/25/2023,4/15/2025,20.0,(408) 599-4381,5,https://www.google.com/maps/search/2586%20SEABOARD%20AVENUE%2C%20SAN%20JOSE%2C%20CA,4085994381
SUNNY CHILD CARE,"SUNNY CHILD CARE, INC",2586 SEABOARD AVENUE,SAN JOSE,95131,SANTA CLARA,24,LICENSED,8/25/2023,4/15/2025,20.0,(408) 599-4381,5,https://www.google.com/maps/search/2586%20SEABOARD%20AVENUE%2C%20SAN%20JOSE%2C%20CA,4085994381
"ESMAIL, HALLA","ESMAIL, HALLA",Unavailable,ELK GROVE,95624,SACRAMENTO,12,CLOSED,10/19/2023,9/19/2024,11.2,(408) 606-1742,7,https://www.google.com/maps/search/Unavailable%2C%20ELK%20GROVE%2C%20CA,4086061742
"ESMAIL, HALLA",HALLA ESMAIL,Unavailable,ELK GROVE,95758,SACRAMENTO,14,CLOSED,9/18/2024,10/10/2024,0.7,(408) 606-1742,7,https://www.google.com/maps/search/Unavailable%2C%20ELK%20GROVE%2C%20CA,4086061742
NOAH'S ARK CHILDREN'S LEARNING CENTER,AUGUSTA ACADEMY LLC,560 HARRISON AVENUE,CAMPBELL,95008,SANTA CLARA,20,LICENSED,11/19/2021,,,(408) 691-3808,5,https://www.google.com/maps/search/560%20HARRISON%20AVENUE%2C%20CAMPBELL%2C%20CA,4086913808
NOAH'S ARK CHILDREN'S LEARNING CENTER,AUGUSTA ACADEMY LLC,560 HARRISON AVENUE,CAMPBELL,95008,SANTA CLARA,21,LICENSED,11/19/2021,,,(408) 691-3808,5,https://www.google.com/maps/search/560%20HARRISON%20AVENUE%2C%20CAMPBELL%2C%20CA,4086913808
"LEARN AND PLAY MONTESSORI SUNNYVALE, INC.","LEARN & PLAY MONTESSORI SV, INC DBA L & P M SCHOOL",1055 SUNNYVALE-SARATOGA ROAD,SUNNYVALE,94087,SANTA CLARA,231,CLOSED,12/28/2023,1/2/2025,12.4,(408) 735-8333,5,https://www.google.com/maps/search/1055%20SUNNYVALE-SARATOGA%20ROAD%2C%20SUNNYVALE%2C%20CA,4087358333
"LEARN AND PLAY MONTESSORI SUNNYVALE, INC.","LEARN & PLAY MONTESSORI SV, INC DBC L & P M SCHOOL",1055 SUNNYVALE-SARATOGA ROAD,SUNNYVALE,94087,SANTA CLARA,15,CLOSED,12/28/2023,1/2/2025,12.4,(408) 735-8333,5,https://www.google.com/maps/search/1055%20SUNNYVALE-SARATOGA%20ROAD%2C%20SUNNYVALE%2C%20CA,4087358333
BUILDING KIDZ OF SANTA CLARA,AB KIDS LLC,"1500 LOS PADRES BLVD,#110,#111",SANTA CLARA,95050,SANTA CLARA,12,CLOSED,5/23/2023,1/12/2025,20.0,(408) 758-8804,5,https://www.google.com/maps/search/1500%20LOS%20PADRES%20BLVD%2C%23110%2C%23111%2C%20SANTA%20CLARA%2C%20CA,4087588804
BUILDING KIDZ SANTA CLARA,AB KIDS LLC,"1500 LOS PADRES BLVD #110,#111",SANTA CLARA,95050,SANTA CLARA,66,CLOSED,5/23/2023,1/12/2025,20.0,(408) 758-8804,5,https://www.google.com/maps/search/1500%20LOS%20PADRES%20BLVD%20%23110%2C%23111%2C%20SANTA%20CLARA%2C%20CA,4087588804
KINDERCARE LEARNING CENTER,KINDERCARE LEARNING CENTERS LLC,605 EAST DUNNE AVENUE,MORGAN HILL,95037,SANTA CLARA,24,CLOSED,7/27/1997,8/16/2023,317.2,(408) 778-1237,5,https://www.google.com/maps/search/605%20EAST%20DUNNE%20AVENUE%2C%20MORGAN%20HILL%2C%20CA,4087781237
KINDERCARE LEARNING CENTER,KINDERCARE LEARNING CENTER,605 EAST DUNNE AVENUE,MORGAN HILL,95037,SANTA CLARA,150,CLOSED,,3/13/2025,,(408) 778-1237,5,https://www.google.com/maps/search/605%20EAST%20DUNNE%20AVENUE%2C%20MORGAN%20HILL%2C%20CA,4087781237
TINKER LEARNING CENTER,TINKER LEARNING ACADEMY LLC,17535 DEL MONTE AVENUE,MORGAN HILL,95037,SANTA CLARA,30,CLOSED,9/15/2022,1/24/2023,4.4,(408) 779-7678,10,https://www.google.com/maps/search/17535%20DEL%20MONTE%20AVENUE%2C%20MORGAN%20HILL%2C%20CA,4087797678
TINKER LEARNING CENTER,TINKER LEARNING ACADEMY LLC,17535 DEL MONTE AVENUE,MORGAN HILL,95037,SANTA CLARA,72,CLOSED,9/15/2022,6/4/2024,20.9,(408) 779-7678,10,https://www.google.com/maps/search/17535%20DEL%20MONTE%20AVENUE%2C%20MORGAN%20HILL%2C%20CA,4087797678
TINKER LEARNING CENTER,TINKER LEARNING ACADEMY LLC,17535 DEL MONTE AVENUE,MORGAN HILL,95037,SANTA CLARA,24,CLOSED,9/15/2022,6/4/2024,20.9,(408) 779-7678,10,https://www.google.com/maps/search/17535%20DEL%20MONTE%20AVENUE%2C%20MORGAN%20HILL%2C%20CA,4087797678
"LEARN & PLAY MONTESSORI MILPITAS, INC.","LEARN AND PLAY MONTESSORI MILPITAS, INC.",164 NORTH ABEL STREET,MILPITAS,95035,SANTA CLARA,200,CLOSED,9/20/2023,1/2/2025,15.7,(408) 809-0096,5,https://www.google.com/maps/search/164%20NORTH%20ABEL%20STREET%2C%20MILPITAS%2C%20CA,4088090096
"LEARN & PLAY MONTESSORI MILPITAS, INC.","LEARN AND PLAY MONTESSORI MILPITAS, INC.",164 NORTH ABEL STREET,MILPITAS,95035,SANTA CLARA,26,CLOSED,9/20/2023,1/2/2025,15.7,(408) 809-0096,5,https://www.google.com/maps/search/164%20NORTH%20ABEL%20STREET%2C%20MILPITAS%2C%20CA,4088090096
LIFECONNECTIONS CHILDREN'S LEARNING CENTER,BRIGHT HORIZONS CHILDREN'S CENTER LLC,800 BARBER LANE,MILPITAS,95035,SANTA CLARA,152,CLOSED,9/13/2000,6/2/2023,276.6,(408) 853-2196,5,https://www.google.com/maps/search/800%20BARBER%20LANE%2C%20MILPITAS%2C%20CA,4088532196
LIFECONNECTIONS CHILDREN'S LEARNING CENTER,BRIGHT HORIZONS CHILDREN'S CENTER LLC,800 BARBER LANE,MILPITAS,95035,SANTA CLARA,388,CLOSED,9/13/2000,6/2/2023,276.6,(408) 853-2196,5,https://www.google.com/maps/search/800%20BARBER%20LANE%2C%20MILPITAS%2C%20CA,4088532196
LIFECONNECTIONS CHILDREN'S LEARNING CENTER,BRIGHT HORIZONS CHILDREN'S CENTER LLC,800 BARBER LANE,MILPITAS,95035,SANTA CLARA,63,CLOSED,4/13/2006,6/2/2023,208.6,(408) 853-2196,5,https://www.google.com/maps/search/800%20BARBER%20LANE%2C%20MILPITAS%2C%20CA,4088532196
"CASTELLANOS, EMILCE FAMILY CHILD CARE","CASTELLANOS, EMILCE",Unavailable,LOS BANOS,93635,MERCED,14,CLOSED,2/5/2020,8/26/2022,31.1,(408) 858-7356,6,https://www.google.com/maps/search/Unavailable%2C%20LOS%20BANOS%2C%20CA,4088587356
"GONZALEZ, EMILCE NATALIA FAMILY CHILD CARE","GONZALEZ, EMILCE NATALIA",Unavailable,LOS BANOS,93635,MERCED,14,CLOSED,8/26/2022,8/24/2023,12.1,(408) 858-7356,9,https://www.google.com/maps/search/Unavailable%2C%20LOS%20BANOS%2C%20CA,4088587356
SJB-FOOTHILL CHILD DEVELOPMENT CENTER,SJB CHILD DEVELOPMENT CENTERS,230 PALA AVENUE,SAN JOSE,95127,SANTA CLARA,15,LICENSED,1/16/2020,,,(408) 928-5223,5,https://www.google.com/maps/search/230%20PALA%20AVENUE%2C%20SAN%20JOSE%2C%20CA,4089285223
SJB-FOOTHILL CHILD DEVELOPMENT CENTER,SJB CHILD DEVELOPMENT CENTERS,230 PALA AVENUE,SAN JOSE,95127,SANTA CLARA,25,LICENSED,1/16/2020,,,(408) 928-5223,5,https://www.google.com/maps/search/230%20PALA%20AVENUE%2C%20SAN%20JOSE%2C%20CA,4089285223
"WU, XIU LING","WU,XIU LING",Unavailable,SAN FRANCISCO,94116,SAN FRANCISCO,14,CLOSED,8/22/2022,7/3/2023,10.5,(415) 324-9002,9,https://www.google.com/maps/search/Unavailable%2C%20SAN%20FRANCISCO%2C%20CA,4153249002
"WU, XIU LING","WU, XIU LING",Unavailable,SAN FRANCISCO,94132,SAN FRANCISCO,14,CLOSED,12/8/2020,8/22/2022,20.7,(415) 324-9002,9,https://www.google.com/maps/search/Unavailable%2C%20SAN%20FRANCISCO%2C%20CA,4153249002
BRIGHT HORIZONS @ SECOND STREET - INFANT,"BRIGHT HORIZONS CHILDREN'S CENTERS, LLC","303 SECOND STREET,2ND FL.,#250",SAN FRANCISCO,94107,SAN FRANCISCO,38,CLOSED,6/30/2008,6/1/2024,193.8,(415) 495-2500,5,https://www.google.com/maps/search/303%20SECOND%20STREET%2C2ND%20FL.%2C%23250%2C%20SAN%20FRANCISCO%2C%20CA,4154952500
BRIGHT HORIZONS @ SECOND STREET - PRESCHOOL,"BRIGHT HORIZONS CHILDREN'S CENTERS, LLC","303 SECOND STREET,2ND FL. #25O",SAN FRANCISCO,94107,SAN FRANCISCO,79,CLOSED,6/30/2008,6/1/2024,193.8,(415) 495-2500,5,https://www.google.com/maps/search/303%20SECOND%20STREET%2C2ND%20FL.%20%2325O%2C%20SAN%20FRANCISCO%2C%20CA,4154952500
BRIGHT HORIZONS @ SECOND STREET - SCHOOL AGE,"BRIGHT HORIZONS CHILDREN'S CENTERS, LLC","303 2ND STREET, 2ND FLR. #250",SAN FRANCISCO,94107,SAN FRANCISCO,12,CLOSED,3/21/2012,6/1/2024,148.5,(415) 495-2500,5,https://www.google.com/maps/search/303%202ND%20STREET%2C%202ND%20FLR.%20%23250%2C%20SAN%20FRANCISCO%2C%20CA,4154952500
KIDS BY THE BAY - INFANT,"CHILDREN'S CREATIVE LEARNING CENTERS, LLC",90 SEVENTH STREET,SAN FRANCISCO,94103,SAN FRANCISCO,42,CLOSED,10/23/2007,5/15/2021,165.1,(415) 554-8100,5,https://www.google.com/maps/search/90%20SEVENTH%20STREET%2C%20SAN%20FRANCISCO%2C%20CA,4155548100
KIDS BY THE BAY - PRESCHOOL,"CHILDREN'S CREATIVE LEARNING CENTERS, LLC",90 SEVENTH STREET,SAN FRANCISCO,94103,SAN FRANCISCO,78,CLOSED,10/23/2007,5/15/2021,165.1,(415) 554-8100,5,https://www.google.com/maps/search/90%20SEVENTH%20STREET%2C%20SAN%20FRANCISCO%2C%20CA,4155548100
WAH MEI AT KIDS BY THE BAY-CIVIC CENTER(INF),WAH MEI SCHOOL,90 7TH STREET,SAN FRANCISCO,94103,SAN FRANCISCO,42,INACTIVE,6/2/2021,,,(415) 554-8100,6,https://www.google.com/maps/search/90%207TH%20STREET%2C%20SAN%20FRANCISCO%2C%20CA,4155548100
WAH MEI AT KIDS BY THE BAY-CIVIC CENTER(PS),WAH MEI SCHOOL,90 7TH STREET,SAN FRANCISCO,94103,SAN FRANCISCO,70,INACTIVE,4/26/2021,,,(415) 554-8100,6,https://www.google.com/maps/search/90%207TH%20STREET%2C%20SAN%20FRANCISCO%2C%20CA,4155548100
ALPHA KIDS ACADEMY LLC,ALPHA KIDS ACADEMY LLC,201 RAVENSWOOD AVENUE,MENLO PARK,94025,SAN MATEO,38,LICENSED,5/24/2021,,,(415) 664-8080,5,https://www.google.com/maps/search/201%20RAVENSWOOD%20AVENUE%2C%20MENLO%20PARK%2C%20CA,4156648080
