LoanNumber,DateApproved,SBAOfficeCode,ProcessingMethod,BorrowerName,BorrowerAddress,BorrowerCity,BorrowerState,BorrowerZip,LoanStatusDate,LoanStatus,Term,SBAGuarantyPercentage,InitialApprovalAmount,CurrentApprovalAmount,UndisbursedAmount,FranchiseName,ServicingLenderLocationID,ServicingLenderName,ServicingLenderAddress,ServicingLenderCity,ServicingLenderState,ServicingLenderZip,RuralUrbanIndicator,HubzoneIndicator,LMIIndicator,BusinessAgeDescription,ProjectCity,ProjectCountyName,ProjectState,ProjectZip,CD,JobsReported,NAICSCode,Race,Ethnicity,UTILITIES_PROCEED,PAYROLL_PROCEED,MORTGAGE_INTEREST_PROCEED,RENT_PROCEED,REFINANCE_EIDL_PROCEED,HEALTH_CARE_PROCEED,DEBT_INTEREST_PROCEED,BusinessType,OriginatingLenderLocationID,OriginatingLender,OriginatingLenderCity,OriginatingLenderState,Gender,Veteran,NonProfit,ForgivenessAmount,ForgivenessDate
3238518506,02/23/2021,914,PPS,AFTER-SCHOOL ALL-STARS,5900 Wilshire Blvd Ste 2000,Los Angeles,CA,90036-5044,07/07/2022,Paid in Full,60,100,1879330.0,1879330.0,0.0,,4924,City National Bank,555 S Flower St,LOS ANGELES,CA,90071-2300,U,N,N,Existing or more than 2 years old,Los Angeles,LOS ANGELES,CA,90036-5044,CA-30,183.0,624410.0,Unanswered,Not Hispanic or Latino,1.0,1879326.0,,,,,,Non-Profit Organization,4924,City National Bank,LOS ANGELES,CA,Male Owned,Unanswered,Y,1904559.36,06/30/2022
1266407303,04/28/2020,914,PPP,GOOD SPORTS PLUS LTD.,370 Amapola Ave. Suite 208,torrance,CA,90501-7241,12/18/2020,Paid in Full,24,100,1867085.0,1867085.0,0.0,,518683,Endeavor Bank,"750 B St, Ste 3110",SAN DIEGO,CA,92101-8105,U,N,N,Existing or more than 2 years old,torrance,LOS ANGELES,CA,90501-7241,CA-43,416.0,624410.0,Unanswered,Hispanic or Latino,,1867085.0,,,,,,Subchapter S Corporation,518683,Endeavor Bank,SAN DIEGO,CA,Male Owned,Non-Veteran,,1876368.56,11/03/2020
3796747710,05/01/2020,914,PPP,"BUENA VIDA LEARNING SERVICES, INC.",9901 Paramount Blvd Ste 212,Downey,CA,90240,07/22/2021,Paid in Full,24,100,1831015.0,1831015.0,0.0,,48270,"JPMorgan Chase Bank, National Association",1111 Polaris Pkwy,COLUMBUS,OH,43240-2031,U,N,N,Existing or more than 2 years old,Downey,LOS ANGELES,CA,90240-0001,CA-38,250.0,624410.0,White,Hispanic or Latino,700.0,1807315.0,,10000.0,,3000.0,10000.0,Corporation,194093,"JPMorgan Chase Bank, National Association",CHICAGO,IL,Female Owned,Non-Veteran,,1850205.05,05/25/2021
2177287307,04/29/2020,931,PPP,"MOUNTAIN VALLEY CHILD & FAMILY SERVICES, INC",24077 STATE HIGHWAY 49,NEVADA CITY,CA,95959,08/13/2021,Paid in Full,24,100,1806500.0,1806500.0,0.0,,441679,River Valley Community Bank,1629 Colusa Ave,YUBA CITY,CA,95993-9096,R,Y,N,Existing or more than 2 years old,NEVADA CITY,NEVADA,CA,95959-0001,CA-03,204.0,624410.0,Unanswered,Unknown/NotStated,,1806500.0,,,,,,Corporation,441679,River Valley Community Bank,YUBA CITY,CA,Unanswered,Unanswered,,1828524.45,07/28/2021
4938937208,04/27/2020,914,PPP,WOODCRAFT RANGERS,340 2ND ST,LOS ANGELES,CA,90012,09/24/2021,Paid in Full,24,100,1111200.0,1603900.0,0.0,,70410,Woodforest National Bank,1330 Lake Robbins Dr,THE WOODLANDS,TX,77380-3266,U,Y,Y,Existing or more than 2 years old,LOS ANGELES,LOS ANGELES,CA,90012-0001,CA-34,191.0,624410.0,Unanswered,Unknown/NotStated,,1603900.0,,,,,,Non-Profit Organization,70410,Woodforest National Bank,THE WOODLANDS,TX,Unanswered,Unanswered,Y,1623948.75,08/05/2021
1185027305,04/28/2020,912,PPP,"GO KIDS, INC.",855 Moro Drive,Gilroy,CA,95020-3252,06/08/2021,Paid in Full,24,100,1552100.0,1552100.0,0.0,,33850,Comerica Bank,1717 Main St,DALLAS,TX,75201-4612,U,N,N,Existing or more than 2 years old,Gilroy,SANTA CLARA,CA,95020-3252,CA-18,146.0,624410.0,Unanswered,Unknown/NotStated,,1241688.0,310412.0,,,,,Non-Profit Childcare Center,33850,Comerica Bank,DALLAS,TX,Female Owned,Unanswered,Y,588323.21,03/05/2021
4533137206,04/27/2020,912,PPP,PALO ALTO COMMUNITY CHILD CARE,3990 VENTURA CT,PALO ALTO,CA,94306,03/13/2021,Paid in Full,24,100,1500000.0,1500000.0,0.0,,119056,Heritage Bank of Commerce,224 Airport Pkwy,SAN JOSE,CA,95110,U,N,N,Existing or more than 2 years old,PALO ALTO,SANTA CLARA,CA,94306-0001,CA-16,156.0,624410.0,Unanswered,Unknown/NotStated,,1500000.0,,,,,,Non-Profit Childcare Center,119056,Heritage Bank of Commerce,SAN JOSE,CA,Unanswered,Unanswered,Y,1510068.49,01/06/2021
4060478710,03/31/2021,914,PPS,KIDS KLUB PARTNERSHIP L.P.,380 S Raymond Ave,Pasadena,CA,91105-2608,11/18/2021,Paid in Full,60,100,1465590.0,1465590.0,0.0,,48270,"JPMorgan Chase Bank, National Association",1111 Polaris Pkwy,COLUMBUS,OH,43240-2031,U,N,N,Existing or more than 2 years old,Pasadena,LOS ANGELES,CA,91105-2608,CA-28,121.0,624410.0,Unanswered,Unknown/NotStated,1.0,1465585.0,,,,,,Limited Liability Partnership,48270,"JPMorgan Chase Bank, National Association",COLUMBUS,OH,Unanswered,Unanswered,,1472771.39,09/29/2021
3925157108,04/12/2020,914,PPP,BEACH BABIES LLC,1775 ARTESIA BLVD,MANHATTAN BEACH,CA,90266-7141,08/07/2021,Paid in Full,24,100,1331800.0,1331800.0,0.0,,33850,Comerica Bank,1717 Main St,DALLAS,TX,75201-4612,U,N,N,Existing or more than 2 years old,MANHATTAN BEACH,LOS ANGELES,CA,90266-7141,CA-36,193.0,624410.0,Unanswered,Not Hispanic or Latino,,1065458.0,266342.0,,,,,Limited  Liability Company(LLC),33850,Comerica Bank,DALLAS,TX,Male Owned,Non-Veteran,,1348225.53,07/09/2021
1582057710,05/01/2020,914,PPP,"KIDS KLUB PARTNERSHIP, L.P.",380 S RAYMOND AVE,PASADENA,CA,91105,08/20/2021,Paid in Full,24,100,1326295.0,1326295.0,0.0,,48270,"JPMorgan Chase Bank, National Association",1111 Polaris Pkwy,COLUMBUS,OH,43240-2031,U,N,N,Existing or more than 2 years old,PASADENA,LOS ANGELES,CA,91105-1000,CA-30,180.0,624410.0,Unanswered,Unknown/NotStated,,1326295.0,,,,,,Limited Liability Partnership,194093,"JPMorgan Chase Bank, National Association",CHICAGO,IL,Unanswered,Unanswered,,1342614.32,07/28/2021
3649828510,02/24/2021,920,PPP,YMCA OF THE EAST VALLEY,500 E Citrus Ave,Redlands,CA,92373-5221,04/19/2022,Paid in Full,60,100,1325000.0,1325000.0,0.0,,49274,"Citibank, N.A.",5800 S. Corporate Place,Sioux Falls,SD,57108,U,N,N,Existing or more than 2 years old,Redlands,SAN BERNARDINO,CA,92373-5221,CA-23,374.0,624410.0,White,Not Hispanic or Latino,1.0,1324997.0,,,,,,Non-Profit Organization,49274,"Citibank, N.A.",Sioux Falls,SD,Male Owned,Non-Veteran,Y,1338323.61,03/01/2022
5129388308,01/25/2021,912,PPS,SAN RAMON VALLEY SCHOOL AGE CHILD CARE ALLIANCE INC,120A Town and Country Dr,Danville,CA,94526-3925,03/08/2022,Paid in Full,60,100,1302122.17,1302122.17,0.0,,119056,Heritage Bank of Commerce,224 Airport Pkwy,SAN JOSE,CA,95110,U,N,N,Existing or more than 2 years old,Danville,CONTRA COSTA,CA,94526-3925,CA-10,102.0,624410.0,Unanswered,Not Hispanic or Latino,1.0,1302118.17,,,,,,Corporation,119056,Heritage Bank of Commerce,SAN JOSE,CA,Female Owned,Non-Veteran,,1315571.49,02/17/2022
9342037004,04/09/2020,931,PPP,FAMILY RESOURCES & REFERRAL CENTER OF SAN JOAQUIN,509 W. Weber Ave Ste 101,STOCKTON,CA,95203-3107,10/08/2020,Paid in Full,24,100,1292500.0,1292500.0,0.0,,14858,Bank of Stockton,301 E Miner Ave,STOCKTON,CA,95202-2501,U,Y,Y,Existing or more than 2 years old,STOCKTON,SAN JOAQUIN,CA,95203-3107,CA-09,142.0,624410.0,Unanswered,Unknown/NotStated,,1042500.0,,,,250000.0,,Non-Profit Organization,14858,Bank of Stockton,STOCKTON,CA,Unanswered,Unanswered,Y,,
9218547105,04/15/2020,912,PPP,SAN RAMON VALLEY SCHOOL AGE CHILD CARE ALLIANCE INC,120A Town and County Dr,DANVILLE,CA,94526,03/13/2021,Paid in Full,24,100,1287500.0,1287500.0,0.0,,119056,Heritage Bank of Commerce,224 Airport Pkwy,SAN JOSE,CA,95110,U,N,N,Existing or more than 2 years old,DANVILLE,CONTRA COSTA,CA,94526-0001,CA-10,173.0,624410.0,Unanswered,Unknown/NotStated,,1287500.0,,,,,,Corporation,119056,Heritage Bank of Commerce,SAN JOSE,CA,Unanswered,Unanswered,,1298434.93,02/25/2021
3591948300,01/22/2021,912,PPS,LITTLE FLOWERS MONTESSORI INC,34735 Ardenwood Blvd,Fremont,CA,94555-3654,11/20/2021,Paid in Full,60,100,1241957.62,1241957.62,0.0,,5150,Community West Bank,"7100 N Financial Dr, Ste 101",FRESNO,CA,93720-2900,U,N,N,Existing or more than 2 years old,Fremont,ALAMEDA,CA,94555-3654,CA-14,110.0,624410.0,Unanswered,Unknown/NotStated,1.0,1241955.62,,,,,,Subchapter S Corporation,112922,Community West Bank,Goleta,CA,Unanswered,Unanswered,,1250532.23,10/06/2021
6042488305,01/26/2021,914,PPS,CHILD EDUCATIONAL CENTER CALTECH/JPL CO,140 Foothill Blvd,La Canada Flintridge,CA,91011-3727,02/17/2022,Paid in Full,60,100,1240000.0,1240000.0,0.0,,110359,Bank of Hope,3200 Wilshire Blvd 1st Fl,LOS ANGELES,CA,90010,U,N,N,Existing or more than 2 years old,La Canada Flintridge,LOS ANGELES,CA,91011-3727,CA-28,100.0,624410.0,Unanswered,Unknown/NotStated,1.0,1239996.0,,,,,,Professional Association,110359,Bank of Hope,LOS ANGELES,CA,Unanswered,Unanswered,,1251652.6,01/18/2022
7327648303,01/28/2021,914,PPS,BEACH BABIES LLC,1775 Artesia Bllvd.,Manhattan Beach,CA,90266,11/06/2021,Paid in Full,60,100,1232800.0,1232800.0,0.0,,33850,Comerica Bank,1717 Main St,DALLAS,TX,75201-4612,U,N,N,Existing or more than 2 years old,Manhattan Beach,LOS ANGELES,CA,90266,CA-33,193.0,624410.0,Unanswered,Not Hispanic or Latino,1.0,1232796.0,,,,,,Limited  Liability Company(LLC),33850,Comerica Bank,DALLAS,TX,Female Owned,Non-Veteran,,1241943.27,10/27/2021
3135027110,04/11/2020,954,PPP,CHILDREN'S PARADISE INC.,211 Main St. #205,VISTA,CA,92084-6009,07/15/2021,Paid in Full,24,100,1232504.8,1232504.8,0.0,,79430,Banner Bank,10 S First Ave,WALLA WALLA,WA,99362-1942,U,Y,Y,Existing or more than 2 years old,VISTA,SAN DIEGO,CA,92084-6009,CA-49,167.0,624410.0,White,Not Hispanic or Latino,,986003.85,,246500.95,,,,Corporation,79430,Banner Bank,WALLA WALLA,WA,Female Owned,Non-Veteran,,1247261.09,06/28/2021
3620837208,04/27/2020,912,PPP,"LITTLE FLOWERS MONTESSORI, INC",34735 Ardenwood Blvd,Fremont,CA,94555,01/16/2021,Paid in Full,24,100,1203782.37,1203782.37,0.0,,5150,Community West Bank,"7100 N Financial Dr, Ste 101",FRESNO,CA,93720-2900,U,N,N,Existing or more than 2 years old,Fremont,ALAMEDA,CA,94555-1000,CA-14,141.0,624410.0,Unanswered,Unknown/NotStated,,902836.7775,,300945.5925,,,,Subchapter S Corporation,112922,Community West Bank,Goleta,CA,Unanswered,Unanswered,,1210939.1,12/02/2020
4691807201,04/27/2020,912,PPP,ALTA VISTA SCHOOL INC,450 SOMERSET ST,SAN FRANCISCO,CA,94134-1724,04/23/2021,Paid in Full,24,100,1180332.0,1180332.0,0.0,,21037,The Northern Trust Company,50 S LaSalle St,CHICAGO,IL,60603-1008,U,Y,Y,Existing or more than 2 years old,SAN FRANCISCO,SAN FRANCISCO,CA,94134-1724,CA-15,66.0,624410.0,Unanswered,Unknown/NotStated,,1180332.0,,,,,,Non-Profit Organization,21037,The Northern Trust Company,CHICAGO,IL,Unanswered,Unanswered,Y,1190954.99,03/29/2021
3523237203,04/27/2020,914,PPP,"CHILD DEVELOPMENT CONSORTIUM OF LOS ANGELES, INC.",1125 W 6th St Ste 502,Los Angeles,CA,90017-1814,04/13/2021,Paid in Full,24,100,1163730.0,1163730.0,0.0,,199896,"Grow America Fund, Incorporated",633 3rd Ave Suite 19J,NEW YORK,NY,10017,U,Y,Y,Existing or more than 2 years old,Los Angeles,LOS ANGELES,CA,90017-1814,CA-34,140.0,624410.0,Unanswered,Unknown/NotStated,,1163730.0,,,,,,Non-Profit Childcare Center,199896,"Grow America Fund, Incorporated",NEW YORK,NY,Unanswered,Unanswered,Y,1173427.75,03/05/2021
5731768307,01/25/2021,954,PPS,BOYS &AMP; GIRLS CLUBS OF GREATER SAN DIEGO,4635 Clairemont Mesa Blvd,San Diego,CA,92117-2004,11/13/2021,Paid in Full,60,100,1054312.0,1054312.0,0.0,,72601,"Zions Bank, A Division of",1 S Main St,SALT LAKE CITY,UT,84133-1109,U,N,N,Existing or more than 2 years old,San Diego,SAN DIEGO,CA,92117-2004,CA-51,134.0,624410.0,Unanswered,Unknown/NotStated,1.0,1054308.0,,,,,,Non-Profit Organization,72601,"Zions Bank, A Division of",SALT LAKE CITY,UT,Unanswered,Unanswered,Y,1062399.87,11/03/2021
2257227202,04/15/2020,912,PPP,LEARN AND PLAY MONTESSORI SCHOOL LLC,35699 NILES BLVD,FREMONT,CA,94536,02/18/2021,Paid in Full,24,100,1041407.0,1041407.0,0.0,,48270,"JPMorgan Chase Bank, National Association",1111 Polaris Pkwy,COLUMBUS,OH,43240-2031,U,N,N,Existing or more than 2 years old,FREMONT,ALAMEDA,CA,94536-0001,CA-14,150.0,624410.0,Asian,Not Hispanic or Latino,42000.0,626037.0,6500.0,313434.0,0.0,53436.0,0.0,Limited  Liability Company(LLC),194093,"JPMorgan Chase Bank, National Association",CHICAGO,IL,Male Owned,Non-Veteran,,1049344.84,01/25/2021
3232528410,02/04/2021,912,PPS,LEARN AND PLAY MONTESSORI SCHOOL LLC,35699 Niles Blvd,Fremont,CA,94536-1555,12/18/2021,Paid in Full,60,100,1026345.0,1026345.0,0.0,,48270,"JPMorgan Chase Bank, National Association",1111 Polaris Pkwy,COLUMBUS,OH,43240-2031,U,N,N,Existing or more than 2 years old,Fremont,ALAMEDA,CA,94536-1555,CA-14,76.0,624410.0,Asian,Not Hispanic or Latino,1.0,1026341.0,,,,,,Limited  Liability Company(LLC),48270,"JPMorgan Chase Bank, National Association",COLUMBUS,OH,Female Owned,Non-Veteran,,1033944.51,11/05/2021
4117508305,01/22/2021,954,PPS,HARMONIUM INC,5440 Morehouse Dr Ste 1000,San Diego,CA,92121-6701,05/11/2022,Paid in Full,60,100,1002657.0,1002657.0,0.0,,72601,"Zions Bank, A Division of",1 S Main St,SALT LAKE CITY,UT,84133-1109,U,N,N,Existing or more than 2 years old,San Diego,SAN DIEGO,CA,92121-6701,CA-51,192.0,624410.0,Unanswered,Unknown/NotStated,1.0,1002652.0,,,,,,Non-Profit Organization,72601,"Zions Bank, A Division of",SALT LAKE CITY,UT,Male Owned,Unanswered,Y,1014826.23,04/14/2022
7946447708,05/01/2020,912,PPP,THE CROSS-CULTURAL FAMILY CENTER,1347 Pierce Street,San Francisco,CA,94115,10/15/2021,Paid in Full,60,100,1000400.0,1000400.0,0.0,,72601,"Zions Bank, A Division of",1 S Main St,SALT LAKE CITY,UT,84133-1109,U,Y,Y,Existing or more than 2 years old,San Francisco,SAN FRANCISCO,CA,94115-0001,CA-11,128.0,624410.0,Unanswered,Unknown/NotStated,,1000400.0,,,,,,Non-Profit Organization,72601,"Zions Bank, A Division of",SALT LAKE CITY,UT,Unanswered,Unanswered,Y,1014076.7,09/16/2021
5672057102,04/13/2020,954,PPP,"HARMONIUM, INC",9245 Activity Road Suite 200,SAN DIEGO,CA,92126-2383,12/18/2020,Paid in Full,24,100,987600.0,987600.0,0.0,,72601,"Zions Bank, A Division of",1 S Main St,SALT LAKE CITY,UT,84133-1109,U,N,N,Existing or more than 2 years old,SAN DIEGO,SAN DIEGO,CA,92126-1000,CA-51,212.0,624410.0,Unanswered,Unknown/NotStated,,987600.0,,,,,,Non-Profit Organization,72601,"Zions Bank, A Division of",SALT LAKE CITY,UT,Unanswered,Unanswered,Y,993444.43,11/25/2020
1817527105,04/10/2020,954,PPP,"SUNNY DAYS OF CALIFORNIA, INC",10680 Treena St 170,SAN DIEGO,CA,92131-2433,01/20/2021,Paid in Full,24,100,955000.0,955000.0,0.0,,317920,Western Alliance Bank,1 E Washington St,PHOENIX,AZ,85004-2492,U,N,N,Existing or more than 2 years old,SAN DIEGO,SAN DIEGO,CA,92131-2433,CA-51,126.0,624410.0,Unanswered,Unknown/NotStated,15000.0,890000.0,,50000.0,,,,Subchapter S Corporation,317920,Western Alliance Bank,PHOENIX,AZ,Unanswered,Unanswered,,961180.97,12/10/2020
2225908403,02/03/2021,912,PPS,THE WONDER YEARS INC.,92 W El Camino Real,Mountain View,CA,94040-2643,02/11/2022,Paid in Full,60,100,872135.0,872135.0,0.0,,72601,"Zions Bank, A Division of",1 S Main St,SALT LAKE CITY,UT,84133-1109,U,N,N,Existing or more than 2 years old,Mountain View,SANTA CLARA,CA,94040-2643,CA-16,79.0,624410.0,Unanswered,Unknown/NotStated,1.0,872133.0,,,,,,Corporation,72601,"Zions Bank, A Division of",SALT LAKE CITY,UT,Unanswered,Unanswered,,880450.15,01/19/2022
7336847310,04/30/2020,912,PPP,WU YEE CHILDREN'S SERVICES,827 Broadway Street,San Francisco,CA,94133,09/29/2021,Paid in Full,24,100,867038.0,867038.0,0.0,,21442,BMO Bank National Association,320 S Canal St,Chicago,IL,60606,U,N,Y,New Business or 2 years or less,San Francisco,SAN FRANCISCO,CA,94133-0001,CA-11,285.0,624410.0,Unanswered,Unknown/NotStated,,867038.0,,,,,,Corporation,14315,BMO Bank National Association,San Francisco,CA,Unanswered,Unanswered,,869780.99,02/10/2021
7863457204,04/28/2020,931,PPP,EXTENDED DAY CHILD CARE CENTER,6040 PUERTO DR,RANCHO MURIETA,CA,95683-9314,02/24/2021,Paid in Full,24,100,846350.0,846350.0,0.0,,317920,Western Alliance Bank,1 E Washington St,PHOENIX,AZ,85004-2492,U,N,N,Existing or more than 2 years old,RANCHO MURIETA,SACRAMENTO,CA,95683-9314,CA-07,81.0,624410.0,Unanswered,Unknown/NotStated,45066.0,677086.0,,44778.0,,79420.0,,Non-Profit Organization,317920,Western Alliance Bank,PHOENIX,AZ,Unanswered,Unanswered,Y,852133.39,01/07/2021
8241587709,05/01/2020,912,PPP,THE CHILD DAY SCHOOLS LLC,3483 GOLDEN WAY,LAFAYETTE,CA,94549,03/20/2021,Paid in Full,24,100,845495.0,845495.0,0.0,,53803,"U.S. Bank, National Association",425 Walnut St,CINCINNATI,OH,45202-3956,U,N,N,Existing or more than 2 years old,LAFAYETTE,CONTRA COSTA,CA,94549-0001,CA-10,80.0,624410.0,Unanswered,Unknown/NotStated,,845495.0,,,,,,Limited  Liability Company(LLC),53803,"U.S. Bank, National Association",CINCINNATI,OH,Unanswered,Unanswered,,850257.23,02/16/2021
9006027307,05/01/2020,914,PPP,THE MARIANNE FROSTIG CENTER OF EDUCATIONAL THERAPY,971 North Altadena Dr,PASADENA,CA,91107,04/23/2021,Paid in Full,24,100,834787.0,834787.0,0.0,,48270,"JPMorgan Chase Bank, National Association",1111 Polaris Pkwy,COLUMBUS,OH,43240-2031,U,N,N,Unanswered,PASADENA,LOS ANGELES,CA,91107-1000,CA-28,59.0,624410.0,Unanswered,Unknown/NotStated,,776186.0,,,,58601.0,,Non-Profit Organization,194093,"JPMorgan Chase Bank, National Association",CHICAGO,IL,Unanswered,Unanswered,Y,841468.08,02/23/2021
5147518303,01/25/2021,931,PPS,EXTENDED DAY CHILD CARE CENTER,6040 Puerto Dr,Rancho Murieta,CA,95683-9314,01/22/2022,Paid in Full,59,100,833705.0,833705.0,0.0,,317920,Western Alliance Bank,1 E Washington St,PHOENIX,AZ,85004-2492,U,N,N,Existing or more than 2 years old,Rancho Murieta,SACRAMENTO,CA,95683-9314,CA-07,81.0,624410.0,Unanswered,Unknown/NotStated,,833705.0,,,,,,Non-Profit Organization,317920,Western Alliance Bank,PHOENIX,AZ,Unanswered,Unanswered,Y,840860.97,12/06/2021
