facility_type,facility_number,facility_name,licensee,facility_administrator,facility_telephone_number,facility_address,facility_city,facility_state,facility_zip,county_name,regional_office,facility_capacity,facility_status,license_first_date,closed_date,file_date
DAY CARE CENTER,198001351,92ND & MAIE CHILD DEVELOPMENT CENTER,DREW CHILD DEVELOPMENT CORPORATION,ALICIA GARCIA,(323) 249-0621,9200 MAIE AVE.,LOS ANGELES,CA,90002,LOS ANGELES,54,54,LICENSED,1/11/1996,,05252025
DAY CARE CENTER,197416902,99TH STREET ELEMENTARY SCHOOL CSPP/HEAD START,LAUSD EARLY CHILDWOOD EDUCATION,MARISSA BORDON,(323) 564-2677,"9900 S.WADSWORTH AVE.RMS 12,13",LOS ANGELES,CA,90002,LOS ANGELES,54,24,LICENSED,4/20/2010,,05252025
DAY CARE CENTER,197494947,A - LIST MONTESSORI PRESCHOOL,PACLEB FAMILY CHILD CARE,DIVINA RODRIGUEZ,(424) 500-2288,11601 WASHINGTON PLACE,LOS ANGELES,CA,90066,LOS ANGELES,30,18,LICENSED,1/25/2022,,05252025
DAY CARE CENTER,103801760,A BETTER CHOICE PRESCHOOL,A BETTER CHOICE PRESCHOOL,"DIXON, LEOME",(559) 227-5437,3225 E. GETTYSBURG AVENUE,FRESNO,CA,93726,FRESNO,04,48,LICENSED,4/12/2002,,05252025
DAY CARE CENTER,192006441,A BRIGHT BEGINNING CHILD DEVELOPMENT CENTER,"A BRIGHT BEGINNING, INC.",DINA REED,(310) 673-4525,712 EAST MANCHESTER BOULEVARD,INGLEWOOD,CA,90301,LOS ANGELES,30,45,LICENSED,11/28/2001,,05252025
DAY CARE CENTER,197411253,"A BRIGHT BEGINNING, INC.",FRANK PROCTOR,ERICKA ANDREWS,(310) 693-0700,503 S. PRAIRIE,INGLEWOOD,CA,90301,LOS ANGELES,30,36,LICENSED,2/3/2004,,05252025
DAY CARE CENTER,197415672,"A BRIGHT BEGINNING, INC.","A BRIGHT BEGINNING, INC.",LARRESHA ALEXANDER,(323) 753-0043,2440 MANCHESTER BLVD.,INGLEWOOD,CA,90305,LOS ANGELES,30,98,LICENSED,9/5/2008,,05252025
DAY CARE CENTER,045407858,A BRIGHT STARR PRESCHOOL & DAYCARE,"GENTLES, STARR L","GENTLES, STARR L",(530) 533-7160,1276 FEATHER RIVER BLVD,OROVILLE,CA,95965,BUTTE,13,60,LICENSED,1/8/2021,,05252025
DAY CARE CENTER,444417091,A CHILD'S GARDEN,DEBORAH KAY CRAIG,DEBORAH K. CRAIG,(831) 359-2210,640 AMESTI ROAD,CORRALITOS,CA,95076,SANTA CRUZ,07,30,LICENSED,9/29/2023,,05252025
DAY CARE CENTER,191501760,A CHILD'S GARDEN SCHOOL,CHURCH OF OUR SAVIOUR,LUCERO SAN LUCAS,(626) 282-2731,535 WEST ROSES ROAD,SAN GABRIEL,CA,91775,LOS ANGELES,33,97,LICENSED,9/11/1995,,05252025
DAY CARE CENTER,015700611,A CHILD'S HIDEAWAY,"CHILDS HIDEAWAY, INC.","ESPIRITU, KATRINA",(510) 646-3218,45150 SOUTH GRIMMER BOULEVARD,FREMONT,CA,94539,ALAMEDA,52,60,LICENSED,5/21/2024,,05252025
DAY CARE CENTER,334846258,A CHILD'S PLACE-AN EARLY EDUCATION CENTER,"BAUM, MARLA","BAUM, MARLA",(760) 835-1586,"332 EAST ALEJO ROAD, UNIT C",PALM SPRINGS,CA,92262,RIVERSIDE,09,15,CLOSED,,9/2/2022,05252025
DAY CARE CENTER,334817217,A CHILD'S PLACE AN EARLY EDUCATION CENTER,"BAUM, MARLA","BAUM, MARLA",(760) 835-1586,1534 N. PALM CANYON DRIVE,PALM SPRINGS,CA,92262,RIVERSIDE,09,15,CLOSED,2/23/2006,8/1/2023,05252025
DAY CARE CENTER,334846437,A CHILD'S PLACE AN EARLY EDUCATION CENTER,"BAUM,MARLA","BAUM,MARLA",(760) 325-5577,1696 EL CIELO ROAD,PALM SPRINGS,CA,92264,RIVERSIDE,09,15,LICENSED,8/2/2023,,05252025
DAY CARE CENTER,197410150,A CHILD'S PLACE GROWTH AND DEVELOPMENT CENTER,"SWAIN, SHERONIECE L.","SWAIN, SHERONIECE L.",(323) 815-1570,4415/4419 NORMANDIE AVENUE,"LOS ANGELES,",CA,90037,LOS ANGELES,54,30,INACTIVE,6/9/2004,,05252025
DAY CARE CENTER,304370800,"A CHILD'S PLACE LEARNING CENTER, INC.","A CHILD'S PLACE LEARNING CENTER, INC.","KASS, DARCIE M.",(949) 646-4318,1941 CHURCH STREET,COSTA MESA,CA,92627,ORANGE,06,48,CLOSED,7/16/2012,6/30/2023,05252025
DAY CARE CENTER,304370300,A CHILD'S PLACE PRESCHOOL,"US-SRI LANKA ENTERPRISES, INC.","JAYASEKARA, ANOMA",(562) 690-4013,1601 WEST LA HABRA BLVD,LA HABRA,CA,90631,ORANGE,06,40,CLOSED,11/15/2006,3/14/2022,05252025
DAY CARE CENTER,197419672,A CHILD'S PLACE SMART CITIZEN LEARNING ACADEMY,SHERONIECE SWAIN,AMADA NATIVIDAD,(323) 385-6482,1639 W VERNON AVENUE,LOS ANGELES,CA,90062,LOS ANGELES,54,25,LICENSED,3/6/2015,,05252025
DAY CARE CENTER,414002659,A CHILD'S WAY,"A CHILD'S WAY SCHOOLS, INC","PAULA YAGINUMA, DIRECTOR",(650) 697-4760,817 MURCHISON DRIVE,MILLBRAE,CA,94030,SAN MATEO,05,30,CLOSED,6/20/2012,11/1/2020,05252025
DAY CARE CENTER,410503412,"A CHILD'S WAY, AN EARLY LEARNING CENTER","A CHILD'S WAY, AN EARLY LEARNING CENTER",LISA VELLA,(650) 342-3460,801 HOWARD AVENUE,BURLINGAME,CA,94010,SAN MATEO,05,37,CLOSED,9/5/1992,6/30/2020,05252025
DAY CARE CENTER,376700273,A CHILDREN'S GARDEN - ENCINITAS,"A CHILDREN'S GARDEN, LLC","HORTON, CATHY",(760) 942-2327,2241 WHISPER WIND LANE,ENCINITAS,CA,92024,SAN DIEGO,51,42,LICENSED,8/1/2006,,05252025
DAY CARE CENTER,376700272,A CHILDREN'S GARDEN - LEUCADIA,"A CHILDREN'S GARDEN, LLC",HEATHER ADDY CRIDER,(760) 436-5370,1421 BURGUNDY ROAD,ENCINITAS,CA,92024,SAN DIEGO,51,44,LICENSED,8/1/2006,,05252025
DAY CARE CENTER,376700270,A CHILDREN'S GARDEN - VISTA,"A CHILDREN'S GARDEN, LLC",MICHELLE MCKIM,(760) 758-4960,152 GRAPEVINE ROAD,VISTA,CA,92083,SAN DIEGO,10,42,INACTIVE,8/1/2006,,05252025
DAY CARE CENTER,153808307,A GOOD TIME OUT,"SHERMAN, MELANIE/SHERMAN, KAREN","SHERMAN, MELANIE/KAREN",(661) 410-8463,"3400 CALLOWAY DRIVE, SUITE 501",BAKERSFIELD,CA,93312,KERN,57,59,LICENSED,10/20/2006,,05252025
DAY CARE CENTER,198013605,A GR8T BEGINNING ACADEMY,LINDA JOHNSON,LORENZANA TARCILA,(310) 847-5511,319 & 321 E. CARSON STREET,CARSON,CA,90745,LOS ANGELES,54,75,LICENSED,12/28/2007,,05252025
DAY CARE CENTER,197419470,A HAPPY DAYS PRESCHOOL,"10312, LLC",AMELIA ZEPEDA,(818) 488-1178,11011 HAYVENHURST AVENUE,GRANADA HILLS,CA,91344,LOS ANGELES,58,34,CLOSED,11/6/2014,2/14/2022,05252025
DAY CARE CENTER,013417683,A JOYFUL NOISE LEARNING CENTER,COMMUNITY CHURCH OF HAYWARD,"LOPEZ, ELIZABETH",(510) 782-8593,26555 GADING ROAD,HAYWARD,CA,94544,ALAMEDA,52,50,LICENSED,9/1/2004,,05252025
DAY CARE CENTER,313622448,A KID'S LIFE (PS),"A KID'S LIFE, LLC",SUZANNE BENEDICT,(916) 786-3660,307 SUTTER AVENUE,ROSEVILLE,CA,95678,PLACER,03,88,LICENSED,7/31/2018,,05252025
DAY CARE CENTER,197417707,A KID'S PLACE,"SUMANDA, INC.DBA A KID'S PLACE",SUSAN B. LEONARD,(310) 390-0401,12312 VENICE BLVD.,LOS ANGELES,CA,90066,LOS ANGELES,30,20,CLOSED,6/4/2013,9/18/2024,05252025
DAY CARE CENTER,197417708,A KID'S PLACE,"SUMANDA, INC. DBA A KID'S PLACE",SUSAN LEONARD,(310) 390-0401,12318 VENICE BLVD.,LOS ANGELES,CA,90066,LOS ANGELES,30,20,CLOSED,6/4/2013,9/18/2024,05252025
DAY CARE CENTER,197412575,A KID'S PLACE,"SUMANDA, INC. DBA A KID'S PLACE","SCHUMER, ADRIANNE",(310) 390-0401,12306 VENICE BOULEVARD,LOS ANGELES,CA,90066,LOS ANGELES,30,40,LICENSED,1/25/2006,,05252025
DAY CARE CENTER,304370870,A KIDS PLACE,LEARNING SERVICES FOR KIDS INC.,"PHEM, SANDY",(714) 626-0400,1180 SOUTH IDAHO ST. SUITE K,LA HABRA,CA,90631,ORANGE,06,40,LICENSED,9/23/2013,,05252025
DAY CARE CENTER,197418101,"A LITTLE PATCH OF EARTH PRESCHOOL, INC.","SWIATEK, SALLY","SWIATEK, SALLY",(661) 753-9023,24436 VALLEY STREET,NEWHALL,CA,91321,LOS ANGELES,12,74,CLOSED,6/4/2012,2/8/2022,05252025
DAY CARE CENTER,073405005,A LITTLE WORLD MONTESSORI ACADEMY,SAMUDRA DE ALWIS,SAMUDRA DE ALWIS,(510) 799-6361,355 PARKER AVE,RODEO,CA,94572,CONTRA COSTA,02,34,LICENSED,6/17/2005,,05252025
DAY CARE CENTER,073406649,A LITTLE WORLD MONTESSORI SCHOOL,NAUTIKA DE ALWIS,HIKKADUWA DE ALWIS,(510) 412-2244,324 37TH ST,RICHMOND,CA,94805,CONTRA COSTA,02,49,LICENSED,7/30/2010,,05252025
DAY CARE CENTER,197419197,A MOTHER GOOSE ACADEMY,"MARGULETA, VICTORIA","CARDENAS, CAREN",(818) 980-0118,11849 BURBANK BLVD.,VALLEY VILLAGE,CA,91607,LOS ANGELES,58,41,LICENSED,2/3/2014,,05252025
DAY CARE CENTER,197418825,A MOTHER GOOSE ACADEMY OF CHATSWORTH,"MARGULETA, VIKTORIA","MARGULETA, VIKTORIA",(818) 341-3288,10324 VARIEL AVENUE,CHATSWORTH,CA,91311,LOS ANGELES,58,54,LICENSED,8/5/2013,,05252025
DAY CARE CENTER,343617158,A NEW BEGINNING PRESCHOOL LEARNING CENTER,"WILLIAMS, NOVA","WILLIAMS, NOVA",(916) 967-7827,8540 MADISON AVENUE,FAIR OAKS,CA,95628,SACRAMENTO,03,30,LICENSED,5/9/2013,,05252025
DAY CARE CENTER,073408232,A NEW WORLD OF MONTESSORI,"A NEW WORLD OF MONTESSORI, LLC",HUMAIRA AHMED,(925) 751-9458,101 SONORA AVENUE,DANVILLE,CA,94526,CONTRA COSTA,02,30,LICENSED,5/31/2017,,05252025
DAY CARE CENTER,483010154,A PLACE 2 GROW,A PLACE 2 GROW CARE & EDUCATION SYSTEM INC.,JUNE REGIS,(707) 419-4927,1406 WOOLNER AVE,FAIRFIELD,CA,94533,SOLANO,01,30,LICENSED,2/2/2022,,05252025
DAY CARE CENTER,283008506,A PLACE OF MY OWN,NAPA CHILD DEVELOPMENT CORPORATION,SHANNON DANIELS,(707) 224-8667,2590 FIRST STREET,NAPA,CA,94558,NAPA,01,52,LICENSED,8/16/2012,,05252025
DAY CARE CENTER,376701110,A PLACE OF OUR OWN CDC,"A PLACE OF OUR OWN CDC, INC.",FELICIA PEOPLES,(760) 745-0115,1851 E. WASHINGTON AVENUE,ESCONDIDO,CA,92027,SAN DIEGO,10,42,CLOSED,10/31/2014,8/31/2020,05252025
DAY CARE CENTER,376701314,A PLACE OF OUR OWN CDC & SCHOOL-AGE PROGRAM/ASH,A PLACE OF OUR OWN CHILD DEV. CENTE INCORP.,ERICA GONZALEZ,(760) 317-1886,120 N ASH STREET,ESCONDIDO,CA,92027,SAN DIEGO,10,90,CLOSED,9/21/2017,10/16/2022,05252025
DAY CARE CENTER,376700703,A PLACE OF OUR OWN CHILD DEVELOPMENT CENTER,"A PLACE OF OUR OWN CDC, INC","CRUZ, ROSARIO",(760) 737-8660,2355 E VALLEY PARKWAY,ESCONDIDO,CA,92027,SAN DIEGO,10,72,CLOSED,8/1/2010,7/23/2023,05252025
DAY CARE CENTER,197750176,A PLACE OF OUR OWN LEARNING ACADEMY,ALLEA ADAMS,ALLEA ADAMS,(661) 236-3456,2046 W AVENUE J,LANCASTER,CA,93536,LOS ANGELES,12,62,LICENSED,11/15/2023,,05252025
DAY CARE CENTER,197417593,"A PLACE OF OUR OWN LEARNING ACADEMY,INC","ADAMS, ALLEA","ADAMS, ALLEA",(661) 718-3614,2739 W. AVENUE L,LANCASTER,CA,93536,LOS ANGELES,12,77,LICENSED,3/7/2011,,05252025
DAY CARE CENTER,434414567,A PLACE TO GROW,FLANDA T. TERNIAN,KALIN TERNIAN,(408) 626-7643,4115 JACKSOL DRIVE BUILDING 2,SAN JOSE,CA,95124,SANTA CLARA,07,60,LICENSED,8/3/2015,,05252025
DAY CARE CENTER,543808649,A PLACE TO GROW MONTESSORI,"A PLACE TO GROW MONTESSORI, LLC.","VEDENOFF,BLAIR/CLANCY,NINA",(559) 627-3535,3535 SOUTH AKERS,VISALIA,CA,93277,TULARE,57,146,LICENSED,10/29/2010,,05252025
DAY CARE CENTER,197417542,"A PLACE TWO GROW, INC.","CARSON, RACHELLE","CARSON, RACHELLE",(323) 295-3114,3770 SANTA ROSALIA DRIVE,LOS ANGELES,CA,90008,LOS ANGELES,58,39,CLOSED,5/24/2011,5/15/2023,05252025
DAY CARE CENTER,376700207,"A RISING STAR ACADEMY CHILDCARE CENTER, INC.",RISING STAR ACADEMY CHILDCARE CENTER,DANIELLE STRICKLAND,(760) 439-3344,169 ROYMAR ROAD,OCEANSIDE,CA,92058,SAN DIEGO,10,68,LICENSED,9/22/2005,,05252025
DAY CARE CENTER,490110022,A SPECIAL PLACE,YWCA OF SONOMA COUNTY,AMY DEJUNG,(707) 523-2337,1128 EDWARDS AVENUE,SANTA ROSA,CA,95401,SONOMA,01,30,LICENSED,10/1/1990,,05252025
DAY CARE CENTER,191204677,A + ADVENTIST CHILDREN'S CENTER,SOUTHERN CA CONFERENCE OF SEVENTH-DAY ADVENTISTS,MALISA SMITH,(818) 241-9353,234 N. ISABEL STREET,GLENDALE,CA,91206,LOS ANGELES,33,78,CLOSED,3/28/1995,11/3/2023,05252025
DAY CARE CENTER,434410812,AB'S PRESCHOOL,MERAT AYALEW,"NEGASH, YODIT",(408) 866-6608,250 VIRGINIA AVENUE,CAMPBELL,CA,95008,SANTA CLARA,07,30,CLOSED,11/24/2009,5/28/2021,05252025
DAY CARE CENTER,013422012,AB'S PRESCHOOL AND DAYCARE,"AYALEW FAMILY SERVICES, LLC","AYALEW, MERAT",(510) 564-4276,301 DOWLING BLVD,SAN LEANDRO,CA,94577,ALAMEDA,52,30,LICENSED,4/24/2015,,05252025
DAY CARE CENTER,213004840,ABBEY MONTESSORI CHILDREN'S CENTER - PRESCHOOL,"COSTELO, MA.ELIZABETH C.","COSTELO, ELIZABETH",(415) 479-8865,138 N. SAN PEDRO ROAD,SAN RAFAEL,CA,94903,MARIN,05,30,LICENSED,3/17/2003,,05252025
DAY CARE CENTER,198012426,ABBOTT PRESCHOOL,LYNWOOD UNIFIED SCHOOL DISTRICT,JESSICA ALDAZ,(310) 603-2075,5260 E. CLARK STREET,LYNWOOD,CA,90262,LOS ANGELES,54,30,INACTIVE,3/27/2006,,05252025
DAY CARE CENTER,364842784,ABC 123 CHRISTIAN ACADEMY,ABC 123 CHRISTIAN ACADEMY,"TAPP, TIFFANY",(760) 948-3222,15138 MAIN STREET,HESPERIA,CA,92345,SAN BERNARDINO,12,63,CLOSED,10/16/2014,9/24/2020,05252025
DAY CARE CENTER,210105818,ABC ACADEMY PRESCHOOL,"HANDELIN, CAROLYN DENISE","SHAW, LAUREN",(415) 459-7611,176 TUNSTEAD AVENUE,SAN ANSELMO,CA,94960,MARIN,05,40,LICENSED,1/17/1984,,05252025
DAY CARE CENTER,198003340,ABC ANGELS PRESCHOOL,ABC ANGELS PRESCHOOL,KUNG SOOK MIN,(213) 738-8972,260 S. NEW HAMPSHIRE BOULEVARD,LOS ANGELES,CA,90004,LOS ANGELES,33,43,LICENSED,3/31/1998,,05252025
DAY CARE CENTER,370805454,ABC BARN CHILDREN'S PLACE,SHEPHERD OF THE VALLEY EVANGELICAL LUTH CHURCH,RONALD BLAKE,(619) 670-3898,10842 FURY LANE,LA MESA,CA,91941,SAN DIEGO,20,87,LICENSED,8/20/1985,,05252025
DAY CARE CENTER,336300087,ABC CHILD CARE CENTER,ANTON SCHOOLS INC DBA ABC CHILD CARE CENTER INC,TONYA WRIGHT,(951) 491-0940,29705 SOLANA WAY,TEMECULA,CA,92591,RIVERSIDE,10,190,LICENSED,12/22/2019,,05252025
DAY CARE CENTER,334814893,ABC CHILD CARE VILLAGE,"ABC VILLAGE, INC",ANGELINE ANTON (ANGEL),(951) 491-0940,40045 VILLAGE ROAD,TEMECULA,CA,92591,RIVERSIDE,10,216,LICENSED,7/14/2004,,05252025
DAY CARE CENTER,376701140,ABC CHILDREN'S CENTER AT SAN DIEGO,EKADUNTAU AMBA INC.,CRISTY N. & POOJA S.,(858) 451-1663,12145 ALTA CARMEL COURT #270,SAN DIEGO,CA,92128,SAN DIEGO,51,82,LICENSED,6/10/2015,,05252025
DAY CARE CENTER,300605296,ABC DEVELOPMENT PRESCHOOL #1,ABC 4 B&J INC. (DBA) ABC DEVELOPMENT PRESCHOOL,"MORA, VALERIE",(562) 924-1508,4631 1/2 LA PALMA AVE.,LA PALMA,CA,90623,ORANGE,06,60,LICENSED,9/6/1983,,05252025
DAY CARE CENTER,300614038,ABC DEVELOPMENT PRESCHOOL #3,ABC 4 B & J INC.,"HEIN, CINDY",(714) 821-4222,9972 GRAHAM ST.,CYPRESS,CA,90630,ORANGE,06,60,LICENSED,9/14/1992,,05252025
DAY CARE CENTER,304270045,ABC DEVELOPMENT PRESCHOOL #4,"LEBRUN, JANICE & ABC 4 B & J INC.","BRZUSKA, NIKKI",(714) 828-4222,4440 SURREY AVE.,CYPRESS,CA,90630,ORANGE,06,60,LICENSED,8/30/1994,,05252025
DAY CARE CENTER,304270216,ABC DEVELOPMENT PRESCHOOL #5,ABC B & J INC.,"HEIN, CINDY",(714) 952-4222,8630 MOODY ST.,CYPRESS,CA,90630,ORANGE,06,24,CLOSED,1/15/1996,9/14/2021,05252025
