facility_type,facility_number,facility_name,licensee,facility_administrator,facility_telephone_number,facility_address,facility_city,facility_state,facility_zip,county_name,regional_office,facility_capacity,facility_status,license_first_date,closed_date,file_date
child_care_centers,503810230,JAISHIRAM COMMUNITY AND DAYCARE CENTER,SMITA KUMAR,SMITA KUMAR,(209) 494-8232,2007 YOSEMITE BLVD,MODESTO,CA,95354,STANISLAUS,4,3,CLOSED,,3/20/2023,5252025
child_care_centers,503808515,JAISHIRAM COMMUNITY AND DAYCARE CENTER,SMITA KUMAR,SMITA KUMAR,(209) 494-8232,2007 YOSEMITE BLVD,MODESTO,CA,95354,STANISLAUS,4,3,PENDING,,,5252025
child_care_centers,125406634,KIDS UNLIMITED CHILD CARE CENTER,"SEFTON, SHEILA","SEFTON, SHEILA",(707) 442-4000,"2020 CAMPTON ROAD, SUITE A",EUREKA,CA,95503,HUMBOLDT,13,12,CLOSED,9/19/2014,6/1/2024,5252025
child_care_centers,173010408,KONOCTI USD CHILD DEVELOPMENT CENTER P/S,KONOCTI UNIFIED SCHOOL DISTRICT,ANGEL COPPA,(707) 994-6475,9345 WINCHESTER STREET,LOWER LAKE,CA,95457,LAKE,1,10,CLOSED,5/11/2023,8/4/2023,5252025
child_care_centers,198021026,KUDOS CHILDCARE CENTER,AIDA DE JONG & JOHANA DAVILA,"AIDA DE JONG,JOHANA DAVILA",(909) 764-4077,640 S. GAREY AVE,POMONA,CA,91766,LOS ANGELES,33,10,CLOSED,,10/20/2022,5252025
child_care_centers,426216382,LITTLE CLUBHOUSE ACADEMY,"WILLIAMS, VERONICA",VERONICA WILLIAMS,(805) 743-5000,128 NORTH N STREET,LOMPOC,CA,93436,SANTA BARBARA,17,6,CLOSED,,5/3/2023,5252025
child_care_centers,197494938,LITTLE EAGLES PRESCHOOL,BRENTWOOD SCHOOL & DR. MICHAEL RIERA,BRITTNEY ADAMS,(310) 471-6192,12001 W SUNSET BLVD,LOS ANGELES,CA,90049,LOS ANGELES,58,12,CLOSED,,5/12/2022,5252025
child_care_centers,283010021,LITTLE SUNSHINE LEARNING CENTER,"WHITESIDE, JULIETA","WHITESIDE, JULIETA",(702) 786-2237,15 WOODLAND DRIVE,ST HELENA,CA,94574,NAPA,1,12,CLOSED,12/28/2020,6/13/2022,5252025
child_care_centers,483003731,LIVELY STONES CHILD CARE CENTER - PRESCHOOL,"LEVIAS, RHONDA A.","LEVIAS, RHONDA A.",(707) 712-5694,21 ANTIOCH DRIVE,VALLEJO,CA,94589,SOLANO,1,12,INACTIVE,6/12/2002,,5252025
child_care_centers,198021157,MISS MAGGIE MANDARIN CLASSROOM,"MISS MAGGIE MANDARIN CLASSROOM, INC","GAN, KWEE",(626) 421-2118,552 W LAS TUNAS DR,SAN GABRIEL,CA,91776,LOS ANGELES,33,12,CLOSED,,5/23/2023,5252025
child_care_centers,198400424,MONARCH ACADEMY PRESCHOOL,"ALMA MORALES, THERESA MARTIN & STEPHANIE TICAS","MORALES, A/MARTIN, T/TICAS",(323) 572-8722,973 E. 43RD ST. RM# 103 & 104,LOS ANGELES,CA,90011,LOS ANGELES,54,8,CLOSED,,11/23/2021,5252025
child_care_centers,434416418,OMEI PRESCHOOL,OMEI TAICHI CULTURE ACADEMY INC.,"TZANKOVA, MARIA",(408) 444-0635,21685 GRANADA AVENUE,CUPERTINO,CA,95014,SANTA CLARA,7,9,CLOSED,1/27/2020,12/13/2021,5252025
child_care_centers,364846113,ONTARIO CHRISTIAN ACADEMY LEARNING INSTITUTE,ONTARIO CHRISTIAN ACADEMY LEARNING INSTITUTE,TERRI BROOKS,(909) 983-5269,1336 N BAKER AVE,ONTARIO,CA,91764,SAN BERNARDINO,9,10,INACTIVE,7/13/2023,,5252025
child_care_centers,426215468,ONTRAPORT CHILDCARE FACILITY,ONTRAPORT,TRESSA SAVIERS,(805) 568-1424,2040 ALAMEDA PADRE SERRA,SANTA BARBARA,CA,93103,SANTA BARBARA,17,7,CLOSED,2/8/2018,7/30/2021,5252025
child_care_centers,376701280,PETITS AMIGOS IMMERSION PRESCHOOL,"PETITS AMIGOS, LLC",LESLIE MCIVER,(858) 428-4652,17022 CAMINO SAN BERNARDO,SAN DIEGO,CA,92127,SAN DIEGO,51,12,CLOSED,1/23/2017,12/31/2020,5252025
child_care_centers,384002210,PIXIE HALL STUDIOS (PS),"PIXIE HALL STUDIOS, LLC",NELLIE KNOX,(415) 400-4846,649 DIAMOND STREET,SAN FRANCISCO,CA,94114,SAN FRANCISCO,5,10,CLOSED,9/22/2011,6/10/2023,5252025
child_care_centers,364841166,PJ HIGGINS CHILD DEVELOPMENT CENTER,"BRIGHT HORIZONS CHILDREN'S CENTERS, LLC","HENDRIX, MICHA",(909) 472-4102,5001 E. PHILADELPHIA STREET,ONTARIO,CA,91761,SAN BERNARDINO,9,12,CLOSED,11/2/2011,10/19/2020,5252025
child_care_centers,243808913,PLANADA EARLY HEAD START,MERCED COUNTY OFFICE OF EDUCATION HEAD START,CYNTHIA JAMES,(209) 381-5170,9525 E. BRODRICK STREET,PLANADA,CA,95365,MERCED,4,12,CLOSED,8/12/2015,7/9/2024,5252025
child_care_centers,198019981,PRESCHOOL EL-SHADDAI,PRESCHOOL EL-SHADDAI,MEGAN HANADI,(562) 626-9150,2041 PALO VERDE AVE,LONG BEACH,CA,90815,LOS ANGELES,54,12,CLOSED,11/9/2018,9/25/2023,5252025
child_care_centers,325407058,QUINCY COOP PRESCHOOL,QUINCY PRESCHOOL,"WRAA, ASHLEY",(530) 521-5980,545 LAWRENCE STREET,QUINCY,CA,95971,PLUMAS,13,12,CLOSED,9/1/2017,7/11/2024,5252025
child_care_centers,233010419,RCS - THE GROVE P/S,REDWOOD COMMUNITY SERVICES INC,"BAILEY, TAWNY",(707) 467-2010,205 N BUSH STREET,UKIAH,CA,95482,MENDOCINO,1,12,CLOSED,,9/22/2023,5252025
child_care_centers,334845184,"READY, SET, GROW! PRE-SCHOOL","READY, SET, GROW! PRE-SCHOOL","PADDIE, ALYSSA",(951) 719-0234,33122 GRAPE STREET,WILDOMAR,CA,92595,RIVERSIDE,10,12,CLOSED,8/29/2018,2/25/2022,5252025
child_care_centers,125407814,REDWOOD DISCOVERY MUSEUM PRESCHOOL,REDWOOD DISCOVERY MUSEUM,SERINA HILLIS,(707) 443-9694,"612 G STREET, SUITE 102",EUREKA,CA,95501,HUMBOLDT,13,12,CLOSED,12/10/2020,12/20/2021,5252025
child_care_centers,343626314,RISING STAR PRESCHOOL,HEALTHY SOLUTIONS,DIANA HURTADO,(279) 345-3034,2530 TRACTION AVENUE,SACRAMENTO,CA,95815,SACRAMENTO,3,10,CLOSED,,12/11/2024,5252025
child_care_centers,343614425,SACRAMENTO CHILDREN'S HOME-SACRAMENTO CRISIS,SACRAMENTO CHILDREN'S HOME,"COOK, GWENETTA",(916) 394-2000,6699 SOUTH LAND PARK DRIVE,SACRAMENTO,CA,95831,SACRAMENTO,3,10,INACTIVE,6/29/2007,,5252025
child_care_centers,343611638,SACRAMENTO CRISIS NURSERY,SACRAMENTO CHILDREN'S HOME,"NOLAN, BARBARA",(916) 679-3600,4533 PASADENA AVENUE,SACRAMENTO,CA,95821,SACRAMENTO,3,12,INACTIVE,2/6/2007,,5252025
child_care_centers,13423077,SAINT PHILIP NERI PRESCHOOL,SAINT PHILIP NERI CATHOLIC SCHOOL,GINA FOSTER,(510) 326-5331,3100 CENTRAL AVE.,ALAMEDA,CA,94501,ALAMEDA,2,12,CLOSED,6/7/2019,8/19/2024,5252025
child_care_centers,304371278,SEA STAR VILLAGE,SEA STAR VILLAGE,"SBARRA, CHRISTINA",(949) 266-7033,611 HELIOTROPE AVENUE,CORONA DEL MAR,CA,92625,ORANGE,6,10,CLOSED,,4/23/2021,5252025
child_care_centers,475408098,SISKIYOU CREDIT UNION CHILDCARE CENTER PRESCHOOL,SISKIYOU CREDIT UNION CHILDCARE CENTER,"STONE, EMILY",(530) 842-1694,845 FOURTH ST,YKREA,CA,96097,SISKIYOU,13,3,CLOSED,6/10/2022,4/18/2023,5252025
child_care_centers,393622335,SISTER DIANE'S DAYCARE,GREATER CHRIST TEMPLE CHURCH,"VAUGHN, DIANA",(209) 472-9778,8800 THORNTON ROAD,STOCKTON,CA,95209,SAN JOAQUIN,53,5,CLOSED,4/8/2019,6/2/2020,5252025
child_care_centers,13422459,ST. JOSEPH SCHOOL,ROMAN CATHOLIC WELFARE CORP. DIOCESE OF OAKLAND,"CALTON, PATTI",(510) 656-6525,43222 MISSION BLVD.,FREMONT,CA,94539,ALAMEDA,52,13,INACTIVE,6/29/2017,,5252025
child_care_centers,255407589,SURPRISE VALLEY CHILD DEVELOPMENT CTR - P/S,T.E.A.C.H.,"MADISON, CAROL",(530) 279-3632,896 HIGH STREET,CEDARVILLE,CA,96104,MODOC,13,12,CLOSED,12/17/2019,9/25/2020,5252025
child_care_centers,493009988,TREE HOUSE HOLLOW P/S-MEADOW VIEW,TREE HOUSE HOLLOW P/S-MEADOW VIEW CAMPUS,"WILSON, MEGAN",(707) 823-1958,500 ROBINSON ROAD,SEBASTOPOL,CA,95472,SONOMA,1,12,CLOSED,10/26/2020,8/6/2021,5252025
child_care_centers,13422485,UNITY COUNCIL CHILD CARE CENTER,SPANISH SPEAKING UNITY COUNCIL,ELIZABETH CROCKER,(510) 535-2760,2615 E 15TH ST,OAKLAND,CA,94601,ALAMEDA,2,8,CLOSED,11/22/2017,9/3/2021,5252025
child_care_centers,198020467,URBAN STRATEGIES PRESCHOOL,URBAN STRATEGIES LLC,NIDIA SANGUINO,(301) 788-3356,3700 E. SIERRA MADRE BLVD.,PASADENA,CA,91107,LOS ANGELES,33,12,CLOSED,2/23/2021,10/31/2022,5252025
child_care_centers,45406618,WYNN MEMORIAL LEARNING CENTER,WYNN MEMORIAL TABERNACLE CHURCH OF GOD IN CHRIST,"HALL, CASSANDRA",(530) 712-9345,2508 D STREET,OROVILLE,CA,95966,BUTTE,13,8,CLOSED,8/21/2014,8/16/2024,5252025
child_care_centers,13416106,YMCA OF THE EAST BAY - BLACOW,YMCA OF THE EAST BAY,"BHATIA, GURMEET",(510) 659-4051,40404 SUNDALE DRIVE,FREMONT,CA,94538,ALAMEDA,52,9,CLOSED,2/28/2002,2/10/2022,5252025
child_care_centers,210110018,FAIRFAX SAN ANSELMO CHILDREN'S CENTER-ILL CHILD,FAIRFAX SAN ANSELMO CHILDREN'S CENTER,"TOMSKY, HEIDI",(415) 454-1811,199 PORTEOUS AVENUE,FAIRFAX,CA,94930,MARIN,5,6,CLOSED,5/15/1991,8/13/2021,5252025
child_care_centers,198021059,HANDLE WITH CARE,USC ARCADIA HOSPITAL,GWEN Y. BLACKMON,(626) 574-3524,300 W. HUNTINGTON DRIVE,ARCADIA,CA,91006,LOS ANGELES,33,12,CLOSED,,9/1/2022,5252025
child_care_centers,197750115,"HONEY BEES LEARNING ACADEMY, THE",GWENDOLYN R./REGINA A.,GWENDOLYN R./REGINA A.,(661) 522-3527,2042 WEST AVENUE J,LANCASTER,CA,93536,LOS ANGELES,12,10,CLOSED,,10/1/2021,5252025
child_care_centers,376701112,A PLACE OF OUR OWN CDC,"A PLACE OF OUR OWN CDC, INC",FELICIA PEOPLES,(760) 745-0115,1851 E. WASHINGTON AVENUE,ESCONDIDO,CA,92027,SAN DIEGO,10,10,CLOSED,10/31/2014,8/31/2020,5252025
child_care_centers,376105008,ACADEMY OF PLAY INFANT,ACADEMY OF PLAY LLC.,VIANNEY BARRAZA ESPINOZA,(619) 631-7284,892 EAST MADISON AVENUE,EL CAJON,CA,92020,SAN DIEGO,51,11,CLOSED,9/27/2019,4/12/2024,5252025
child_care_centers,191805638,ADAMS INFANT DEVELOPMENT PROGRAM,EXCEPTIONAL CHILDREN'S FOUNDATION,"KAYACAN,GABRIELA",(323) 735-1424,2225 W. ADAMS BLVD.,LOS ANGELES,CA,90018,LOS ANGELES,54,8,INACTIVE,8/10/1992,,5252025
child_care_centers,343624323,ADVENTURE MONTESSORI S.T.E.A.M ACADEMY LLC,ADVENTURE MONTESSORI S.T.E.A.M ACADEMY LLC,SITHUMINI MILLAWABANDARA,(916) 370-6113,3541 N FREEWAY BLVD SUITE 100,SACRAMENTO,CA,95834,SACRAMENTO,3,8,ON PROBATION,8/4/2022,,5252025
child_care_centers,13420540,ALAMEDA HEAD START - SUE MATHESON INFANT CENTER,ALAMEDA FAMILY SERVICES,"TRUONG, VICKIE",(510) 521-3443,670 WEST MIDWAY,ALAMEDA,CA,94501,ALAMEDA,2,8,CLOSED,10/15/2010,8/5/2024,5252025
child_care_centers,13423746,ALAMEDA MONTESSORI CHILDREN'S HOUSE,NA XI,NA XI,(510) 735-5713,1424 SAINT CHARLES ST,ALAMEDA,CA,94501,ALAMEDA,2,5,CLOSED,,12/4/2023,5252025
child_care_centers,376700233,ALL SAINTS EPISCOPAL INFANT CENTER,ALL SAINTS EPISCOPAL CHURCH,LISA ANDERSON,(760) 945-6908,651 EUCALYPTUS AVENUE,VISTA,CA,92084,SAN DIEGO,10,12,CLOSED,3/27/2006,7/31/2020,5252025
child_care_centers,364805168,ALPHA TOT HOUSE/ST JOHN OF GOD HEALTH CARE SERV,ST JOHN OF GOD HEALTH CARE SERVICES,SANTIAGO LOPEZ,(760) 241-4917,13333 PALMDALE RD,VICTORVILLE,CA,92392,SAN BERNARDINO,12,10,CLOSED,6/16/1998,12/14/2023,5252025
child_care_centers,191801828,ANDI'S INFANT CARE CENTER,"REICHWALD, ANDREA","REICHWALD, ANDREA",(323) 630-7542,1100 SO. GENESEE AVE.,LOS ANGELES,CA,90019,LOS ANGELES,58,12,CLOSED,9/13/1988,9/1/2021,5252025
child_care_centers,197416072,ANTOINE'S LITTLE ANGELS,"ANTOINE, JANICE","ANTOINE, DOMINIQUE",(323) 757-3980,11111 S. WESTERN AVENUE,LOS ANGELES,CA,90047,LOS ANGELES,30,4,CLOSED,2/10/2009,9/12/2023,5252025
child_care_centers,195700198,APPLE TREE UNIVERSITY PRESCHOOL,"SEPTEMBER SCHOOLS, INC",SEPTEMBER EWING,(818) 996-9023,18900 SATICOY STREET,RESEDA,CA,91335,LOS ANGELES,58,12,CLOSED,,2/28/2024,5252025
child_care_centers,434408806,APPLESEED MONTESSORI SCHOOL,APPLESEED MONTESSORI INC.,"VILLAGOMEZ, NANCY",(408) 260-7333,"1095 DUNFORD WAY, SUITE 500",SUNNYVALE,CA,94087,SANTA CLARA,7,8,CLOSED,9/14/2006,7/23/2021,5252025
child_care_centers,364843755,"ARK CHRISTIAN PRESCHOOL, THE","PME. SERVICES, INC.",PATRICIA M. EVERITT,(909) 797-3300,34530 AVENUE E,YUCAIPA,CA,92399,SAN BERNARDINO,9,11,CLOSED,2/17/2016,4/15/2022,5252025
child_care_centers,553616865,ATCAA - BLUE BELL EARLY HEAD START,AMADOR TUOLUMNE COMMUNITY ACTION AGENCY,BREENA SMITH,(209) 532-5455,18080 BLUE BELL ROAD EAST,SONORA,CA,95370,TUOLUMNE,53,9,CLOSED,8/25/2011,11/28/2023,5252025
child_care_centers,344500720,BABY YALE ACADEMY ELK GROVE,BABY YALE ACADEMY INC.,"MORAN-ESTRADA, NICOLE",(916) 896-5935,9499 E. STOCKTON BLVD,ELK GROVE,CA,95624,SACRAMENTO,53,8,CLOSED,,3/7/2023,5252025
child_care_centers,344500556,BABY YALE ACADEMY ELK GROVE,BABY YALE ACADEMY INC,"MORAN-ESTRADA, NICOLE",(916) 896-5935,9483 E STOCKTON BLVD,ELK GROVE,CA,95624,SACRAMENTO,53,8,CLOSED,,10/18/2022,5252025
child_care_centers,376700402,BALDWIN ACADEMY - INFANT,"BALDWIN ACADEMY, INC.",DARLA RODRIGUEZ,(858) 270-5995,1772 HORNBLEND STREET,SAN DIEGO,CA,92109,SAN DIEGO,51,12,CLOSED,10/12/2007,3/27/2023,5252025
child_care_centers,313624806,BAMBINI & STERLING MONTESSORI,KAP ACHIEVERS LLC,JUAN PAOLO SARMIENTO,(650) 430-2037,1170 EAST JOINER PARKWAY,LINCOLN,CA,95648,PLACER,3,12,CLOSED,12/6/2023,7/22/2024,5252025
child_care_centers,376700004,BAY PARK EARLY LEARNING CENTER - INFANT,SAN DIEGO EARLY CHILDHOOD LEARNING CENTER LLC,GAIL FILKINS,(619) 275-2241,1979 CHICAGO STREET,SAN DIEGO,CA,92110,SAN DIEGO,51,12,CLOSED,11/3/2003,6/7/2021,5252025
child_care_centers,197494396,BEREA LEARNING ACADEMY,BEREA LEARNING ACADEMY,KARLA HEREDIA,(323) 599-0311,12020 STRATHERN STREET,NORTH HOLLYWOOD,CA,91605,LOS ANGELES,58,9,CLOSED,8/31/2020,6/2/2024,5252025
child_care_centers,93621256,BERGAMO MONTESSORI AT SERRANO,"BERGAMO MONTESSORI AT SERRANO, INC.","MARKING, HILARY",(916) 358-3835,4521 SERRANO PARKWAY,EL DORADO HILLS,CA,95762,EL DORADO,3,9,CLOSED,9/6/2016,2/11/2025,5252025
child_care_centers,343621928,BERGAMO MONTESSORI SCHOOL,"BERGAMO PREPARATORY SCHOOL, INC.","BRENNAN, LAURA",(916) 399-5891,8200 POCKET ROAD,SACRAMENTO,CA,95831,SACRAMENTO,3,12,CLOSED,11/14/2017,2/11/2025,5252025
child_care_centers,304370983,"BIG ADVENTURE, INC.","BIG ADVENTURE, INC.","THORNLEY,J & LAUTURE,C.",(714) 535-4312,2219 W ORANGE AVE,ANAHEIM,CA,92804,ORANGE,6,8,CLOSED,6/1/2015,4/19/2024,5252025
child_care_centers,543808528,BOINGO'S ACADEMY,KIKERS KIDS INC,ALYSSA FRANCO,(559) 623-9206,7137 W. PERSHING COURT,VISALIA,CA,93291,TULARE,57,12,CLOSED,8/31/2009,9/20/2021,5252025
child_care_centers,543810024,BOINGOS NEIGHBORHOOD ACADEMY,KIKERS KIDS INC.,"ANCHETA, LAURA",(213) 804-4684,2637 S CHINOWTH ST,VISALIA,CA,93291,TULARE,57,12,CLOSED,8/14/2018,6/25/2021,5252025
child_care_centers,543810132,BOINGOS NEIGHBORHOOD ACADEMY,KIA KIDS INC,"CEBALLOS, ALYSSA",(559) 623-9206,2637 S CHINOWTH ST,VISALIA,CA,93277,TULARE,57,12,CLOSED,,12/18/2020,5252025
child_care_centers,376700715,BORREGO SPRINGS CHILDREN'S CENTER - INFANT,BORREGO COMMUNITY HEALTH FOUNDATION,TERESA WEST,(760) 767-3658,580 CIRCLE J DRIVE,BORREGO SPRINGS,CA,92004,SAN DIEGO,51,4,CLOSED,9/7/2010,6/30/2021,5252025
child_care_centers,153810126,BRIGHT FUTURES PRESCHOOL,BRIGHT FUTURES PRESCHOOL LLC,"OKAMOTO,JESSICA",(661) 631-5555,608 KENTUCKY,BAKERSFIELD,CA,93305,KERN,57,9,CLOSED,9/17/2020,8/31/2022,5252025
