facility_type,facility_number,facility_name,licensee,facility_administrator,facility_telephone_number,facility_address,facility_city,facility_state,facility_zip,county_name,regional_office,facility_capacity,facility_status,license_first_date,closed_date,file_date,address_normalized,full_address,fraud_score,fraud_flags,licensee_normalized,license_year
child_care_centers,197750110,ACADEMY OF EXCELLENCE,CHAUNCY SMITH,LORIENA FRANCISCO,(661) 206-9344,725 E AVENUE J,LANCASTER,CA,93535,LOS ANGELES,12,27,LICENSED,2021-04-16,,5252025,725 E AVENUE J,"725 E AVENUE J, LANCASTER",1,HIGH_VOLUME_LICENSEE; ,CHAUNCY SMITH,2021.0
child_care_centers,394500620,"ACADEMY OF LEARNERS CDC, LLC","ACADEMY OF LEARNERS CDC, LLC",ELLA TEMPLE BAUMER,(209) 605-0626,19047 EAST MAIN ST,LINDEN,CA,95236,SAN JOAQUIN,53,30,LICENSED,2022-06-29,,5252025,19047 EAST MAIN ST,"19047 EAST MAIN ST, LINDEN",0,,"ACADEMY OF LEARNERS CDC, LLC",2022.0
child_care_centers,376701491,ACADEMY OF PLAY LLC,ACADEMY OF PLAY LLC,CINTHYA BAEZ,(619) 439-2390,7255 UNIVERSITY AVENUE,LA MESA,CA,91942,SAN DIEGO,20,26,LICENSED,2022-03-28,,5252025,7255 UNIVERSITY AVENUE,"7255 UNIVERSITY AVENUE, LA MESA",0,,ACADEMY OF PLAY LLC,2022.0
child_care_centers,493010083,ACHIEVERS,NANAK GLOBAL INC.,SYDNEY SOOS,(707) 539-6232,573 SUMMERFIELD ROAD,SANTA ROSA,CA,95405,SONOMA,1,90,LICENSED,2021-09-01,,5252025,573 SUMMERFIELD ROAD,"573 SUMMERFIELD ROAD, SANTA ROSA",2,DUPLICATE_ADDRESS; ,NANAK GLOBAL INC.,2021.0
child_care_centers,394500416,ACHIEVERS,NANAK STOCKTON INC.,IVY STINSON,(209) 956-5437,4453 PRECISSI LANE,STOCKTON,CA,95207,SAN JOAQUIN,53,60,LICENSED,2021-06-15,,5252025,4453 PRECISSI LANE,"4453 PRECISSI LANE, STOCKTON",2,DUPLICATE_ADDRESS; ,NANAK STOCKTON INC.,2021.0
child_care_centers,343623854,ACORN TO OAK,ACORN TO OAK,"WHITBREAD-COLE, ISOBEL",(916) 407-0187,2661 NORTHROP AVENUE,SACRAMENTO,CA,95864,SACRAMENTO,3,36,LICENSED,2021-03-23,,5252025,2661 NORTHROP AVENUE,"2661 NORTHROP AVENUE, SACRAMENTO",2,DUPLICATE_ADDRESS; ,ACORN TO OAK,2021.0
child_care_centers,343623928,ADVANCED EARLY CHILDHOOD EDUCATION CENTER,ADVANCED EARLY CHILDHOOD EDUCATION CENTER,OKSANA RYAN,(916) 470-6898,7233 SUNRISE BLVD,CITRUS HEIGHTS,CA,95610,SACRAMENTO,3,47,LICENSED,2021-05-27,,5252025,7233 SUNRISE BLVD,"7233 SUNRISE BLVD, CITRUS HEIGHTS",2,DUPLICATE_ADDRESS; ,ADVANCED EARLY CHILDHOOD EDUCATION CENTER,2021.0
child_care_centers,566216029,ADVENTIST EDUCATION SIMI VALLEY PRESCHOOL,SOUTHERN CALIFORNIA CONFERENCE OF SDA,TAMMY GRODT,(805) 210-8353,1636 SINALOA RD.,SIMI VALLEY,CA,93065,VENTURA,17,30,LICENSED,2020-10-22,,5252025,1636 SINALOA RD,"1636 SINALOA RD, SIMI VALLEY",2,DUPLICATE_ADDRESS; ,SOUTHERN CALIFORNIA CONFERENCE OF SDA,2020.0
child_care_centers,15700540,ADVENTURE MONTESSORI ACADEMY,"ADVENTURE MONTESSORI ACADEMY, LLC","JESUS, HEATHER",(408) 464-3131,4101 PLEIADES PLACE,UNION CITY,CA,94587,ALAMEDA,52,60,LICENSED,2021-07-12,,5252025,4101 PLEIADES PLACE,"4101 PLEIADES PLACE, UNION CITY",2,DUPLICATE_ADDRESS; ,"ADVENTURE MONTESSORI ACADEMY, LLC",2021.0
child_care_centers,376701537,ADVENTURES IN MONTESSORI OCEAN BEACH,ADVENTURES IN MONTESSORI,EMIKO ELIZALDE,(619) 850-0533,4735 SANTA CRUZ AVE.,SAN DIEGO,CA,92107,SAN DIEGO,20,44,LICENSED,2022-12-20,,5252025,4735 SANTA CRUZ AVE,"4735 SANTA CRUZ AVE, SAN DIEGO",0,,ADVENTURES IN MONTESSORI,2022.0
child_care_centers,304371518,AESD ROOSEVELT PRESCHOOL,ANAHEIM ELEMENTARY SCHOOL DISTRICT,"VILLEGAS, M. & JELINEK, V.",(714) 517-7125,1600 EAST VERMONT,ANAHEIM,CA,92805,ORANGE,6,24,LICENSED,2021-08-09,,5252025,1600 EAST VERMONT,"1600 EAST VERMONT, ANAHEIM",1,HIGH_VOLUME_LICENSEE; ,ANAHEIM ELEMENTARY SCHOOL DISTRICT,2021.0
child_care_centers,304371579,AESD STODDARD PRESCHOOL K-2,ANAHEIM ELEMENTARY SCHOOL DISTRICT (AESD),"DURAND, LYNDA",(714) 517-7125,1841 SOUTH NINTH STREET,ANAHEIM,CA,92802,ORANGE,6,24,LICENSED,2022-08-03,,5252025,1841 SOUTH NINTH STREET,"1841 SOUTH NINTH STREET, ANAHEIM",0,,ANAHEIM ELEMENTARY SCHOOL DISTRICT (AESD),2022.0
child_care_centers,13423089,AFS-HEAD START RUBY BRIDGES CENTER,ALAMEDA FAMILY SERVICES,"MA, CONNIE",(510) 629-6300,351 JACK LONDON AVENUE,ALAMEDA,CA,94501,ALAMEDA,2,24,LICENSED,2021-06-24,,5252025,351 JACK LONDON AVENUE,"351 JACK LONDON AVENUE, ALAMEDA",1,HIGH_VOLUME_LICENSEE; ,ALAMEDA FAMILY SERVICES,2021.0
child_care_centers,198400188,AGAPE SARANG CHILD CENTER,AGAPE SARANG CHILD CENTER INC.,HYE JOUNG,(818) 279-1685,1516 S. WESTERN AVE,LOS ANGELES,CA,90006,LOS ANGELES,33,22,LICENSED,2021-05-06,,5252025,1516 S WESTERN AVE,"1516 S WESTERN AVE, LOS ANGELES",2,DUPLICATE_ADDRESS; ,AGAPE SARANG CHILD CENTER INC.,2021.0
child_care_centers,434417019,AGNEW DISTRICT PRESCHOOL,SANTA CLARA UNIFIED SCHOOL DISTRICT,IVANIA RODAS,(669) 369-4185,3534 ZANKER ROAD,SAN JOSE,CA,95134,SANTA CLARA,7,48,LICENSED,2022-01-14,,5252025,3534 ZANKER ROAD,"3534 ZANKER ROAD, SAN JOSE",3,DUPLICATE_ADDRESS; HIGH_VOLUME_LICENSEE; ,SANTA CLARA UNIFIED SCHOOL DISTRICT,2022.0
child_care_centers,73408887,"AIM HIGH CHILD CARE CENTER, INC., TIMBER POINT","AIM HIGH CHILD CARE CENTER, INC.",LIVIER ALDANA,(925) 809-7550,40 NEWBURY LANE,DISCOVERY BAY,CA,94505,CONTRA COSTA,2,60,LICENSED,2020-07-10,,5252025,40 NEWBURY LANE,"40 NEWBURY LANE, DISCOVERY BAY",0,,"AIM HIGH CHILD CARE CENTER, INC.",2020.0
child_care_centers,343624258,ALL KIDS EARLY LEARNING CENTER,"KINDER WORLD, INC.","BREEDING, KATHLEEN",(916) 333-7531,2052 WEST LA LOMA DRIVE,RANCHO CORDOVA,CA,95670,SACRAMENTO,3,80,LICENSED,2022-05-10,,5252025,2052 WEST LA LOMA DRIVE,"2052 WEST LA LOMA DRIVE, RANCHO CORDOVA",2,DUPLICATE_ADDRESS; ,"KINDER WORLD, INC.",2022.0
child_care_centers,198020830,ALL SEASONS CHILDREN'S LEARNING CENTER,LEAPS AND BOUNDS LLC,"FACENDA, MINERVA",(408) 420-1682,2612 S. BALDWIN AVE.,ARCADIA,CA,91007,LOS ANGELES,33,72,LICENSED,2021-10-01,,5252025,2612 S BALDWIN AVE,"2612 S BALDWIN AVE, ARCADIA",0,,LEAPS AND BOUNDS LLC,2021.0
child_care_centers,93623346,ALL STAR GYMNASTICS,ALL STAR GYMNASTICS,"BEBOUT, DOMINIQUE(NIKI)",(530) 622-7684,6160 ENTERPRISE DR SUITE A,DIAMOND SPRINGS,CA,95619,EL DORADO,3,12,LICENSED,2020-04-09,,5252025,6160 ENTERPRISE DR SUITE A,"6160 ENTERPRISE DR SUITE A, DIAMOND SPRINGS",0,,ALL STAR GYMNASTICS,2020.0
child_care_centers,414004671,ALPHA KIDS ACADEMY LLC,ALPHA KIDS ACADEMY LLC,JUNE KEO,(415) 664-8080,201 RAVENSWOOD AVENUE,MENLO PARK,CA,94025,SAN MATEO,5,38,LICENSED,2021-05-24,,5252025,201 RAVENSWOOD AVENUE,"201 RAVENSWOOD AVENUE, MENLO PARK",3,DUPLICATE_ADDRESS; HIGH_VOLUME_LICENSEE; ,ALPHA KIDS ACADEMY LLC,2021.0
child_care_centers,203810213,ALPHA STATE PRESCHOOL,MADERA UNIFIED SCHOOL DISTRICT STATE PS PROGRAM,JENNIFER BURNS SAUCEDA,(559) 675-4490,900 STADIUM RD,MADERA,CA,93637,MADERA,4,48,LICENSED,2022-08-09,,5252025,900 STADIUM RD,"900 STADIUM RD, MADERA",0,,MADERA UNIFIED SCHOOL DISTRICT STATE PS PROGRAM,2022.0
child_care_centers,435700749,AMIGOS DE PALO ALTO,NC & MT INC.,"RODRIGUEZ, NOHORA",(650) 493-4300,1611 STANFORD AVENUE,PALO ALTO,CA,94306,SANTA CLARA,52,30,LICENSED,2021-11-30,,5252025,1611 STANFORD AVENUE,"1611 STANFORD AVENUE, PALO ALTO",2,DUPLICATE_ADDRESS; ,NC & MT INC.,2021.0
child_care_centers,376701409,AN- NUR ACADEMY CHILD CARE PRESCHOOL,AN-NUR LEARNING ACADEMY LLC,LAYLA DIRIYE,(619) 439-2955,"7520 EL CAJON BOULEVARD #108,",LA MESA,CA,91942,SAN DIEGO,20,30,LICENSED,2020-01-29,,5252025,7520 EL CAJON BOULEVARD #108,"7520 EL CAJON BOULEVARD #108, LA MESA",2,DUPLICATE_ADDRESS; ,AN-NUR LEARNING ACADEMY LLC,2020.0
child_care_centers,153810123,ANGELA MARTINEZ CHILD DEVELOPMENT CENTER,COMMUNITY ACTION PARTNERSHIP OF KERN,YOLANDA GONZALEZ,(661) 336-5272,4032 JEWETT AVE,BAKERSFIELD,CA,93301,KERN,57,84,LICENSED,2020-09-25,,5252025,4032 JEWETT AVE,"4032 JEWETT AVE, BAKERSFIELD",1,HIGH_VOLUME_LICENSEE; ,COMMUNITY ACTION PARTNERSHIP OF KERN,2020.0
child_care_centers,414004898,ANNE CAMPBELL CHILD DEVELOPMENT CENTER,SAN MATEO COUNTY OFFICE OF EDUCATION,JENNY JANE LAM,(650) 802-5616,65 TOWER ROAD,SAN MATEO,CA,94402,SAN MATEO,5,40,LICENSED,2022-08-09,,5252025,65 TOWER ROAD,"65 TOWER ROAD, SAN MATEO",2,DUPLICATE_ADDRESS; ,SAN MATEO COUNTY OFFICE OF EDUCATION,2022.0
child_care_centers,197494766,APPLE SCHOOL EARLY CHILDHOOD EDUCATIONAL CENTER,"APPLE SCHOOL ECEC, INC.",YELENA DOBRYNINA,(323) 449-1378,14123 VICTORY BLVD,VAN NUYS,CA,91401,LOS ANGELES,58,60,LICENSED,2021-04-15,,5252025,14123 VICTORY BLVD,"14123 VICTORY BLVD, VAN NUYS",2,DUPLICATE_ADDRESS; ,"APPLE SCHOOL ECEC, INC.",2021.0
child_care_centers,384004188,APPLE TREE CHILDREN CENTER- PRESCHOOL,"APPLE TREE CHILDREN CENTER, INC","LIN, SHUYING",(415) 695-4726,1331 HARRISON STREET,SAN FRANCISCO,CA,94103,SAN FRANCISCO,5,21,LICENSED,2020-01-28,,5252025,1331 HARRISON STREET,"1331 HARRISON STREET, SAN FRANCISCO",2,DUPLICATE_ADDRESS; ,"APPLE TREE CHILDREN CENTER, INC",2020.0
child_care_centers,367750041,APPLE VALLEY CHILD CARE CENTER,"DVARECKAS, INC.",SHERRY JENKINS,(760) 242-5437,18609 CORWIN ROAD,APPLE VALLEY,CA,92307,SAN BERNARDINO,12,62,LICENSED,2021-12-01,,5252025,18609 CORWIN ROAD,"18609 CORWIN ROAD, APPLE VALLEY",2,DUPLICATE_ADDRESS; ,"DVARECKAS, INC.",2021.0
child_care_centers,13423130,ARBOR PRESCHOOL COLLEGE,ARBOR DAY SCHOOL COLLEGE LLC,"JOHNSTON, KELLY",(360) 461-6466,5830 COLLEGE AVENUE,OAKLAND,CA,94618,ALAMEDA,2,34,LICENSED,2022-03-24,,5252025,5830 COLLEGE AVENUE,"5830 COLLEGE AVENUE, OAKLAND",0,,ARBOR DAY SCHOOL COLLEGE LLC,2022.0
child_care_centers,13423123,ARBOR PRESCHOOL EAST,"ARBOR DAY SCHOOL, LLC","LIDOW, REBECCA",(360) 461-6466,207 ALVARADO STREET,BERKELEY,CA,94705,ALAMEDA,2,22,LICENSED,2021-08-11,,5252025,207 ALVARADO STREET,"207 ALVARADO STREET, BERKELEY",0,,"ARBOR DAY SCHOOL, LLC",2021.0
child_care_centers,198400637,ARC EN CIEL PRESCHOOL,CHARLOTTE GILES,CHARLOTTE GILES,(562) 832-1911,5730 SOUTH STREET,LAKEWOOD,CA,90713,LOS ANGELES,54,45,LICENSED,2022-12-28,,5252025,5730 SOUTH STREET,"5730 SOUTH STREET, LAKEWOOD",0,,CHARLOTTE GILES,2022.0
child_care_centers,197494384,ARISE FAMILY CHILDCARE CENTER LLC,LA RHONDA & KENNETH MOBLEY,LA RHONDA & KENNETH MOBLEY,(310) 938-2284,15019 S. WESTERN AVE,GARDENA,CA,90249,LOS ANGELES,30,26,LICENSED,2021-02-19,,5252025,15019 S WESTERN AVE,"15019 S WESTERN AVE, GARDENA",0,,LA RHONDA & KENNETH MOBLEY,2021.0
child_care_centers,197750149,ARK ACADEMY,RIVKA JONES,VONDA PERRY,(661) 504-4034,1146  COMMERCE CENTER DRIVE,LANCASTER,CA,93534,LOS ANGELES,12,30,LICENSED,2022-12-08,,5252025,1146 COMMERCE CENTER DRIVE,"1146 COMMERCE CENTER DRIVE, LANCASTER",2,DUPLICATE_ADDRESS; ,RIVKA JONES,2022.0
child_care_centers,406216447,ARROYO GRANDE MONTESSORI SCHOOL,DEJ. INC.,ELIZABETH SILVA,(805) 473-2979,216 OAK STREET,ARROYO GRANDE,CA,93420,SAN LUIS OBISPO,17,23,LICENSED,2022-10-19,,5252025,216 OAK STREET,"216 OAK STREET, ARROYO GRANDE",2,DUPLICATE_ADDRESS; ,DEJ. INC.,2022.0
child_care_centers,343624444,ART BEAST STUDIO,ART BEAST STUDIO,BIANCA MIRAFLORES,(916) 743-1776,2226 K STREET,SACRAMENTO,CA,95816,SACRAMENTO,3,30,LICENSED,2022-10-26,,5252025,2226 K STREET,"2226 K STREET, SACRAMENTO",2,DUPLICATE_ADDRESS; ,ART BEAST STUDIO,2022.0
child_care_centers,344500189,ART OF MONTESSORI,AOM LLC,"MENDOZA, CHRISTINE",(916) 686-5800,8930 SIERRA STREET,ELK GROVE,CA,95624,SACRAMENTO,53,83,LICENSED,2020-07-20,,5252025,8930 SIERRA STREET,"8930 SIERRA STREET, ELK GROVE",0,,AOM LLC,2020.0
child_care_centers,304371577,ARTHUR F. COREY PRESCHOOL,BUENA PARK SCHOOL DISTRICT,"ORTEGA, LARONDA",(714) 522-8389,7351 HOLDER STREET,BUENA PARK,CA,90620,ORANGE,6,48,LICENSED,2022-08-03,,5252025,7351 HOLDER STREET,"7351 HOLDER STREET, BUENA PARK",1,HIGH_VOLUME_LICENSEE; ,BUENA PARK SCHOOL DISTRICT,2022.0
child_care_centers,566216008,ASCENSION LUTHERAN EARLY CHILDHOOD CENTER,ASCENSION LUTHERAN EARLY CHILDHOOD CENTER,JENNIFER MCCOY,(805) 381-9081,1620 HILLCREST DRIVE,THOUSAND OAKS,CA,91362,VENTURA,17,122,LICENSED,2020-08-21,,5252025,1620 HILLCREST DRIVE,"1620 HILLCREST DRIVE, THOUSAND OAKS",2,DUPLICATE_ADDRESS; ,ASCENSION LUTHERAN EARLY CHILDHOOD CENTER,2020.0
child_care_centers,376701477,ASPEN LEAF PRESCHOOL-BARRY TED MOSKOWITZ CCC,"CAALP, INC.",SUSANNA HERBST,(619) 557-3431,"880 FRONT STREET, SUITE 1295",SAN DIEGO,CA,92101,SAN DIEGO,20,70,LICENSED,2020-12-08,,5252025,880 FRONT STREET SUITE 1295,"880 FRONT STREET SUITE 1295, SAN DIEGO",3,DUPLICATE_ADDRESS; HIGH_VOLUME_LICENSEE; ,"CAALP, INC.",2020.0
child_care_centers,376105004,ASPIRATIONS SCHOOL OF LEARNING,BRIGHT HORIZONS CHILDREN'S CENTER LLC,ANGIE TRIANA,(760) 603-9173,6286 EL CAMINO REAL,CARLSBAD,CA,92009,SAN DIEGO,51,156,LICENSED,2020-01-31,,5252025,6286 EL CAMINO REAL,"6286 EL CAMINO REAL, CARLSBAD",3,DUPLICATE_ADDRESS; HIGH_VOLUME_LICENSEE; ,BRIGHT HORIZONS CHILDREN'S CENTER LLC,2020.0
child_care_centers,406216330,ATASCADERO CHILDREN'S CENTER,"TORREY, HARVEST / YOST, SARA E.","HARVEST TORREY, SARA YOST",(805) 461-0811,11850 VIEJO CAMINO,ATASCADERO,CA,93422,SAN LUIS OBISPO,17,78,LICENSED,2022-12-14,,5252025,11850 VIEJO CAMINO,"11850 VIEJO CAMINO, ATASCADERO",2,DUPLICATE_ADDRESS; ,"TORREY, HARVEST / YOST, SARA E.",2022.0
child_care_centers,13423121,AU BEAU SEJOUR FRENCH PRESCHOOL,"AU BEAU SEJOUR FRENCH PRESCHOOL, INC.","CHARBONNIER, CHLOE",(949) 295-7169,5040 MOUNTAIN BOULEVARD,OAKLAND,CA,94619,ALAMEDA,2,48,LICENSED,2021-07-01,,5252025,5040 MOUNTAIN BOULEVARD,"5040 MOUNTAIN BOULEVARD, OAKLAND",2,DUPLICATE_ADDRESS; ,"AU BEAU SEJOUR FRENCH PRESCHOOL, INC.",2021.0
child_care_centers,376105043,AU CLAIR DE LUNE,AU CLAIR DE LUNE INC.,FLORIANE NICOLE,(858) 384-6648,1976-1978 COOLIDGE STREET,SAN DIEGO,CA,92111,SAN DIEGO,51,31,LICENSED,2021-04-05,4/23/2025,5252025,1976-1978 COOLIDGE STREET,"1976-1978 COOLIDGE STREET, SAN DIEGO",0,,AU CLAIR DE LUNE INC.,2021.0
child_care_centers,414004865,AU P'TIT MONDE OF PENINSULA,KIDSMART PRESCHOOLS LLC,"RAMOUL, LYNDA",(650) 787-8434,1980 CLARKE AVENUE,EAST PALO ALTO,CA,94303,SAN MATEO,5,80,LICENSED,2022-06-03,,5252025,1980 CLARKE AVENUE,"1980 CLARKE AVENUE, EAST PALO ALTO",2,DUPLICATE_ADDRESS; ,KIDSMART PRESCHOOLS LLC,2022.0
child_care_centers,73408895,AUTUMN CREEK LEARNING CENTER,AUTUMN CREEK CORPORATION,"BHARGAVA, ASMITA S.",(925) 743-4187,14 OSBORN WAY,DANVILLE,CA,94526,CONTRA COSTA,2,80,LICENSED,2020-11-24,,5252025,14 OSBORN WAY,"14 OSBORN WAY, DANVILLE",2,DUPLICATE_ADDRESS; ,AUTUMN CREEK CORPORATION,2020.0
child_care_centers,198020552,AZUSA UNIFIED SCHOOL DISTRICT/CHARLES LEE,AZUSA UNIFIED SCHOOL DISTRICT,JENNY LE,(626) 815-4724,550 N CERRITOS AVE,AZUSA,CA,91702,LOS ANGELES,33,40,LICENSED,2020-09-10,,5252025,550 N CERRITOS AVE,"550 N CERRITOS AVE, AZUSA",1,HIGH_VOLUME_LICENSEE; ,AZUSA UNIFIED SCHOOL DISTRICT,2020.0
child_care_centers,198020493,AZUSA UNIFIED SCHOOL DISTRICT/HENRY DALTON,AZUSA UNIFIED SCHOOL DISTRICT,JENNY LE,(626) 815-4727,500 E. 10TH ST,AZUSA,CA,91702,LOS ANGELES,33,29,LICENSED,2020-08-13,,5252025,500 E 10TH ST,"500 E 10TH ST, AZUSA",1,HIGH_VOLUME_LICENSEE; ,AZUSA UNIFIED SCHOOL DISTRICT,2020.0
child_care_centers,197494610,BABY GENIUSES PRESCHOOL,SHERIAH SMITH,SHERIAH SMITH,(310) 715-1582,15328 S. VERMONT AVENUE,GARDENA,CA,90247,LOS ANGELES,30,33,LICENSED,2021-04-09,,5252025,15328 S VERMONT AVENUE,"15328 S VERMONT AVENUE, GARDENA",0,,SHERIAH SMITH,2021.0
child_care_centers,384004477,BANANA FANA PRESCHOOL,BANANA FANA PRESCHOOL,"CASTILLO, CAROLINA",(415) 654-5114,2701- 2707 FOLSOM STREET,SAN FRANCISCO,CA,94110,SAN FRANCISCO,5,50,LICENSED,2021-12-03,,5252025,2701- 2707 FOLSOM STREET,"2701- 2707 FOLSOM STREET, SAN FRANCISCO",0,,BANANA FANA PRESCHOOL,2021.0
child_care_centers,435700723,BARRON PARK PLAYSCHOOL,"TODAY WE PLAY, INC.","ADAMS, KIMBERLY",(650) 493-7597,3650 LA DONNA AVENUE,PALO ALTO,CA,94306,SANTA CLARA,52,30,LICENSED,2020-10-27,,5252025,3650 LA DONNA AVENUE,"3650 LA DONNA AVENUE, PALO ALTO",0,,"TODAY WE PLAY, INC.",2020.0
child_care_centers,203810137,BASE CAMP PRESCHOOL AND DAYCARE,RHONDA CORIPPO,"VIRGIL, JAMIE",(559) 658-7320,43875 PATRICK AVE,COARSEGOLD,CA,93614,MADERA,4,26,LICENSED,2022-02-18,,5252025,43875 PATRICK AVE,"43875 PATRICK AVE, COARSEGOLD",2,DUPLICATE_ADDRESS; ,RHONDA CORIPPO,2022.0
child_care_centers,406216174,BAUER EARLY LEARNING CENTER,SAN LUIS OBISPO COUNTY OFFICE OF EDUCATION,LAUREN THORNE,(805) 769-1355,1626 VINE ST. ROOM 7,PASO ROBLES,CA,93446,SAN LUIS OBISPO,17,24,LICENSED,2021-08-20,,5252025,1626 VINE ST ROOM 7,"1626 VINE ST ROOM 7, PASO ROBLES",1,HIGH_VOLUME_LICENSEE; ,SAN LUIS OBISPO COUNTY OFFICE OF EDUCATION,2021.0
child_care_centers,73408927,"BAY CHRISTIAN SCHOOL, THE","BAY CHURCH, THE","WELENCE, TAMMIE L.",(925) 516-1908,2200 VENTURA DRIVE,BRENTWOOD,CA,94513,CONTRA COSTA,2,44,LICENSED,2022-07-26,,5252025,2200 VENTURA DRIVE,"2200 VENTURA DRIVE, BRENTWOOD",2,DUPLICATE_ADDRESS; ,"BAY CHURCH, THE",2022.0
child_care_centers,153810110,BCSD/FRANKLIN ELEMENTARY PRE-K,BAKERSFIELD CITY SCHOOL DISTRICT,CARLA TAFOYA,(661) 631-4936,2400 TRUXTUN AVE,BAKERSFIELD,CA,93301,KERN,57,24,LICENSED,2020-11-12,,5252025,2400 TRUXTUN AVE,"2400 TRUXTUN AVE, BAKERSFIELD",1,HIGH_VOLUME_LICENSEE; ,BAKERSFIELD CITY SCHOOL DISTRICT,2020.0
child_care_centers,153810112,"BCSD/MARTIN LUTHER KING, JR. ELEMENTARY PRE-K",BAKERSFIELD CITY SCHOOL DISTRICT,CHERYL STAMPER,(661) 631-4936,1100 CITADEL ST,BAKERSFIELD,CA,93307,KERN,57,24,LICENSED,2020-11-12,,5252025,1100 CITADEL ST,"1100 CITADEL ST, BAKERSFIELD",1,HIGH_VOLUME_LICENSEE; ,BAKERSFIELD CITY SCHOOL DISTRICT,2020.0
